alert_id,state_id,district_id,prediction_id,alert_type,issued_datetime,valid_from,valid_until,severity_level,population_notified,evacuations_triggered,status,dissemination_channels,language,delivery_success_rate
1,5,41,1512,Emergency,2019-08-03 02:00:58,2018-04-01 16:44:00,2024-04-09 23:39:42,Red,322068,12931,Superseded,All,Assamese,0.57
2,5,46,1760,Drill,2019-10-02 08:24:11,2024-11-17 15:15:49,2024-10-09 02:39:45,Orange,32901,37837,Active,All,Hindi,0.56
3,2,13,3749,Drill,2018-12-21 01:05:54,2022-03-01 18:34:14,2022-06-28 13:17:00,Orange,335176,20539,Superseded,All,Assamese,0.71
4,3,23,2884,Drill,2021-11-23 12:33:34,2024-01-03 10:18:27,2024-10-23 10:03:39,Yellow,156046,40270,Active,Push Notification,Bengali,0.38
5,2,20,959,Drill,2019-07-23 16:47:19,2019-03-16 04:27:25,2022-05-07 01:51:46,Orange,203766,27409,Expired,All,Assamese,0.6
6,3,32,4403,All Clear,2023-11-25 10:06:23,2019-06-03 10:23:42,2022-03-02 06:21:21,Yellow,151532,9194,Expired,Radio,Mizo,0.62
7,1,4,2942,Watch,2018-01-30 18:35:35,2019-08-30 05:50:04,2024-12-07 18:54:22,Red,201397,36803,Superseded,Siren,Khasi,0.64
8,5,46,3637,Early Warning,2022-02-27 08:04:37,2022-10-23 15:06:56,2018-04-06 21:08:27,Yellow,417370,49876,Expired,Radio,English,0.49
9,4,35,2365,All Clear,2019-06-07 14:34:12,2024-04-25 22:10:25,2024-07-28 05:19:36,Red,401662,32460,Active,All,English,0.49
10,4,35,3006,Drill,2022-08-12 01:41:00,2021-10-03 06:40:39,2022-08-25 11:03:10,Green,114678,27862,Active,Push Notification,Bengali,0.91
11,1,3,3685,Early Warning,2020-03-27 12:55:24,2021-09-26 03:25:28,2018-12-31 16:56:11,Orange,406754,15528,Expired,All,Khasi,0.55
12,5,46,5000,Watch,2023-05-20 22:47:52,2023-03-30 07:33:48,2019-03-09 14:06:40,Red,411587,13541,Expired,SMS,Manipuri,0.55
13,2,18,4890,Advisory,2022-08-01 21:29:41,2023-12-28 10:03:12,2020-06-28 04:25:28,Yellow,151793,37534,Cancelled,All,Khasi,0.87
14,1,9,3372,Drill,2018-07-04 04:40:33,2019-01-30 05:28:02,2023-12-20 06:09:09,Orange,454174,8696,Expired,Push Notification,Khasi,0.53
15,2,16,3218,All Clear,2022-03-01 16:41:17,2023-05-19 19:18:34,2020-04-14 21:00:10,Yellow,329254,27146,Superseded,Siren,English,0.74
16,7,57,763,Drill,2021-06-05 14:43:51,2021-02-20 15:56:28,2021-11-13 16:33:52,Orange,498306,31984,Cancelled,All,English,0.91
17,7,55,764,Drill,2024-03-20 22:14:06,2023-08-26 10:09:08,2023-12-07 09:38:04,Red,187911,4150,Superseded,Push Notification,Assamese,0.88
18,3,32,2200,Advisory,2020-09-30 02:34:12,2022-08-28 10:25:52,2022-12-01 13:51:21,Orange,68568,37102,Superseded,Radio,Khasi,0.83
19,1,3,816,Early Warning,2023-04-30 11:19:45,2019-01-21 23:47:42,2019-05-06 20:06:17,Red,231460,29918,Active,Siren,Hindi,1.0
20,8,59,1081,Watch,2023-07-13 11:18:14,2020-05-01 08:22:19,2018-10-17 23:56:01,Orange,343292,23621,Cancelled,SMS,Bengali,0.77
21,5,42,1356,Drill,2018-06-10 21:32:20,2020-08-07 04:25:12,2024-03-05 13:36:56,Red,366808,49494,Expired,Siren,Khasi,0.36
22,1,7,9,Early Warning,2019-10-26 01:50:10,2019-02-17 06:48:48,2023-01-19 11:57:07,Red,118689,34042,Superseded,SMS,English,0.79
23,6,53,988,Emergency,2021-08-05 02:00:32,2018-08-09 01:20:29,2019-12-13 07:30:56,Yellow,200938,5854,Active,SMS,Bengali,0.56
24,2,20,1124,Drill,2021-04-04 01:44:59,2023-10-05 19:00:01,2019-03-20 19:53:48,Yellow,35967,34767,Active,All,Khasi,0.41
25,3,23,1746,Emergency,2023-05-06 09:02:31,2023-03-30 01:57:24,2023-11-04 02:05:03,Yellow,232036,14237,Active,SMS,Hindi,0.83
