anomaly_id,sensor_id,slope_id,state_id,district_id,anomaly_type,detected_datetime,anomaly_score,severity,magnitude,duration_minutes,status,investigation_start,resolution_datetime,detection_method
1,109,323,6,50,Ground Cracking,2023-11-07 20:25:19,0.868,Critical,18.72,871.5,Investigating,2022-04-30 16:23:55,2024-11-14 07:15:40,Rule-Based
2,263,68,7,58,Seismic Signal,2019-12-11 05:03:54,0.627,Medium,319.15,2979.0,False Alarm,2021-04-28 13:06:59,2022-09-05 12:34:28,Statistical
3,240,27,5,45,Ground Cracking,2020-05-08 12:59:37,0.994,Medium,183.46,339.2,Resolved,2022-01-09 12:48:35,2021-04-28 02:20:45,Isolation Forest
4,208,328,1,8,Seismic Signal,2020-06-09 05:44:25,0.972,Medium,22.18,2271.8,Resolved,2020-09-26 05:35:47,2021-07-14 00:07:04,Statistical
5,21,83,1,11,Vegetation Loss,2021-04-26 11:09:55,0.985,High,450.63,2043.4,Investigating,2018-08-03 05:26:59,2021-03-02 04:45:45,Isolation Forest
6,282,7,2,21,Ground Cracking,2020-01-17 20:03:09,0.685,High,215.37,2492.9,Investigating,2020-08-02 12:30:18,2022-07-14 11:28:16,Rule-Based
7,190,209,2,16,Seismic Signal,2024-03-18 00:52:47,0.715,Low,291.76,4445.5,False Alarm,2022-09-25 17:30:44,2021-03-15 06:31:15,LSTM Autoencoder
8,88,439,6,54,Seismic Signal,2018-04-11 07:46:10,0.905,Critical,452.2,2510.2,False Alarm,2021-04-18 21:21:33,2021-03-05 17:35:21,Rule-Based
9,272,243,3,27,Sensor Outlier,2020-09-07 13:48:57,0.579,Medium,164.14,96.8,Resolved,2023-01-09 06:07:12,2018-09-16 15:40:38,Statistical
10,231,83,6,47,Sensor Outlier,2020-11-06 19:16:21,0.519,High,137.87,2331.3,Resolved,2022-11-08 09:52:15,2024-07-27 23:54:52,LSTM Autoencoder
11,28,410,7,56,Pore Pressure Spike,2023-07-06 10:34:08,0.581,Medium,453.72,4547.2,Investigating,2023-09-28 13:57:39,2019-07-09 18:19:09,Rule-Based
12,286,185,3,27,Seismic Signal,2020-10-24 01:49:23,0.718,Medium,86.5,384.3,False Alarm,2020-12-05 07:58:55,2024-01-17 23:46:23,LSTM Autoencoder
13,168,467,5,44,Sudden Displacement,2020-01-01 16:45:15,0.945,Medium,64.32,3893.1,Resolved,2018-02-02 20:25:51,2018-08-11 10:32:23,Rule-Based
14,72,414,1,5,Seismic Signal,2023-12-31 18:51:44,0.817,Critical,81.09,3825.2,False Alarm,2023-09-20 19:25:52,2024-08-14 23:07:33,LSTM Autoencoder
15,163,273,6,50,Seismic Signal,2021-03-30 23:55:32,0.914,Critical,182.76,1382.6,Investigating,2023-12-25 12:10:55,2022-05-28 17:50:22,Isolation Forest
16,150,261,3,32,Vegetation Loss,2020-06-24 00:08:42,0.815,Low,182.74,4272.5,Resolved,2020-09-02 04:22:41,2018-02-05 04:01:58,LSTM Autoencoder
17,119,276,1,3,Seismic Signal,2024-09-03 05:29:39,0.949,Low,40.52,4393.9,Resolved,2022-06-12 23:10:22,2021-10-25 00:37:34,Statistical
18,72,414,1,5,Vegetation Loss,2018-09-08 04:17:01,0.564,Low,316.81,2384.5,False Alarm,2024-12-30 10:23:31,2024-08-20 20:25:35,Rule-Based
19,123,323,7,56,Rainfall Anomaly,2019-11-14 00:20:07,0.76,Low,364.71,1518.9,Open,2019-02-23 06:15:15,2022-10-05 10:31:12,LSTM Autoencoder
20,211,464,6,50,Sudden Displacement,2019-07-25 03:33:25,0.769,Low,316.93,4621.7,False Alarm,2021-07-27 14:02:38,2018-06-26 00:39:30,Statistical
21,88,439,6,54,Sudden Displacement,2021-02-19 05:16:08,0.569,High,335.36,1910.0,Resolved,2021-10-18 07:48:06,2018-05-19 20:47:19,Isolation Forest
22,289,212,4,37,Pore Pressure Spike,2021-02-25 06:28:31,0.76,High,452.21,779.4,Investigating,2023-02-20 23:50:56,2019-04-22 18:32:46,Rule-Based
23,183,186,2,16,Seismic Signal,2022-05-25 21:14:58,0.834,High,203.67,3822.2,Resolved,2019-02-07 22:16:29,2019-06-28 06:41:10,Rule-Based
24,198,18,3,29,Vegetation Loss,2024-07-03 09:05:44,0.659,Medium,316.56,2939.2,Resolved,2024-05-14 05:31:22,2023-09-14 10:22:25,Rule-Based
25,230,436,6,47,Rainfall Anomaly,2020-03-15 03:10:18,0.814,Critical,204.9,2426.1,Investigating,2021-04-21 10:00:00,2020-08-10 07:50:07,Statistical
26,150,261,3,32,Pore Pressure Spike,2022-08-22 23:06:06,0.563,Low,337.58,310.5,Open,2020-07-06 10:00:51,2024-04-14 06:25:26,Statistical
27,116,432,4,34,Rainfall Anomaly,2024-01-24 19:11:59,0.906,Low,414.57,4915.8,Investigating,2021-04-24 16:31:55,2020-07-25 01:04:23,Isolation Forest
28,256,147,5,41,Rainfall Anomaly,2018-12-07 02:45:12,0.78,Medium,148.05,1285.7,Resolved,2022-11-04 21:35:10,2019-01-28 14:26:59,Statistical
29,163,273,6,50,Sensor Outlier,2018-06-05 06:16:47,0.946,Critical,412.24,1789.3,Open,2023-03-03 00:46:19,2018-05-05 05:14:15,Isolation Forest
30,207,168,4,39,Pore Pressure Spike,2020-06-13 07:53:42,0.948,Medium,450.28,1992.8,False Alarm,2021-05-21 14:29:35,2023-12-21 16:24:14,LSTM Autoencoder
31,185,138,5,46,Sensor Outlier,2022-10-04 20:10:01,0.953,Medium,415.49,4619.2,Open,2018-09-24 16:49:00,2021-09-23 23:06:39,Rule-Based
32,38,69,1,3,Vegetation Loss,2024-08-13 22:02:37,0.865,Low,405.04,4491.4,False Alarm,2022-04-08 23:37:03,2022-07-27 17:22:35,Isolation Forest
33,168,467,5,44,Sudden Displacement,2020-09-06 15:16:51,0.6,Low,423.71,4396.6,Open,2019-06-25 07:33:51,2024-12-04 15:56:49,Rule-Based
34,288,45,2,14,Ground Cracking,2021-11-28 08:28:28,0.528,Critical,163.57,4420.8,Open,2024-06-05 11:21:48,2018-06-07 02:20:50,Rule-Based
35,174,411,1,6,Sudden Displacement,2020-11-02 09:26:23,0.68,High,362.48,2702.6,Resolved,2023-03-05 06:00:13,2018-02-26 18:14:53,LSTM Autoencoder
36,54,93,1,11,Seismic Signal,2022-03-14 16:11:31,0.605,Medium,369.89,879.4,False Alarm,2021-07-02 05:32:42,2018-12-01 16:37:34,Isolation Forest
37,36,212,3,25,Seismic Signal,2020-08-30 12:08:05,0.599,Low,421.87,1749.7,Open,2018-04-17 15:19:47,2021-11-21 04:29:36,LSTM Autoencoder
38,257,95,1,11,Pore Pressure Spike,2022-04-12 20:22:09,0.697,Low,446.42,188.2,Investigating,2021-02-09 22:13:25,2023-12-18 02:13:13,Isolation Forest
39,262,401,6,51,Seismic Signal,2019-06-02 01:09:12,0.975,Medium,197.78,427.3,False Alarm,2018-11-17 07:01:43,2020-05-22 08:02:01,LSTM Autoencoder
40,214,299,1,3,Ground Cracking,2022-08-26 02:40:41,0.501,Medium,198.32,3905.9,False Alarm,2021-01-27 23:22:42,2021-02-13 09:56:38,Rule-Based
41,20,360,7,56,Sensor Outlier,2020-04-17 16:29:58,0.905,Medium,152.07,3219.9,False Alarm,2021-11-01 18:45:51,2022-01-31 17:21:38,Rule-Based
42,128,79,3,23,Pore Pressure Spike,2018-05-03 21:14:32,0.872,High,329.3,3076.4,Open,2020-03-01 06:25:54,2023-02-10 00:12:30,LSTM Autoencoder
43,97,237,2,21,Rainfall Anomaly,2021-08-30 19:27:20,0.954,Critical,357.47,4091.0,Investigating,2024-11-27 10:19:43,2020-06-04 01:05:31,LSTM Autoencoder
44,216,309,2,13,Seismic Signal,2024-02-23 00:07:50,0.621,Medium,393.17,3188.8,Investigating,2022-09-28 10:52:20,2023-12-15 09:49:52,LSTM Autoencoder
45,61,71,5,46,Ground Cracking,2020-10-14 00:07:26,0.731,Low,309.17,373.6,Resolved,2024-01-16 22:19:49,2018-08-22 21:26:57,Statistical
46,212,445,6,50,Sensor Outlier,2021-08-23 20:12:46,0.75,Medium,237.34,1732.0,False Alarm,2019-05-17 17:00:50,2021-04-16 08:07:26,Rule-Based
47,26,401,1,5,Vegetation Loss,2024-03-22 07:43:23,0.836,Low,79.01,977.2,Investigating,2023-06-26 01:25:25,2018-12-24 02:08:37,Statistical
48,215,306,2,22,Vegetation Loss,2020-12-13 22:47:28,0.96,Medium,333.13,679.8,Investigating,2024-07-16 22:57:00,2024-02-25 02:02:44,LSTM Autoencoder
49,100,42,1,5,Vegetation Loss,2021-09-06 09:44:39,0.687,Critical,47.4,1739.0,Investigating,2024-07-06 18:14:13,2023-03-20 00:39:01,Statistical
50,65,307,3,32,Sudden Displacement,2024-11-05 22:46:01,0.612,High,396.37,4892.1,False Alarm,2020-08-26 18:04:19,2020-07-03 11:28:48,LSTM Autoencoder
51,86,90,6,50,Sensor Outlier,2023-08-23 12:12:21,0.533,Low,468.8,4110.2,Open,2024-10-18 02:34:08,2020-01-03 20:44:13,Isolation Forest
52,214,299,1,3,Seismic Signal,2023-11-29 10:35:15,0.977,Low,214.96,2480.8,Investigating,2023-10-29 06:13:30,2019-12-17 03:42:30,Isolation Forest
53,44,34,5,41,Sensor Outlier,2024-01-19 08:03:32,0.954,Low,409.4,4845.7,Investigating,2022-01-30 08:02:21,2021-02-25 23:29:06,Statistical
54,77,322,2,15,Ground Cracking,2023-09-11 23:59:59,0.974,Low,359.44,4049.6,Investigating,2023-03-02 17:40:28,2023-06-05 09:22:37,Isolation Forest
55,115,410,1,10,Ground Cracking,2021-04-30 13:05:05,0.584,High,396.42,1991.6,Investigating,2023-01-19 01:11:11,2018-04-04 22:10:36,Isolation Forest
56,225,266,7,57,Rainfall Anomaly,2019-05-28 23:17:39,0.865,High,376.66,3535.9,Investigating,2021-10-20 13:43:31,2023-03-06 00:16:07,Isolation Forest
57,151,194,5,45,Slope Deformation,2020-11-04 17:24:41,0.509,Low,73.38,4880.1,Resolved,2018-06-09 14:23:46,2021-03-22 10:40:15,Isolation Forest
58,166,70,4,36,Slope Deformation,2020-12-19 21:03:47,0.828,Medium,418.92,2943.7,Open,2019-09-21 01:15:52,2021-04-06 04:31:51,Statistical
59,160,420,1,4,Seismic Signal,2024-11-17 09:42:24,0.715,Critical,366.97,542.6,Resolved,2018-07-27 20:57:47,2021-02-01 22:43:39,Statistical
60,276,300,3,30,Rainfall Anomaly,2021-09-15 11:11:19,0.519,High,427.7,1296.0,Resolved,2024-10-21 18:13:58,2024-05-18 04:27:41,LSTM Autoencoder
61,141,77,3,23,Ground Cracking,2023-08-27 05:58:40,0.731,High,38.83,3244.1,Open,2024-10-16 14:41:27,2018-05-26 11:03:04,Statistical
62,295,340,2,16,Ground Cracking,2018-09-08 12:41:18,0.607,Low,365.82,2123.7,Investigating,2023-08-26 16:51:38,2019-10-25 18:24:28,Statistical
63,26,401,1,5,Pore Pressure Spike,2024-09-28 02:40:40,0.516,High,475.5,1763.3,Investigating,2019-06-16 02:27:00,2018-07-25 10:11:00,Isolation Forest
64,74,191,2,19,Seismic Signal,2021-08-09 13:18:42,0.774,Medium,122.7,1995.6,False Alarm,2021-05-30 22:11:13,2019-06-28 09:25:33,Statistical
65,20,360,7,56,Sensor Outlier,2022-09-02 02:34:46,0.799,Medium,445.87,3306.7,Investigating,2022-04-07 16:07:30,2021-02-06 23:39:49,Rule-Based
66,230,436,6,47,Vegetation Loss,2018-02-14 19:37:21,0.721,High,231.52,2619.0,False Alarm,2019-01-12 02:09:59,2020-10-24 23:11:12,Isolation Forest
67,128,79,3,23,Pore Pressure Spike,2023-10-26 07:15:11,0.669,Medium,140.04,3378.0,Resolved,2024-09-16 14:48:52,2021-10-03 17:58:34,Statistical
68,16,291,3,23,Ground Cracking,2019-09-12 07:46:25,0.951,High,379.41,2191.9,Open,2019-12-17 22:46:50,2024-02-23 19:21:26,Statistical
69,278,468,3,28,Rainfall Anomaly,2022-10-15 10:08:32,0.704,Critical,405.27,643.3,Resolved,2018-03-12 14:06:38,2018-11-03 07:33:14,Statistical
70,284,199,1,5,Ground Cracking,2022-04-29 19:39:59,0.659,Low,302.35,1511.1,Resolved,2023-09-07 16:43:32,2018-08-21 16:48:38,LSTM Autoencoder
71,241,369,2,16,Vegetation Loss,2020-02-21 18:00:01,0.663,High,24.51,3678.6,False Alarm,2022-02-07 04:32:06,2022-06-08 07:34:13,Isolation Forest
72,31,7,7,56,Rainfall Anomaly,2023-04-04 14:28:51,0.554,High,281.44,4751.4,False Alarm,2023-05-28 07:17:46,2020-02-17 05:27:35,Statistical
73,102,305,5,43,Pore Pressure Spike,2018-02-10 22:23:18,0.623,Critical,20.85,3303.1,Resolved,2020-06-18 00:42:03,2021-07-13 19:57:08,LSTM Autoencoder
74,234,450,4,33,Sensor Outlier,2021-02-11 19:06:39,0.704,Low,170.56,3120.6,Resolved,2024-11-06 10:43:10,2021-12-19 08:40:26,LSTM Autoencoder
75,84,9,6,50,Sudden Displacement,2020-07-11 05:02:57,0.946,High,280.44,2289.3,Resolved,2024-08-12 05:10:43,2018-05-17 02:25:48,Rule-Based
76,94,201,3,30,Seismic Signal,2021-06-10 17:32:10,0.98,High,494.65,805.5,Open,2020-08-19 05:36:19,2023-04-30 17:02:44,Statistical
77,113,360,4,34,Sudden Displacement,2020-03-05 12:18:48,0.665,High,361.34,2299.6,False Alarm,2021-03-11 16:49:03,2021-03-15 10:04:30,LSTM Autoencoder
78,242,432,2,17,Ground Cracking,2019-07-13 13:13:58,0.644,High,307.28,2655.0,Open,2021-01-02 22:16:48,2019-10-31 08:50:20,Rule-Based
79,119,276,1,3,Seismic Signal,2020-04-10 16:46:03,0.997,Low,321.42,2115.3,Investigating,2021-03-29 20:29:11,2020-12-02 06:43:05,Statistical
80,249,202,1,8,Rainfall Anomaly,2019-12-09 10:18:45,0.65,Low,260.33,1322.3,Investigating,2023-07-17 21:49:44,2019-06-19 12:34:43,Rule-Based
81,218,313,3,29,Slope Deformation,2023-01-05 20:45:28,0.703,Medium,359.03,3199.2,Investigating,2020-03-20 14:14:41,2024-11-26 13:17:55,Statistical
82,80,242,2,22,Slope Deformation,2021-03-09 01:33:16,0.677,Critical,338.28,2939.4,False Alarm,2021-11-22 08:19:22,2018-09-23 15:06:42,Rule-Based
83,38,69,1,3,Sudden Displacement,2021-09-02 09:25:06,0.839,Critical,465.79,2067.7,Resolved,2021-11-06 14:18:35,2024-07-23 10:02:12,LSTM Autoencoder
84,62,298,6,47,Seismic Signal,2021-05-21 04:49:50,0.745,Medium,463.1,2240.8,Resolved,2018-10-03 15:21:49,2022-07-25 21:05:32,Statistical
85,225,266,7,57,Pore Pressure Spike,2019-12-13 06:46:24,0.772,Low,33.1,4760.1,False Alarm,2022-12-06 12:06:17,2020-09-10 09:51:28,Statistical
86,174,411,1,6,Sudden Displacement,2022-12-03 23:41:58,0.679,Low,356.09,4797.2,Resolved,2021-11-19 12:25:35,2022-03-27 03:53:20,Statistical
87,16,291,3,23,Ground Cracking,2021-04-30 00:20:00,0.989,Critical,152.29,1650.8,False Alarm,2024-04-21 07:01:07,2023-12-11 04:33:19,Rule-Based
88,161,402,3,26,Pore Pressure Spike,2021-08-28 08:18:32,0.537,Medium,301.21,3926.6,False Alarm,2024-04-04 22:06:33,2019-09-21 17:04:05,Isolation Forest
89,17,292,7,56,Vegetation Loss,2018-06-12 12:34:14,0.771,High,497.37,4408.2,Investigating,2020-08-20 15:28:49,2019-08-27 17:45:22,Isolation Forest
90,71,473,4,33,Ground Cracking,2023-04-09 21:48:12,0.789,High,162.78,1673.4,Resolved,2021-01-09 06:58:52,2021-07-09 10:20:24,Statistical
91,298,154,6,50,Sudden Displacement,2023-01-18 10:33:05,0.593,Low,171.38,125.5,Investigating,2019-02-26 14:55:26,2022-12-01 14:21:06,Statistical
92,17,292,7,56,Sensor Outlier,2022-07-14 04:21:02,0.752,Low,472.8,2996.5,Investigating,2020-04-10 07:16:07,2022-07-21 12:01:53,Statistical
93,43,483,5,46,Vegetation Loss,2018-09-06 04:35:42,0.605,Medium,492.29,2638.1,False Alarm,2024-04-17 21:56:32,2022-02-28 12:42:37,Rule-Based
94,262,401,6,51,Ground Cracking,2024-11-12 03:30:16,0.705,High,67.44,1083.7,Investigating,2022-11-07 02:06:59,2022-07-13 05:06:44,LSTM Autoencoder
95,186,183,5,40,Vegetation Loss,2018-01-06 13:12:23,0.756,Critical,486.19,677.5,Investigating,2019-01-26 10:31:39,2021-11-16 21:51:59,Statistical
96,110,305,3,28,Sudden Displacement,2019-09-27 02:30:17,0.998,High,92.67,132.0,Investigating,2021-05-17 07:00:10,2020-01-26 17:14:38,Rule-Based
97,242,432,2,17,Ground Cracking,2020-01-11 02:28:32,0.638,Critical,493.82,3359.6,Resolved,2023-10-23 21:00:22,2024-07-24 00:29:37,Statistical
98,119,276,1,3,Vegetation Loss,2021-10-01 11:28:45,0.765,Critical,379.64,446.1,Investigating,2018-02-13 21:12:36,2018-12-11 07:26:38,Statistical
99,188,486,4,39,Ground Cracking,2021-01-30 22:47:56,0.524,Low,139.72,3858.6,Resolved,2023-03-29 10:04:47,2021-10-23 19:32:53,Isolation Forest
100,297,202,3,31,Sensor Outlier,2024-06-22 06:17:02,0.792,Medium,341.18,3013.4,False Alarm,2021-08-05 03:03:16,2018-02-17 03:49:22,Statistical
101,5,236,2,20,Sudden Displacement,2024-04-12 00:56:03,0.892,Low,19.5,2125.2,False Alarm,2023-12-14 01:31:18,2018-07-19 11:46:08,Isolation Forest
102,66,272,3,28,Rainfall Anomaly,2024-10-12 01:56:45,0.563,Medium,462.44,1663.3,Investigating,2023-06-03 18:14:10,2022-10-28 00:58:15,Rule-Based
103,29,399,7,56,Seismic Signal,2021-11-06 09:05:22,0.918,Low,132.32,1898.2,Resolved,2022-09-28 20:37:51,2018-08-19 05:34:44,Isolation Forest
104,90,14,6,51,Rainfall Anomaly,2018-12-16 19:40:22,0.56,High,207.65,44.5,Resolved,2019-02-13 18:56:46,2018-01-15 07:29:22,Statistical
105,266,241,3,31,Seismic Signal,2021-03-31 09:44:40,0.742,High,488.93,13.8,False Alarm,2024-04-17 08:19:14,2021-08-16 00:29:05,Rule-Based
106,9,292,3,30,Sensor Outlier,2024-02-04 16:44:09,0.564,Medium,473.53,320.0,Investigating,2024-01-20 02:25:20,2023-06-22 08:07:28,LSTM Autoencoder
107,240,27,5,45,Vegetation Loss,2021-02-18 18:27:18,0.808,High,129.8,2996.3,False Alarm,2020-07-22 16:26:53,2022-09-12 07:39:18,Statistical
108,300,18,6,52,Rainfall Anomaly,2023-04-16 12:09:31,0.662,Low,312.26,2993.4,Open,2020-03-17 23:18:05,2022-11-13 00:51:35,Rule-Based
109,189,164,6,51,Vegetation Loss,2020-02-21 23:13:32,0.863,Critical,225.6,2072.8,Resolved,2020-08-10 14:58:49,2024-01-21 19:39:29,Isolation Forest
