building_id,state_id,district_id,lat,lon,use_type,construction_type,num_floors,construction_year,occupancy,footprint_sqm,structural_condition,landslide_exposure,replacement_value_inr
1,5,1,23.55649,95.20922,Residential,Kutcha,6,1957,47,183.2,Good,High,4944416.0
2,41,5,22.74051,94.3934,Commercial,Reinforced Concrete,3,1960,14,354.4,Good,Low,4373204.0
3,26,3,23.92523,90.39671,Residential,Kutcha,6,1977,23,389.6,Poor,High,1438699.0
4,38,4,29.83537,98.52634,Institutional,Reinforced Concrete,4,2013,1,85.0,Fair,Low,4069272.0
5,56,7,29.25102,97.7167,Industrial,Reinforced Concrete,5,1991,18,463.8,Good,High,1541113.0
6,52,6,28.32942,99.91277,Industrial,Kutcha,3,1952,12,428.8,Fair,Negligible,1889601.0
7,25,3,26.5069,96.84799,Industrial,Reinforced Concrete,6,1970,42,403.4,Fair,Negligible,1769925.0
8,49,6,29.62234,98.66172,Mixed,Kutcha,2,1999,40,48.4,Poor,High,1967058.0
9,60,8,24.80733,95.96936,Commercial,Steel,2,1996,27,493.2,Dilapidated,Low,2889277.0
10,48,6,26.80391,95.04859,Institutional,Masonry,6,1974,41,467.1,Good,Medium,1591139.0
11,30,3,25.54308,92.60661,Institutional,Timber,4,1998,9,308.2,Fair,Medium,4263643.0
12,12,1,27.02724,97.89219,Institutional,Masonry,5,2005,23,403.3,Good,Medium,4419458.0
13,30,3,25.79253,92.69123,Residential,Timber,3,1955,34,85.8,Good,Medium,4081270.0
14,55,7,29.16654,94.30584,Residential,Steel,6,1994,29,477.2,Good,High,2580604.0
15,26,3,23.88415,90.31997,Residential,Reinforced Concrete,6,1967,12,229.0,Poor,Negligible,1527028.0
16,6,1,26.3804,97.31596,Institutional,Masonry,5,1950,13,62.0,Good,High,3938819.0
17,14,2,22.694,92.84883,Residential,Kutcha,5,1966,35,388.7,Dilapidated,Low,4716611.0
18,61,8,26.61623,89.9398,Industrial,Reinforced Concrete,4,2013,18,293.0,Poor,Negligible,4687561.0
19,28,3,29.19493,93.08643,Institutional,Masonry,5,2010,11,260.8,Fair,Medium,4559229.0
