record_id,slope_id,district_id,datetime,lat,lon,los_displacement_mm,vertical_displacement_mm,horizontal_displacement_mm,displacement_rate_mm_yr,phase_difference_rad,coherence_loss_pct,strain_rate,coherence,satellite,orbit_direction,movement_class
1,109,47,2022-08-25 11:36:16,29.656228,99.463175,1.9,1.71,0.57,0.43,3.81,9.01,0.0292,0.791,Sentinel-1,Descending,Very Active
2,268,58,2023-09-05 10:11:08,27.091528,94.196527,-40.63,-36.57,-12.19,10.17,2.04,3.6,0.0304,0.394,COSMO-SkyMed,Ascending,Active
3,189,17,2019-12-23 19:02:33,23.745701,92.959317,9.42,8.48,2.83,13.87,4.75,6.6,0.0074,0.912,COSMO-SkyMed,Descending,Active
4,123,54,2020-03-31 12:16:22,29.724177,91.76461,-40.34,-36.31,-12.1,10.66,4.82,7.55,0.0116,0.552,ALOS-2,Ascending,Very Active
5,349,15,2024-10-12 07:04:21,27.08332,98.484211,-30.41,-27.37,-9.12,0.27,4.82,7.29,0.0213,0.842,COSMO-SkyMed,Ascending,Stable
6,178,33,2020-05-28 04:06:16,23.623086,99.765544,-45.45,-40.91,-13.63,1.83,3.13,5.91,0.0013,0.331,COSMO-SkyMed,Ascending,Stable
7,27,58,2020-07-22 07:58:29,27.168122,94.631269,-42.49,-38.24,-12.75,0.95,4.22,1.46,0.0471,0.6,COSMO-SkyMed,Descending,Very Active
8,229,62,2022-09-03 13:31:12,26.748917,92.010198,-13.69,-12.32,-4.11,1.46,2.8,5.79,0.0404,0.642,COSMO-SkyMed,Descending,Slow Moving
9,446,57,2021-02-28 16:57:30,23.606758,93.369172,-41.09,-36.98,-12.33,8.58,0.41,6.23,0.0193,0.335,COSMO-SkyMed,Ascending,Very Active
10,40,32,2020-01-10 09:22:47,25.131467,95.866286,6.24,5.62,1.87,14.59,3.59,10.97,0.0011,0.344,COSMO-SkyMed,Descending,Slow Moving
11,420,62,2018-11-19 20:16:35,27.073901,92.443969,-16.5,-14.85,-4.95,0.17,2.61,24.89,0.0485,0.426,ALOS-2,Descending,Slow Moving
12,209,48,2019-07-11 03:30:24,27.017976,94.847086,-37.39,-33.65,-11.22,6.41,3.08,1.48,0.0204,0.748,ALOS-2,Descending,Very Active
13,337,59,2023-10-23 12:38:39,25.341129,92.354098,-13.63,-12.27,-4.09,8.06,3.5,24.25,0.0092,0.737,Sentinel-1,Ascending,Slow Moving
14,34,25,2022-04-24 22:00:18,26.518582,96.569829,-4.37,-3.93,-1.31,14.11,3.14,3.06,0.0127,0.575,COSMO-SkyMed,Descending,Slow Moving
15,445,22,2021-08-14 18:53:00,22.671916,96.466669,-42.2,-37.98,-12.66,14.34,2.69,1.69,0.0396,0.662,ALOS-2,Descending,Active
16,327,20,2024-02-02 19:01:28,23.55346,93.495437,-30.51,-27.46,-9.15,11.72,3.78,2.49,0.0343,0.807,ALOS-2,Ascending,Active
17,259,40,2019-07-18 14:56:54,28.004838,97.823511,-36.18,-32.56,-10.85,2.51,1.71,2.36,0.0114,0.811,ALOS-2,Descending,Stable
18,232,47,2023-01-31 17:59:39,29.556928,99.392373,-38.5,-34.65,-11.55,14.75,4.79,18.38,0.0498,0.914,ALOS-2,Ascending,Active
19,304,49,2023-06-06 15:15:04,29.488651,98.688502,-8.35,-7.51,-2.5,14.53,4.28,13.76,0.0272,0.589,COSMO-SkyMed,Ascending,Very Active
20,459,55,2019-06-21 10:50:05,28.697562,94.01477,-24.16,-21.74,-7.25,12.65,4.98,0.31,0.0475,0.774,Sentinel-1,Descending,Very Active
21,275,43,2021-09-27 11:03:15,29.521837,97.878118,-34.98,-31.48,-10.49,4.1,4.55,24.98,0.006,0.313,Sentinel-1,Descending,Very Active
22,326,3,2024-01-01 16:41:48,27.458315,98.886333,-45.78,-41.2,-13.73,5.89,0.52,1.08,0.0149,0.641,ALOS-2,Descending,Stable
23,147,29,2023-07-02 15:15:24,26.207854,98.815041,-22.63,-20.37,-6.79,0.73,2.76,21.03,0.012,0.556,COSMO-SkyMed,Ascending,Slow Moving
24,352,17,2022-02-23 06:21:54,23.729369,93.109703,-12.78,-11.5,-3.83,13.11,0.26,9.81,0.0293,0.406,COSMO-SkyMed,Descending,Stable
25,187,36,2020-12-16 14:10:02,25.367556,90.928405,-25.56,-23.0,-7.67,7.58,4.62,3.61,0.0304,0.806,ALOS-2,Ascending,Active
26,290,18,2022-02-23 05:46:02,29.02389,98.518006,3.26,2.93,0.98,5.69,2.62,18.88,0.0232,0.851,COSMO-SkyMed,Descending,Active
27,24,8,2021-04-11 11:01:43,24.422764,98.934733,-40.12,-36.11,-12.04,7.79,4.36,3.62,0.0254,0.78,COSMO-SkyMed,Ascending,Very Active
28,265,14,2023-02-07 13:14:14,22.511791,92.699139,-35.24,-31.72,-10.57,10.52,1.66,13.65,0.0175,0.55,COSMO-SkyMed,Ascending,Very Active
29,103,56,2024-06-29 02:52:07,29.707635,97.476854,-10.39,-9.35,-3.12,0.99,2.47,18.31,0.0136,0.765,Sentinel-1,Ascending,Stable
30,104,21,2020-04-14 11:29:40,24.26011,99.403686,-13.3,-11.97,-3.99,2.03,1.63,10.87,0.0183,0.73,ALOS-2,Ascending,Stable
31,197,62,2018-09-26 19:02:29,27.257606,92.212118,-1.0,-0.9,-0.3,2.03,3.01,22.0,0.0415,0.438,COSMO-SkyMed,Descending,Stable
32,100,35,2023-08-07 08:20:26,22.956245,91.897635,-37.55,-33.8,-11.26,4.33,2.35,12.34,0.0094,0.601,ALOS-2,Ascending,Active
33,364,17,2018-12-01 00:18:41,23.918402,92.699491,-38.79,-34.91,-11.64,0.19,3.13,0.82,0.0391,0.711,ALOS-2,Descending,Slow Moving
34,429,40,2019-08-15 05:53:53,28.28145,97.576982,-5.37,-4.83,-1.61,14.01,2.85,17.07,0.0168,0.335,ALOS-2,Ascending,Stable
35,107,47,2024-04-18 12:04:32,29.356888,99.187232,-37.46,-33.71,-11.24,6.81,1.01,19.03,0.0088,0.908,Sentinel-1,Ascending,Slow Moving
36,282,32,2022-09-20 04:29:30,25.26955,95.836337,4.61,4.15,1.38,4.31,1.47,24.48,0.0284,0.963,ALOS-2,Ascending,Very Active
