district_id,state_id,district_name,district_code,area_sq_km,population,urbanization_index,landslide_susceptibility,centroid_lat,centroid_lon
1,1,Tawang,D001,2669,338389,3,High,27.1154,90.2501
2,1,West Kameng,D002,7422,157473,3,Very High,23.9591,91.3954
3,1,East Kameng,D003,4134,141161,3,High,27.4136,98.9218
4,1,Papum Pare,D004,2875,148246,3,Medium,26.7239,90.3178
5,1,Upper Subansiri,D005,11032,77824,3,Very High,23.7491,95.0536
6,1,West Siang,D006,8325,785392,3,High,26.49,97.1602
7,1,East Siang,D007,4005,667889,3,High,26.3595,92.2044
8,1,Dibang Valley,D008,9129,217414,3,Very High,24.2255,98.693
9,1,Lohit,D009,11402,213032,3,High,27.5851,93.4025
10,1,Changlang,D010,4662,157175,3,High,23.7225,97.6349
11,1,Tirap,D011,2362,410663,3,High,22.742,90.9672
12,1,Longding,D012,1234,531741,3,Medium,26.8298,98.0713
13,2,Kamrup,D013,1528,446922,2,Medium,26.2898,99.7312
14,2,Kamrup Metropolitan,D014,228,709176,2,Low,22.6304,92.9318
15,2,Darrang,D015,1464,655397,2,Medium,26.9482,98.6171
16,2,Sonitpur,D016,5324,743384,2,High,23.5383,90.6956
17,2,Nagaon,D017,3831,133667,2,Medium,23.8232,92.8939
18,2,Karbi Anglong,D018,10434,448591,2,Very High,28.8425,98.6648
19,2,Dima Hasao,D019,4888,432554,2,Very High,24.2238,96.3568
20,2,Cachar,D020,3786,752729,2,High,23.3012,93.5527
21,2,Hailakandi,D021,1327,729514,2,Medium,24.1358,99.3665
22,2,Barpeta,D022,2830,610086,2,Low,22.5712,96.3498
23,3,Imphal West,D023,519,447887,3,Low,27.833,91.634
24,3,Imphal East,D024,709,771590,3,Low,24.1596,99.2539
25,3,Thoubal,D025,514,108655,3,Medium,26.4556,96.8461
26,3,Bishnupur,D026,496,380776,3,Medium,23.8324,90.321
27,3,Senapati,D027,3268,644731,3,Very High,25.2093,90.6619
28,3,Tamenglong,D028,4391,737277,3,Very High,29.0109,93.1468
29,3,Churachandpur,D029,4570,724079,3,Very High,25.9939,98.8468
30,3,Chandel,D030,3313,308607,3,High,25.6708,92.6488
31,3,Ukhrul,D031,4544,662982,3,High,27.9599,95.3898
32,3,Jiribam,D032,234,429580,3,Medium,25.4275,95.8353
33,4,East Khasi Hills,D033,2752,584277,2,Very High,23.7546,99.9754
34,4,West Khasi Hills,D034,5247,164975,2,Very High,25.9481,97.5578
35,4,Ri Bhoi,D035,2448,763536,2,High,23.2227,91.5998
36,4,Jaintia Hills,D036,3819,450156,2,Very High,25.3773,90.6353
37,4,East Garo Hills,D037,2603,313626,2,Medium,26.7671,94.6805
38,4,West Garo Hills,D038,3714,62038,2,Low,29.7686,98.6078
39,4,South Garo Hills,D039,1850,613054,2,Medium,27.4423,91.1455
40,5,Aizawl,D040,3576,406699,2,High,28.007,97.686
41,5,Lunglei,D041,4536,525763,2,Very High,22.8924,94.3477
42,5,Champhai,D042,3185,326183,2,High,22.026,97.2209
43,5,Serchhip,D043,1421,582342,2,High,29.7751,97.6196
44,5,Kolasib,D044,1382,362942,2,Medium,29.301,98.7052
45,5,Mamit,D045,3025,258573,2,High,28.7334,95.0766
46,5,Lawngtlai,D046,2557,615579,2,Very High,23.2227,97.6251
47,6,Kohima,D047,1463,50599,2,High,29.628,99.2243
48,6,Dimapur,D048,927,167301,2,Medium,26.7916,94.8861
49,6,Mokokchung,D049,1615,372451,2,High,29.4328,98.7872
50,6,Wokha,D050,1628,644916,2,Very High,23.9156,92.4087
51,6,Zunheboto,D051,1255,559597,2,Very High,29.5756,90.8565
52,6,Phek,D052,2026,608582,2,Very High,28.5282,99.7798
53,6,Tuensang,D053,4228,548369,2,Very High,28.1267,91.2839
54,6,Mon,D054,1786,603306,2,High,29.5748,91.6513
55,7,East Sikkim,D055,954,272086,2,Very High,28.9795,94.2314
56,7,West Sikkim,D056,1166,773378,2,Very High,29.4313,97.5527
57,7,North Sikkim,D057,4226,754314,2,Extreme,23.6092,93.1172
58,7,South Sikkim,D058,750,592717,2,High,27.199,94.381
59,8,West Tripura,D059,942,117136,2,Medium,25.6119,92.4791
60,8,North Tripura,D060,1422,291292,2,High,24.7047,95.8831
61,8,South Tripura,D061,1534,792225,2,Medium,26.7075,90.0719
62,8,Dhalai,D062,2437,82938,2,High,27.0488,92.2894
