event_id,state_id,district_id,datetime,lat,lon,magnitude_ml,depth_km,pga_g,epicentral_distance_km,fault_type,fault_strike,source_agency,seismic_hazard_index
1,35,4,2023-05-26 11:40:28,24.7376,92.6236,5.1,35.4,0.9628,154.3,Oblique,NW,ISR,2.455
2,10,1,2020-01-14 04:42:06,24.0977,96.8882,2.8,24.4,0.7751,329.2,Strike-Slip,NE,NCS,1.085
3,4,1,2019-09-10 16:00:30,26.1743,91.242,1.6,1.0,0.9739,470.6,Reverse,NE,USGS,0.779
4,42,5,2022-04-20 01:40:25,20.1119,98.4287,3.7,1.9,0.9929,205.7,Normal,NE,ISR,1.837
5,60,8,2022-04-14 06:03:15,23.9899,93.9162,3.2,13.1,0.6632,494.1,Reverse,E,NCS,1.061
6,60,8,2018-10-19 05:12:30,26.3742,94.1014,1.0,49.7,1.1302,178.7,Oblique,E,ISR,0.565
7,26,3,2024-08-11 07:35:49,22.8488,91.2959,2.2,12.8,0.2631,460.7,Oblique,E,ISR,0.289
8,50,6,2020-07-18 10:56:03,22.4692,93.5082,1.5,35.8,0.1379,103.3,Oblique,NE,NCS,0.103
9,14,2,2019-04-10 01:57:06,23.2571,91.4224,6.0,16.9,0.6301,318.7,Normal,NW,NCS,1.89
10,40,5,2020-09-16 15:51:40,28.4545,95.6931,6.7,28.6,0.8211,391.0,Normal,E,NCS,2.751
11,4,1,2020-12-16 12:06:03,25.4162,89.8573,4.4,12.9,1.4273,230.7,Reverse,E,IMD,3.14
12,9,1,2021-04-29 17:55:33,29.0355,92.182,6.6,12.8,1.0924,487.9,Oblique,N,ISR,3.605
13,54,6,2021-03-01 15:13:54,29.3125,90.5888,6.9,7.8,0.079,288.0,Oblique,NE,ISR,0.273
14,40,5,2022-09-09 17:55:42,28.8782,97.4768,2.0,17.2,0.1136,97.4,Reverse,NW,USGS,0.114
15,22,2,2019-12-07 04:00:23,23.8974,96.8668,2.9,20.6,0.8595,318.3,Reverse,N,ISR,1.246
16,53,6,2018-04-08 22:10:57,27.8287,92.3093,4.3,38.9,0.4326,440.3,Reverse,E,NCS,0.93
17,46,5,2024-04-12 04:35:08,21.907,97.5193,2.1,67.6,1.2214,114.3,Oblique,E,ISR,1.282
18,46,5,2023-04-07 02:02:27,23.6529,95.7445,2.6,31.6,0.4281,262.2,Reverse,NE,USGS,0.557
19,50,6,2021-07-07 15:49:50,22.2122,93.0024,5.4,12.8,1.0826,308.1,Reverse,E,NCS,2.923
20,31,3,2019-01-16 09:29:01,28.1104,94.1198,5.9,69.1,0.8327,334.3,Normal,NE,NCS,2.456
21,45,5,2018-08-02 01:06:23,30.1745,94.9548,4.0,5.9,1.0838,54.3,Normal,NE,IMD,2.168
22,25,3,2020-10-29 14:28:45,25.1202,98.4456,2.0,63.7,0.0257,239.6,Reverse,N,USGS,0.026
23,6,1,2023-07-29 12:21:22,26.8252,96.088,1.2,68.0,0.3506,59.9,Normal,NW,USGS,0.21
24,27,3,2022-11-08 14:28:58,24.0684,90.0312,1.8,6.0,0.6876,256.7,Normal,N,ISR,0.619
25,13,2,2024-03-13 12:00:34,27.5637,99.9578,6.7,4.6,1.1784,145.9,Reverse,NE,IMD,3.948
