report_id,state_id,district_id,event_id,report_datetime,reporter_id,reporter_type,lat,lon,observation_type,damage_severity,weather_at_site,rainfall_observed_mm,visibility_m,verification_status,ai_validation_score,photo_path
1,1,8,316,2021-12-20 12:06:05,FIELD_9177,District Admin,24.3322,98.45052,Flooding,Moderate,Heavy Rain,4.6,193.3,Under Review,0.51,photos/FR00001.jpg
2,4,36,889,2024-06-01 14:31:42,FIELD_2029,NDMA Officer,25.46181,90.66548,Damage,Minor,Heavy Rain,200.5,69.4,Under Review,0.99,photos/FR00002.jpg
3,6,54,851,2023-12-06 01:43:42,FIELD_4187,Forest Guard,29.6295,91.84887,Village Isolated,Minor,Heavy Rain,51.1,76.5,Verified,0.49,photos/FR00003.jpg
4,5,43,822,2021-05-08 05:00:11,FIELD_5322,Police,29.93423,97.52999,Village Isolated,None,Heavy Rain,385.0,51.9,Archived,0.63,photos/FR00004.jpg
5,6,48,,2024-04-12 17:54:07,FIELD_4909,GSI Geologist,26.70375,94.96311,Damage,None,Rain,863.5,129.6,Verified,0.25,photos/FR00005.jpg
6,2,16,174,2024-03-02 10:03:26,FIELD_5471,Police,23.59861,90.39894,Damage,None,Rain,878.5,128.3,Rejected,0.33,
7,3,29,358,2018-04-12 02:13:08,FIELD_8897,Citizen,25.86169,99.06694,Landslide Observed,Minor,Cloudy,532.1,39.7,Archived,0.37,photos/FR00007.jpg
8,2,13,,2023-02-10 17:33:03,FIELD_7222,GSI Geologist,26.3541,99.5798,Flooding,Severe,Rain,811.4,5.8,Verified,0.46,
9,6,52,90,2021-04-15 06:23:34,FIELD_4578,District Admin,28.43925,99.91283,Damage,Minor,Clear,314.2,9.2,Verified,0.41,photos/FR00009.jpg
10,7,56,647,2020-06-24 04:43:55,FIELD_7464,Forest Guard,29.48016,97.37629,Village Isolated,None,Rain,691.7,199.6,Under Review,0.86,photos/FR00010.jpg
11,2,16,,2022-02-17 23:51:07,FIELD_4220,Citizen,23.75257,90.47749,Crack Observed,None,Rain,111.5,118.9,Submitted,0.71,photos/FR00011.jpg
12,2,19,72,2019-07-11 06:08:07,FIELD_9015,Forest Guard,23.95582,96.11007,Landslide Observed,None,Clear,682.1,119.3,Submitted,0.39,photos/FR00012.jpg
13,2,17,473,2019-09-21 03:58:33,FIELD_9492,District Admin,23.80867,92.97421,Road Blocked,Severe,Heavy Rain,87.2,50.3,Rejected,0.45,photos/FR00013.jpg
14,2,18,485,2020-11-26 16:08:34,FIELD_1375,GSI Geologist,28.85936,98.49102,Flooding,Moderate,Heavy Rain,31.7,152.1,Submitted,0.73,photos/FR00014.jpg
15,3,31,775,2023-06-01 13:32:43,FIELD_9876,Police,27.94217,95.37833,Landslide Observed,Moderate,Cloudy,239.2,143.8,Submitted,0.86,photos/FR00015.jpg
16,1,9,,2023-06-26 17:26:34,FIELD_9534,GSI Geologist,27.56213,93.32085,Flooding,Severe,Cloudy,909.2,49.7,Under Review,0.94,photos/FR00016.jpg
17,2,22,518,2022-12-04 04:56:13,FIELD_2083,NDMA Officer,22.7383,96.05682,Flooding,None,Rain,119.1,6.0,Under Review,0.27,photos/FR00017.jpg
18,8,62,210,2020-07-25 09:19:13,FIELD_8231,Citizen,27.20561,92.39784,Flooding,Minor,Cloudy,805.5,45.6,Archived,0.84,
19,2,14,887,2023-10-09 16:40:39,FIELD_1118,GSI Geologist,22.52754,92.80265,Village Isolated,Moderate,Heavy Rain,184.7,11.6,Submitted,0.19,photos/FR00019.jpg
