record_id,slope_id,district_id,rock_type,geological_age,rock_class,weathering_grade,rock_mass_rating,joint_dip_deg,joint_strike_deg,joint_spacing_m,joint_aperture_class,infill_material,ucs_mpa,discontinuity_persistence,structural_control_risk
1,119,18,Shale,Cenozoic,Metamorphic,4,4,26.3,80,4.81,Closed,Iron Oxide,239.9,0.99,Low
2,2,16,Granite,Mesozoic,Igneous,5,2,78.4,133,8.87,Tight,None,118.3,0.58,Moderate
3,300,25,Sandstone,Paleozoic,Metamorphic,5,5,44.7,60,9.98,Closed,Calcite,48.5,0.48,Very High
4,68,40,Granite,Cenozoic,Igneous,3,5,41.4,43,6.98,Open,Iron Oxide,14.3,0.03,High
5,448,12,Schist,Quaternary,Igneous,0,5,2.6,113,6.95,Very Tight,Clay,178.0,0.26,High
6,156,3,Schist,Paleozoic,Igneous,5,4,30.3,97,2.53,Closed,Calcite,168.7,0.23,Moderate
7,352,17,Shale,Paleozoic,Sedimentary,3,2,77.9,66,8.21,Open,Clay,201.2,0.13,Low
8,418,51,Phyllite,Quaternary,Igneous,1,5,52.7,163,4.17,Open,Calcite,227.6,0.82,High
9,314,31,Gneiss,Mesozoic,Metamorphic,0,3,85.5,102,8.8,Closed,Clay,93.3,0.52,Very High
10,305,51,Limestone,Mesozoic,Metamorphic,1,3,88.7,139,7.76,Tight,Iron Oxide,241.4,0.01,Low
11,500,17,Schist,Paleozoic,Igneous,0,3,24.7,174,8.64,Closed,None,130.7,0.31,Moderate
12,414,36,Sandstone,Cenozoic,Igneous,0,3,44.2,166,6.36,Tight,Calcite,80.5,0.9,Very High
13,24,8,Basalt,Paleozoic,Sedimentary,1,4,17.8,172,6.65,Tight,Calcite,242.5,0.2,High
14,485,57,Limestone,Precambrian,Metamorphic,1,4,74.8,22,8.37,Very Tight,Quartz,30.0,0.5,Low
15,363,8,Schist,Paleozoic,Igneous,3,3,10.5,155,7.78,Tight,Clay,76.2,0.45,Moderate
16,433,62,Sandstone,Mesozoic,Metamorphic,0,5,79.5,152,1.26,Tight,Quartz,243.3,0.29,Low
17,271,46,Basalt,Paleozoic,Sedimentary,5,5,61.0,157,8.32,Tight,Iron Oxide,16.3,0.9,Very High
18,436,18,Phyllite,Cenozoic,Metamorphic,2,4,63.9,79,0.7,Open,Clay,41.5,1.0,Low
19,19,30,Gneiss,Cenozoic,Metamorphic,0,3,4.3,155,3.86,Closed,Iron Oxide,237.6,0.83,Low
20,277,10,Granite,Cenozoic,Metamorphic,4,4,75.5,161,5.89,Very Tight,None,91.5,0.68,Very High
21,19,30,Basalt,Precambrian,Metamorphic,4,5,27.7,146,3.79,Closed,Calcite,113.6,0.6,High
22,348,34,Granite,Precambrian,Igneous,5,4,80.0,131,7.05,Very Tight,Calcite,183.6,0.88,Very High
23,236,28,Limestone,Precambrian,Igneous,2,2,25.5,106,7.3,Open,Calcite,231.9,0.73,Very High
24,1,54,Phyllite,Precambrian,Igneous,0,5,73.7,169,3.08,Tight,Clay,127.2,0.91,Moderate
25,133,25,Granite,Quaternary,Igneous,2,1,24.8,11,7.15,Tight,Clay,34.0,0.53,Low
26,436,18,Schist,Mesozoic,Sedimentary,4,4,34.0,42,9.26,Closed,Quartz,127.7,0.61,Low
27,155,34,Granite,Precambrian,Metamorphic,1,2,41.1,60,9.18,Open,Quartz,185.2,0.26,Very High
28,147,29,Granite,Quaternary,Metamorphic,5,3,77.4,109,0.55,Tight,Clay,77.4,0.78,Very High
29,36,33,Gneiss,Quaternary,Metamorphic,0,1,67.8,117,7.43,Closed,Iron Oxide,224.9,0.95,Moderate
30,221,23,Limestone,Mesozoic,Igneous,3,4,13.2,57,3.6,Tight,Clay,48.0,0.41,High
31,85,33,Sandstone,Mesozoic,Metamorphic,1,3,14.0,2,3.0,Closed,Iron Oxide,219.9,0.17,Very High
32,269,36,Schist,Quaternary,Igneous,1,4,35.4,8,9.71,Very Tight,Calcite,226.6,0.67,Very High
33,199,1,Phyllite,Cenozoic,Sedimentary,5,4,63.0,91,3.05,Closed,Quartz,233.3,0.8,High
34,126,31,Granite,Precambrian,Igneous,5,3,54.1,6,6.91,Tight,Calcite,152.5,0.05,Low
35,345,12,Schist,Cenozoic,Metamorphic,5,5,9.5,73,9.35,Tight,Clay,127.3,0.96,High
