record_id,slope_id,district_id,datetime,stream_flow_cumec,water_table_depth_m,pore_pressure_kpa,seepage_rate_mm_day,groundwater_level_change_m,catchment_area_sq_m,runoff_coefficient,baseflow_index,stream_type,channel_gradient,infiltration_rate
1,208,34,2022-02-21 06:56:33,36.3,4.96,89.3,1.65,5.34,29750.0,26.8,69.18,Ephemeral,343.0,0.882
2,111,24,2023-08-05 21:15:09,4333.0,4.21,76.7,19.02,2.23,401.0,17.5,5.75,Seasonal,395.8,0.157
3,150,17,2019-03-21 04:39:00,3421.1,3.9,61.1,14.93,-1.51,29099.0,96.7,95.32,Seasonal,282.3,0.536
4,202,36,2022-08-09 11:53:24,3022.3,4.34,90.2,0.02,9.58,49628.0,81.5,87.58,None,197.6,0.686
5,70,32,2021-03-25 16:16:06,673.9,3.67,18.9,8.2,-1.39,13029.0,82.8,28.12,Ephemeral,382.9,0.772
6,74,43,2019-10-06 04:06:42,2458.3,5.33,49.6,15.1,0.57,10897.0,29.5,90.0,None,250.0,0.63
7,285,41,2021-03-27 21:58:58,3652.2,0.31,92.4,8.74,-0.86,31703.0,63.5,59.03,None,404.5,0.171
8,388,43,2024-06-17 19:56:40,1494.0,9.71,55.8,3.57,2.91,42437.0,82.2,11.91,Ephemeral,487.8,0.639
9,131,9,2023-06-21 00:29:12,1621.7,3.76,74.2,16.35,-0.56,6630.0,77.7,20.96,Seasonal,81.4,0.473
10,187,36,2020-01-31 06:15:18,794.5,4.23,33.4,13.47,7.26,7443.0,65.6,92.04,None,335.1,0.933
11,88,36,2021-10-05 23:53:47,2712.7,4.26,71.5,17.02,5.29,6708.0,90.8,21.45,Seasonal,121.0,0.892
12,65,27,2024-09-14 14:22:26,1070.8,7.66,30.0,15.37,6.92,46097.0,86.4,68.59,Seasonal,284.7,0.18
13,367,29,2022-04-03 22:43:25,2007.2,6.98,77.9,17.25,6.07,32848.0,74.4,92.4,Ephemeral,135.2,0.023
14,328,58,2023-09-09 19:42:54,2682.7,1.15,9.0,7.05,3.49,11105.0,99.0,40.52,None,10.0,0.45
15,114,44,2018-04-03 13:10:19,3153.3,5.48,66.1,15.46,6.82,1947.0,46.6,49.44,Perennial,104.7,0.675
16,124,27,2021-08-24 01:22:28,4388.6,10.0,40.6,9.76,7.67,8969.0,66.2,80.3,Perennial,276.6,0.174
17,191,18,2018-02-20 21:09:28,2328.5,4.55,40.4,16.31,9.01,18286.0,64.9,74.83,Perennial,43.8,0.269
18,308,8,2021-07-12 15:50:59,322.6,6.74,6.7,11.38,0.48,27943.0,70.6,84.0,Seasonal,322.6,0.581
19,260,51,2018-08-06 02:12:31,3037.2,8.96,44.8,6.78,5.65,41035.0,90.1,72.79,Perennial,105.2,0.205
20,384,16,2020-08-22 14:11:10,4646.0,4.3,4.7,14.76,9.99,29825.0,10.1,29.22,Seasonal,50.7,0.99
21,459,55,2022-07-04 11:03:14,1195.4,8.59,95.2,0.59,4.22,6233.0,44.8,41.99,Ephemeral,443.6,0.377
22,336,47,2024-09-24 18:11:12,1970.6,9.89,74.5,3.39,3.69,39416.0,33.4,48.34,None,471.8,0.912
23,493,34,2021-07-29 03:23:01,3883.7,7.52,5.5,0.67,1.29,36090.0,1.6,54.02,Ephemeral,128.2,0.469
24,124,27,2023-04-05 02:32:21,3621.2,9.38,8.6,4.91,6.52,45307.0,73.0,58.01,Perennial,18.0,0.757
25,206,9,2019-03-11 09:37:19,4680.4,6.04,37.1,19.14,9.58,6395.0,46.1,77.65,None,483.5,0.652
26,462,13,2020-03-07 00:06:35,1421.1,0.51,81.1,0.75,5.86,41850.0,95.9,94.44,None,236.7,0.402
27,267,8,2022-03-06 10:27:06,596.4,2.8,22.0,17.86,4.9,6098.0,61.2,89.09,Ephemeral,108.6,0.64
28,466,40,2021-04-09 08:21:27,1776.5,4.74,43.6,5.93,5.98,42492.0,32.0,57.58,Seasonal,56.7,0.907
29,220,47,2021-02-25 17:15:39,4322.2,7.43,39.4,8.32,6.04,2889.0,38.1,25.48,Seasonal,131.2,0.639
30,71,21,2020-08-16 17:00:52,3481.9,8.03,79.1,11.55,4.47,14380.0,40.7,30.77,Ephemeral,170.8,0.923
31,406,52,2020-05-20 20:23:14,1440.8,1.51,71.7,4.66,7.96,2570.0,74.2,27.9,None,302.8,0.003
32,121,57,2019-09-15 15:26:09,3141.6,6.12,39.8,13.86,3.63,43289.0,42.2,1.15,Seasonal,479.8,0.441
33,313,39,2022-08-19 00:40:10,4434.6,9.4,79.8,16.52,-0.61,32943.0,21.8,95.6,Ephemeral,32.2,0.363
34,496,32,2021-09-15 03:21:39,3702.7,3.14,36.0,8.42,3.84,44003.0,17.8,86.87,Seasonal,374.1,0.484
35,277,10,2022-12-07 13:48:52,2993.5,0.52,51.1,12.17,9.72,144.0,33.4,33.27,Seasonal,141.5,0.415
36,69,58,2024-06-01 11:41:54,3195.4,5.98,51.9,18.02,-0.97,29924.0,45.3,71.94,Seasonal,162.6,0.273
37,413,7,2022-09-01 02:17:37,4307.5,7.14,49.6,6.75,2.9,32006.0,44.6,62.59,Seasonal,449.2,0.353
38,189,17,2022-02-01 19:30:34,4358.4,9.64,48.3,14.75,4.8,44188.0,17.4,77.53,Ephemeral,200.9,0.226
39,333,36,2018-12-09 05:52:21,4873.2,9.86,87.6,8.59,3.1,18259.0,7.0,30.92,Seasonal,420.4,0.284
40,248,28,2024-08-13 21:57:37,3164.8,9.52,53.1,18.65,-1.7,18417.0,53.3,23.85,Seasonal,431.3,0.768
41,358,52,2021-09-28 02:09:38,2584.1,3.72,7.2,17.97,8.38,17222.0,43.7,17.98,Perennial,125.4,0.251
42,334,48,2024-05-06 19:07:04,3182.1,3.95,18.8,11.59,0.4,24410.0,15.3,54.03,Seasonal,99.0,0.604
43,259,40,2018-11-06 14:23:37,818.4,2.49,41.1,11.55,7.69,47642.0,87.4,98.48,None,440.0,0.421
44,59,29,2018-08-30 10:58:44,2155.9,9.82,9.4,18.21,-0.82,43522.0,65.0,68.01,Ephemeral,121.8,0.671
45,242,17,2022-09-21 09:51:22,2009.0,5.23,83.7,14.44,4.08,21270.0,78.5,42.01,Ephemeral,167.5,0.127
46,84,9,2019-09-04 20:51:36,4799.6,2.97,26.1,2.88,7.07,193.0,59.2,65.92,Perennial,317.1,0.801
47,118,39,2022-07-06 14:01:18,597.7,1.84,72.1,17.91,-1.44,28362.0,60.5,7.52,None,28.6,0.109
48,122,33,2018-05-23 04:51:48,4058.9,6.92,13.3,17.55,4.34,36270.0,0.7,58.31,Ephemeral,246.7,0.984
49,323,27,2022-02-08 12:11:33,4292.5,9.13,82.0,4.69,0.37,2871.0,88.6,88.19,Ephemeral,46.6,0.398
50,35,45,2021-01-14 11:35:25,387.6,7.51,31.3,19.13,6.25,13228.0,76.7,30.7,Ephemeral,443.4,0.423
51,328,58,2020-08-20 05:54:40,1957.4,9.17,93.8,16.32,7.28,8745.0,76.5,58.9,None,354.1,0.921
52,57,1,2018-05-27 00:20:37,2046.0,1.66,90.4,12.4,4.6,47342.0,22.0,31.28,Ephemeral,399.6,0.69
53,423,20,2022-05-08 02:00:51,2832.3,1.93,73.8,13.82,9.0,22027.0,32.1,76.25,Ephemeral,321.1,0.098
54,100,35,2021-11-20 15:11:13,2485.9,6.87,92.7,10.97,2.31,36115.0,93.7,21.05,None,458.7,0.602
55,218,28,2018-11-18 17:32:42,4262.0,6.68,16.6,9.81,2.61,33874.0,68.4,33.87,Seasonal,389.7,0.759
56,327,20,2022-08-15 11:07:44,917.2,6.3,28.0,8.69,-1.14,30916.0,83.5,62.31,Ephemeral,33.5,0.259
57,21,25,2020-04-22 14:57:55,1243.6,6.91,38.4,18.94,3.28,133.0,78.5,76.75,Seasonal,355.3,0.394
58,256,59,2022-12-28 13:21:07,944.8,2.67,51.0,17.41,2.4,17612.0,60.2,69.73,Seasonal,414.3,0.877
59,324,43,2024-01-11 07:18:42,2256.5,4.53,15.6,5.67,2.98,13696.0,84.8,32.76,Seasonal,473.0,0.44
60,300,25,2022-04-13 11:40:40,3086.5,8.05,33.6,12.03,6.8,17597.0,22.6,59.85,Ephemeral,222.1,0.656
61,370,41,2023-10-13 12:07:09,1528.7,2.74,0.1,14.43,8.43,1375.0,0.3,95.57,Perennial,421.1,0.0
