infra_id,state_id,district_id,infra_type,infra_code,lat,lon,construction_year,condition,capacity,construction_type,landslide_exposure,distance_to_nearest_slope_km
1,50,6,Helipad,INF00001,23.84131,92.27326,1902,Poor,4631,Seismically Isolated,Medium,1.72
2,43,5,Water Treatment,INF00002,29.6752,97.39556,1980,Good,1534,Steel Frame,Medium,0.34
3,41,5,Water Treatment,INF00003,22.9744,94.31966,1930,Poor,4278,Reinforced Concrete,Low,6.52
4,3,1,Helipad,INF00004,27.50074,98.84575,1904,Critical,1485,Steel Frame,Medium,9.48
5,7,1,Power Station,INF00005,26.63166,92.1988,1985,Fair,3588,Timber,High,4.01
6,46,5,Telecom Tower,INF00006,23.28645,97.82288,1945,Poor,2479,Steel Frame,Low,3.14
7,4,1,Telecom Tower,INF00007,26.80325,90.52806,1963,Fair,767,Steel Frame,High,4.2
8,47,6,Power Station,INF00008,29.56711,99.44633,1937,Critical,1232,Timber,Negligible,9.52
9,45,5,School,INF00009,28.49904,94.89263,1967,Poor,1883,Reinforced Concrete,Medium,8.98
10,55,7,Hospital,INF00010,29.26893,94.42184,1947,Fair,2611,Timber,Medium,8.97
11,48,6,Disaster Relief Camp,INF00011,26.74071,94.72902,2014,Critical,2513,Seismically Isolated,High,1.03
12,43,5,Water Treatment,INF00012,29.64047,97.69938,2010,Good,1518,Timber,Negligible,6.02
13,61,8,Hospital,INF00013,26.5529,90.04048,1933,Good,171,Masonry,Low,0.65
14,27,3,Power Station,INF00014,25.05037,90.44855,1906,Critical,3276,Timber,Medium,2.19
15,7,1,School,INF00015,26.06082,92.32152,1972,Good,712,Steel Frame,Negligible,3.15
16,11,1,Telecom Tower,INF00016,22.96435,91.15194,2021,Fair,4844,Reinforced Concrete,Low,0.68
17,18,2,Disaster Relief Camp,INF00017,29.02718,98.58367,1939,Good,3584,Timber,Low,3.42
18,32,3,Helipad,INF00018,25.7072,95.55278,1988,Critical,2090,Seismically Isolated,Low,2.16
19,54,6,Helipad,INF00019,29.35192,91.71366,1911,Poor,4710,Masonry,High,4.43
20,10,1,Water Treatment,INF00020,23.80197,97.70637,1957,Good,430,Timber,Negligible,9.52
21,6,1,Hospital,INF00021,26.29933,97.10295,1954,Poor,2661,Steel Frame,High,2.22
22,25,3,Telecom Tower,INF00022,26.18169,97.13154,1992,Good,2549,Masonry,Low,2.31
23,5,1,Water Treatment,INF00023,23.53915,95.08908,1940,Poor,4534,Timber,Negligible,4.54
24,43,5,Hospital,INF00024,29.62325,97.4837,2003,Critical,1698,Steel Frame,Medium,2.02
25,60,8,Helipad,INF00025,24.70161,95.69813,2009,Fair,4023,Reinforced Concrete,High,3.43
26,48,6,Disaster Relief Camp,INF00026,26.88288,94.79469,2014,Poor,4242,Masonry,Medium,6.3
27,1,1,School,INF00027,27.14109,90.36585,1941,Fair,3889,Masonry,Negligible,7.41
28,9,1,Government Office,INF00028,27.73093,93.26072,1945,Critical,690,Steel Frame,Negligible,1.33
29,42,5,Helipad,INF00029,22.02022,96.95121,1966,Good,1021,Steel Frame,Medium,2.57
30,25,3,Hospital,INF00030,26.58744,96.94078,2006,Good,2501,Seismically Isolated,High,5.22
31,5,1,Government Office,INF00031,23.9192,94.78952,1939,Critical,1589,Reinforced Concrete,Medium,2.72
32,50,6,Hospital,INF00032,23.96273,92.13364,1978,Poor,4380,Steel Frame,Low,7.31
33,44,5,Hospital,INF00033,29.34905,98.47341,1943,Critical,1907,Steel Frame,Medium,9.32
34,45,5,School,INF00034,28.78609,95.11709,1998,Fair,4466,Timber,Negligible,0.6
35,36,4,School,INF00035,25.38245,90.85844,1948,Poor,3818,Masonry,Medium,7.06
36,24,3,Telecom Tower,INF00036,24.35554,99.40219,1974,Good,1026,Reinforced Concrete,Medium,1.71
37,60,8,Disaster Relief Camp,INF00037,24.55427,96.11634,2007,Poor,4340,Seismically Isolated,Medium,3.83
38,58,7,Police Station,INF00038,27.18836,94.51473,2017,Good,4372,Reinforced Concrete,High,4.56
39,62,8,Hospital,INF00039,27.17259,92.30641,1956,Good,3111,Seismically Isolated,Medium,3.54
40,57,7,Helipad,INF00040,23.90902,92.90073,2011,Critical,4546,Masonry,Medium,9.36
41,39,4,Power Station,INF00041,27.48827,90.86579,1970,Good,1371,Steel Frame,Negligible,8.01
42,26,3,Telecom Tower,INF00042,23.81273,90.23632,2005,Fair,1314,Masonry,High,9.93
43,48,6,Police Station,INF00043,26.6649,94.93059,2010,Fair,1885,Masonry,Negligible,8.17
44,47,6,School,INF00044,29.54318,99.21739,1921,Good,1453,Masonry,Low,9.93
45,46,5,Power Station,INF00045,22.99152,97.60194,1933,Critical,3640,Timber,Low,0.02
46,6,1,Police Station,INF00046,26.75274,97.26894,1991,Good,1019,Seismically Isolated,High,0.63
47,9,1,Hospital,INF00047,27.42964,93.18149,1908,Poor,2625,Timber,Medium,2.88
48,24,3,Police Station,INF00048,24.0536,99.12553,1940,Critical,4867,Steel Frame,Medium,4.26
49,36,4,Helipad,INF00049,25.11739,90.87019,1960,Critical,303,Masonry,High,1.41
50,43,5,Helipad,INF00050,30.06653,97.66872,1939,Critical,4373,Timber,Medium,7.05
51,45,5,Water Treatment,INF00051,29.00826,95.08199,1945,Poor,1445,Masonry,Negligible,2.34
