event_id,district_id,slope_id,state_id,event_datetime,detection_datetime,report_datetime,landslide_type,trigger,slope_angle_deg,elevation_m,area_affected_sqkm,volume_cu_m,fatalities,injuries,displaced_persons,road_blocked_km,buildings_damaged,runout_distance_km,verification_status,reported_by
1,38,275,4,2020-02-17 12:27:20,2024-08-16 07:06:25,2018-02-07 17:54:29,Rotational Slide,Earthquake,46.9,4361,38.59,1546625.0,10,10,4257,13.3,428,2.6,Under Investigation,Field Team
2,10,308,1,2021-03-06 04:47:42,2019-05-21 08:54:45,2024-06-08 15:40:53,Rockfall,Snowmelt,36.6,1840,42.47,1765045.0,0,0,2530,10.0,30,9.8,Preliminary,ISRO
3,53,367,6,2020-05-12 23:59:51,2021-05-10 21:58:54,2019-10-15 00:35:25,Rotational Slide,Snowmelt,41.3,3458,11.33,419783.0,10,10,3993,14.5,387,4.2,Confirmed,Satellite
4,47,145,6,2021-03-02 22:59:12,2018-08-10 22:19:29,2019-11-02 18:08:28,Complex,Snowmelt,45.0,1554,35.09,977344.0,0,0,4754,17.3,107,2.6,Under Investigation,ISRO
5,48,334,6,2018-02-07 11:46:54,2022-10-16 21:53:10,2018-08-19 03:22:30,Rockfall,Rainfall,18.9,2889,28.83,987069.0,20,20,3084,19.0,332,3.7,Preliminary,ISRO
6,41,370,5,2022-07-13 07:02:07,2019-01-03 14:55:52,2022-04-15 08:40:41,Translational Slide,Anthropogenic,30.4,606,12.12,302305.0,2,2,3075,15.5,42,1.7,Under Investigation,Satellite
7,15,12,2,2024-07-31 18:36:30,2022-11-12 09:36:08,2019-02-12 10:04:45,Mudflow,Earthquake,64.0,4397,13.76,516311.0,3,3,3145,9.7,10,4.2,Under Investigation,Satellite
8,32,33,3,2023-10-27 18:34:45,2024-09-19 22:11:00,2024-03-22 14:51:20,Debris Flow,Rainfall,18.0,2341,40.96,1348949.0,3,3,961,3.6,334,2.0,Under Investigation,District Admin
9,55,386,7,2018-05-24 02:07:32,2018-07-09 16:57:50,2021-04-16 21:34:28,Rockfall,Undercutting,29.0,834,15.0,725213.0,0,0,0,5.0,267,9.2,Preliminary,Satellite
10,35,262,4,2020-05-09 22:06:42,2024-10-02 17:13:37,2022-01-10 08:08:46,Mudflow,Snowmelt,42.1,4763,41.01,517461.0,0,0,1763,19.1,133,4.1,Confirmed,Field Team
11,30,43,3,2020-11-07 21:27:44,2024-04-27 21:41:52,2023-09-26 19:10:26,Rockfall,Anthropogenic,68.8,1192,7.25,79637.0,2,4,1578,14.3,194,0.7,Under Investigation,ISRO
12,5,139,1,2019-05-26 17:07:43,2019-08-23 07:17:00,2019-02-06 12:14:24,Debris Flow,Rainfall,58.5,3194,27.46,116211.0,2,4,2732,15.6,448,3.4,Preliminary,GSI
13,34,179,4,2024-06-01 09:35:17,2023-12-18 17:38:56,2022-07-08 15:37:08,Rotational Slide,Rainfall,19.1,1801,30.41,1366380.0,0,0,1480,6.9,79,6.7,Confirmed,Field Team
14,37,377,4,2020-12-31 01:58:46,2023-02-19 05:28:22,2023-04-04 16:18:17,Translational Slide,Undercutting,19.9,1449,32.0,612396.0,3,15,4986,8.4,156,6.5,Confirmed,District Admin
15,27,395,3,2021-07-04 02:40:05,2021-03-16 17:59:31,2018-02-13 13:43:32,Complex,Earthquake,16.1,4372,3.93,50154.0,0,0,470,1.7,350,10.0,Under Investigation,GSI
16,26,8,3,2024-11-29 06:58:53,2023-12-04 21:38:02,2024-10-23 14:10:43,Mudflow,Earthquake,13.6,3121,37.32,1343290.0,2,10,2826,4.9,429,1.8,Preliminary,GSI
17,28,254,3,2022-04-02 05:23:07,2021-04-17 08:13:00,2024-05-18 12:13:59,Rotational Slide,Unknown,40.1,356,16.96,581289.0,3,0,2376,6.0,478,4.9,Under Investigation,Field Team
18,4,183,1,2018-01-25 19:29:21,2018-02-06 03:27:31,2020-03-20 02:33:32,Rockfall,Snowmelt,11.3,3958,14.99,93703.0,0,0,1525,8.0,3,2.0,Under Investigation,District Admin
19,15,241,2,2022-06-08 11:19:23,2022-12-05 05:08:22,2022-11-13 00:22:56,Complex,Earthquake,48.3,522,21.47,213131.0,3,0,3592,13.1,20,1.8,Preliminary,District Admin
20,58,17,7,2019-10-19 21:12:30,2019-06-06 10:48:48,2022-06-26 16:46:59,Complex,Snowmelt,15.8,2229,47.99,2359357.0,0,0,4506,9.9,405,0.7,Confirmed,District Admin
21,33,7,4,2020-08-26 01:43:53,2023-06-14 02:48:27,2020-10-11 19:09:46,Mudflow,Earthquake,62.0,1469,17.17,838677.0,2,6,3933,5.8,58,8.7,Under Investigation,ISRO
22,43,421,5,2022-10-24 06:30:45,2024-08-18 20:40:09,2020-07-28 03:08:25,Debris Flow,Anthropogenic,64.3,3976,39.16,236925.0,2,8,1484,3.8,218,0.7,Confirmed,GSI
23,56,27,7,2022-04-07 13:33:19,2022-10-16 20:03:19,2019-03-27 08:23:17,Rotational Slide,Unknown,33.1,1038,35.04,1717874.0,0,0,3925,1.2,458,1.0,Confirmed,GSI
24,4,339,1,2021-08-10 06:18:30,2021-05-31 03:06:42,2018-02-25 21:35:49,Rockfall,Anthropogenic,53.4,4698,14.08,432532.0,1,2,4024,7.3,380,7.9,Under Investigation,Satellite
25,24,122,3,2021-02-04 06:37:24,2020-02-20 06:45:28,2019-02-09 02:34:39,Rotational Slide,Anthropogenic,18.8,3545,4.45,27643.0,2,8,985,0.8,103,5.6,Confirmed,GSI
