zone_id,state_id,district_id,zone_code,zone_type,lat,lon,area_sq_km,status,num_sensors,established_date,risk_level
1,7,56,MZ0001,Road Corridor,29.26173,97.56686,33.61,Active,8,2016-06-25,Medium
2,2,16,MZ0002,River Valley,23.82292,91.0031,5.17,Under Review,6,2018-12-22,Medium
3,3,27,MZ0003,Critical Slope,25.17632,90.89098,3.5,Under Review,5,2023-12-24,High
4,2,16,MZ0004,River Valley,23.22989,90.73189,21.38,Inactive,7,2017-10-20,High
5,3,29,MZ0005,Critical Slope,26.30192,99.20277,3.0,Under Review,0,2016-01-18,Very High
6,1,11,MZ0006,Settlement Area,22.64841,90.94856,45.17,Active,6,2015-01-09,Medium
7,2,17,MZ0007,Road Corridor,24.24972,93.17903,21.44,Under Review,12,2021-03-26,Medium
8,1,10,MZ0008,Critical Slope,23.4124,97.3526,29.17,Under Review,0,2023-05-22,Extreme
9,1,4,MZ0009,Forest Zone,26.27404,90.29459,8.29,Under Review,1,2024-07-19,Very High
10,1,5,MZ0010,River Valley,23.84414,95.22881,20.49,Under Review,3,2021-06-29,High
11,5,40,MZ0011,Forest Zone,27.58898,97.84337,26.38,Inactive,3,2022-07-06,Extreme
12,2,16,MZ0012,Road Corridor,23.30391,90.32648,23.13,Active,0,2020-02-21,High
13,1,5,MZ0013,River Valley,23.78673,95.05948,46.7,Active,3,2019-02-22,Extreme
14,1,11,MZ0014,Road Corridor,22.68018,91.01042,30.78,Under Review,8,2015-02-02,Extreme
15,8,60,MZ0015,River Valley,24.86809,96.32203,13.59,Active,11,2021-03-16,Very High
16,2,18,MZ0016,Road Corridor,28.62426,98.37543,10.58,Under Review,4,2020-09-01,Medium
17,2,17,MZ0017,Critical Slope,24.22854,93.24,31.9,Inactive,0,2015-01-15,Extreme
18,6,50,MZ0018,River Valley,23.54642,92.8885,37.19,Under Review,11,2019-10-18,High
19,1,8,MZ0019,River Valley,23.80074,99.07611,27.51,Inactive,9,2021-03-13,Very High
20,3,28,MZ0020,Critical Slope,28.63835,92.95506,45.0,Active,10,2017-10-19,High
21,3,23,MZ0021,Settlement Area,28.11312,92.01813,48.7,Under Review,2,2017-08-27,Very High
22,6,52,MZ0022,Critical Slope,28.83897,100.16122,9.38,Inactive,12,2019-08-14,Very High
23,2,18,MZ0023,Settlement Area,28.5017,98.86608,43.67,Inactive,3,2017-03-28,Medium
24,3,23,MZ0024,River Valley,27.63819,91.92935,11.53,Under Review,3,2019-06-21,Extreme
25,2,18,MZ0025,Road Corridor,29.20685,99.13169,17.88,Under Review,6,2022-08-15,Extreme
26,8,61,MZ0026,Road Corridor,26.2351,90.44894,9.34,Inactive,0,2016-03-20,Medium
27,3,23,MZ0027,Forest Zone,28.06155,91.44768,49.22,Active,6,2021-06-19,Very High
28,2,17,MZ0028,Forest Zone,23.36759,92.82996,46.32,Under Review,10,2023-01-25,Very High
29,3,24,MZ0029,Road Corridor,24.0909,99.70277,31.35,Under Review,1,2023-01-27,Extreme
30,4,33,MZ0030,Settlement Area,23.56388,99.88379,35.01,Under Review,2,2017-02-24,Medium
31,5,43,MZ0031,River Valley,30.21546,97.79692,30.97,Inactive,6,2021-02-22,High
32,2,20,MZ0032,Forest Zone,23.08811,93.48259,30.53,Inactive,7,2019-12-15,Medium
33,5,44,MZ0033,River Valley,29.0147,98.67839,33.11,Inactive,8,2022-06-12,Extreme
34,1,6,MZ0034,Road Corridor,26.80842,97.41134,11.62,Active,2,2015-04-11,High
35,2,16,MZ0035,Critical Slope,24.02224,90.80687,23.04,Under Review,9,2017-03-07,Medium
36,3,32,MZ0036,Critical Slope,25.32715,95.48287,44.69,Active,12,2019-10-08,Very High
37,1,12,MZ0037,Settlement Area,27.13391,98.26721,2.99,Active,1,2020-02-13,Very High
38,6,52,MZ0038,Forest Zone,28.49284,99.81093,29.97,Inactive,9,2024-02-21,Medium
39,6,54,MZ0039,River Valley,29.98165,91.59721,37.31,Inactive,7,2017-11-27,Very High
40,6,54,MZ0040,Forest Zone,29.71246,91.91711,24.49,Active,4,2019-12-07,High
41,5,46,MZ0041,Road Corridor,23.00843,97.39682,44.7,Active,2,2016-09-09,Very High
42,3,25,MZ0042,Critical Slope,26.64955,97.05252,21.04,Inactive,8,2020-03-23,Medium
43,1,4,MZ0043,Forest Zone,26.43073,90.23794,47.33,Active,12,2021-06-16,Medium
44,3,31,MZ0044,Settlement Area,27.4658,95.24156,42.75,Inactive,8,2023-05-20,Very High
45,3,32,MZ0045,Critical Slope,25.14692,95.77114,19.75,Under Review,10,2023-12-14,Medium
46,6,47,MZ0046,River Valley,29.29304,99.19169,49.05,Under Review,0,2019-06-02,High
47,1,6,MZ0047,Settlement Area,26.63275,96.7959,9.5,Inactive,6,2018-09-02,Very High
48,3,30,MZ0048,Settlement Area,25.49765,92.91003,14.27,Inactive,4,2024-05-12,High
49,3,31,MZ0049,Road Corridor,27.47928,95.42922,11.6,Active,12,2022-04-23,High
50,6,49,MZ0050,Critical Slope,28.96383,98.53448,31.26,Active,2,2020-04-23,High
51,4,37,MZ0051,Road Corridor,27.21486,94.64553,38.46,Active,9,2021-10-23,High
52,6,50,MZ0052,Critical Slope,24.2349,92.87342,29.14,Inactive,9,2022-08-06,Medium
53,3,26,MZ0053,Forest Zone,24.27387,90.01933,34.69,Under Review,3,2016-02-22,Extreme
54,7,55,MZ0054,Forest Zone,29.16376,94.53693,39.24,Inactive,8,2019-10-21,Extreme
55,1,5,MZ0055,Settlement Area,23.75506,94.89483,41.21,Active,6,2019-01-23,Medium
56,5,46,MZ0056,Forest Zone,22.87569,97.30124,48.29,Inactive,9,2024-01-24,Medium
57,3,30,MZ0057,Road Corridor,25.60637,92.87983,16.45,Active,1,2018-02-16,Medium
58,2,16,MZ0058,Settlement Area,23.78878,90.76545,17.15,Inactive,5,2017-01-14,Medium
59,2,14,MZ0059,Road Corridor,22.48522,92.69015,44.08,Under Review,4,2021-03-26,High
60,4,34,MZ0060,Settlement Area,26.39616,97.14341,24.68,Active,11,2020-05-04,Medium
61,3,29,MZ0061,River Valley,26.28683,98.43985,20.52,Active,4,2022-06-12,Extreme
62,3,31,MZ0062,Forest Zone,28.01337,95.23356,16.87,Under Review,7,2018-01-14,Extreme
63,2,17,MZ0063,Road Corridor,23.55374,93.11518,6.42,Under Review,12,2022-09-27,Very High
64,2,13,MZ0064,Forest Zone,26.00618,99.7154,48.84,Under Review,9,2018-03-05,High
65,6,54,MZ0065,River Valley,29.26892,91.37878,15.46,Under Review,8,2016-06-02,Extreme
66,1,3,MZ0066,River Valley,27.88789,98.97516,32.07,Inactive,1,2024-10-14,High
67,4,37,MZ0067,Road Corridor,26.55144,94.65921,9.63,Active,4,2024-08-30,Medium
68,1,8,MZ0068,Critical Slope,24.54762,98.59371,29.06,Under Review,0,2016-09-13,Very High
69,6,52,MZ0069,River Valley,28.59104,99.58364,6.36,Inactive,9,2021-09-07,Very High
70,6,50,MZ0070,Settlement Area,23.93817,92.35921,15.22,Under Review,6,2018-06-04,High
71,5,40,MZ0071,River Valley,28.46711,97.28523,31.46,Inactive,10,2015-11-29,Very High
72,2,16,MZ0072,Critical Slope,23.21211,90.27066,20.72,Under Review,9,2020-04-08,Extreme
73,1,3,MZ0073,Settlement Area,27.14508,99.12876,4.02,Active,4,2023-11-01,Very High
74,3,28,MZ0074,River Valley,28.62568,92.87161,45.47,Active,1,2015-09-02,Very High
75,6,51,MZ0075,Forest Zone,29.38321,91.10546,46.1,Inactive,1,2020-04-03,Extreme
76,5,45,MZ0076,Forest Zone,28.63591,94.84885,24.94,Active,9,2015-06-13,Medium
77,6,48,MZ0077,Critical Slope,26.61392,94.63647,11.83,Under Review,9,2021-08-01,High
78,6,49,MZ0078,Critical Slope,29.60508,98.55671,38.27,Active,7,2020-10-26,Medium
79,8,59,MZ0079,Settlement Area,25.39006,92.97605,31.92,Inactive,1,2020-04-09,Extreme
80,3,27,MZ0080,River Valley,25.04261,90.83203,16.83,Under Review,7,2018-03-26,Medium
81,6,53,MZ0081,Critical Slope,28.3872,90.8206,16.07,Inactive,1,2023-08-31,Medium
82,7,56,MZ0082,Forest Zone,29.4459,98.04082,23.37,Active,3,2020-10-24,Extreme
83,5,40,MZ0083,Critical Slope,28.26344,97.81141,10.58,Under Review,2,2018-03-25,Medium
84,7,57,MZ0084,Forest Zone,23.80745,92.73863,40.07,Under Review,2,2018-06-26,High
85,4,36,MZ0085,Critical Slope,25.28529,90.36,23.34,Active,10,2024-05-01,Very High
86,3,32,MZ0086,Road Corridor,25.86015,95.62716,21.07,Inactive,7,2017-09-25,Medium
87,4,36,MZ0087,Forest Zone,25.02194,90.32591,25.66,Active,1,2018-02-05,Medium
88,2,22,MZ0088,Critical Slope,23.00545,96.35754,14.5,Inactive,9,2021-07-03,Medium
89,7,56,MZ0089,Road Corridor,29.0799,97.59128,16.96,Under Review,6,2020-02-09,Extreme
90,7,56,MZ0090,Forest Zone,29.11995,97.7502,19.46,Inactive,0,2018-07-27,Medium
91,5,46,MZ0091,River Valley,23.63613,97.50633,25.02,Active,2,2020-08-19,Extreme
92,7,56,MZ0092,Critical Slope,29.03166,97.89774,26.53,Inactive,0,2023-02-07,Very High
93,3,27,MZ0093,Critical Slope,25.58023,91.13186,23.74,Inactive,5,2021-12-27,Medium
94,5,42,MZ0094,Forest Zone,21.60632,97.04947,19.31,Inactive,10,2023-01-22,Medium
95,7,56,MZ0095,River Valley,29.47232,97.67016,31.74,Inactive,3,2023-05-17,High
96,3,28,MZ0096,Critical Slope,29.48924,93.40717,22.46,Under Review,4,2015-04-29,High
97,2,21,MZ0097,Road Corridor,24.43194,99.15987,21.82,Active,8,2019-08-15,Very High
98,1,11,MZ0098,Settlement Area,22.41707,91.07669,31.18,Active,7,2021-07-16,Very High
99,2,15,MZ0099,Road Corridor,26.90935,98.37108,33.51,Inactive,4,2022-08-07,Very High
100,1,5,MZ0100,Forest Zone,23.69083,94.89917,15.31,Inactive,11,2017-10-21,Medium
101,7,55,MZ0101,Settlement Area,28.78162,94.73077,5.78,Inactive,9,2019-01-10,Extreme
102,5,45,MZ0102,Settlement Area,28.52863,95.55454,14.09,Under Review,10,2023-09-23,High
103,8,59,MZ0103,Road Corridor,25.71831,92.47583,38.9,Active,9,2023-12-29,Extreme
104,2,15,MZ0104,River Valley,27.08482,98.73799,31.6,Under Review,10,2015-06-11,Extreme
105,6,51,MZ0105,River Valley,29.51642,90.93607,4.96,Inactive,5,2023-05-20,Medium
106,1,12,MZ0106,Road Corridor,26.53059,98.35781,26.78,Inactive,2,2017-11-18,Medium
107,8,62,MZ0107,Road Corridor,27.35529,92.53596,40.31,Inactive,1,2016-07-30,Very High
108,7,56,MZ0108,Settlement Area,29.60762,97.72711,48.38,Under Review,5,2016-01-05,Medium
109,1,1,MZ0109,Road Corridor,26.87986,89.87369,33.81,Under Review,4,2021-07-22,Medium
110,6,53,MZ0110,River Valley,28.26525,91.15537,23.84,Under Review,8,2018-09-05,Very High
111,5,42,MZ0111,Road Corridor,21.58922,97.54476,32.64,Active,2,2015-07-05,High
112,2,20,MZ0112,River Valley,23.79713,93.16882,44.42,Active,6,2020-02-02,Extreme
113,5,43,MZ0113,Forest Zone,30.22448,97.81608,21.25,Under Review,11,2016-09-24,Medium
114,5,42,MZ0114,Settlement Area,21.62502,97.21025,46.98,Inactive,0,2022-09-28,Extreme
115,2,14,MZ0115,Road Corridor,22.57378,93.38236,5.42,Under Review,5,2021-02-08,Extreme
116,1,4,MZ0116,Critical Slope,26.62204,90.00761,47.48,Inactive,1,2022-06-07,Very High
117,5,42,MZ0117,Critical Slope,22.16549,97.69199,39.45,Active,2,2023-10-29,Very High
118,1,5,MZ0118,Forest Zone,24.07892,95.10781,11.19,Active,5,2023-09-07,Very High
119,6,51,MZ0119,River Valley,29.97613,90.35934,49.38,Under Review,4,2023-12-15,Very High
120,1,8,MZ0120,Critical Slope,24.38656,98.21878,18.23,Active,9,2018-08-19,High
121,1,12,MZ0121,Settlement Area,26.59517,97.69806,26.54,Under Review,1,2020-05-04,Medium
122,6,50,MZ0122,Settlement Area,23.77764,92.50237,25.44,Under Review,0,2023-02-26,Extreme
123,3,30,MZ0123,Settlement Area,25.81414,92.17995,42.44,Inactive,10,2016-03-18,Medium
124,5,46,MZ0124,Critical Slope,23.6324,97.19859,16.44,Active,1,2016-05-31,Extreme
125,5,40,MZ0125,Road Corridor,28.14008,97.73436,19.35,Under Review,8,2018-04-22,Medium
126,4,33,MZ0126,Critical Slope,23.86003,99.57458,42.71,Under Review,12,2021-03-08,Very High
127,3,28,MZ0127,Road Corridor,28.96245,92.87529,41.46,Inactive,6,2023-03-08,High
128,2,21,MZ0128,Road Corridor,24.06256,99.53161,47.7,Under Review,7,2015-10-02,High
129,6,54,MZ0129,Road Corridor,29.16016,91.58318,40.68,Under Review,0,2021-07-30,Extreme
130,5,43,MZ0130,Settlement Area,29.39733,97.4732,43.47,Under Review,0,2018-03-24,Extreme
131,3,23,MZ0131,River Valley,27.4366,91.64141,33.01,Active,1,2018-12-05,Extreme
132,1,8,MZ0132,Settlement Area,24.48811,98.7671,42.34,Under Review,9,2022-07-27,High
133,4,39,MZ0133,Road Corridor,27.87138,91.47496,1.93,Inactive,11,2023-07-20,Extreme
134,8,59,MZ0134,River Valley,25.45172,91.98521,28.53,Inactive,1,2016-08-04,High
135,1,6,MZ0135,Settlement Area,26.73611,96.87533,22.96,Active,5,2018-06-30,Extreme
136,6,50,MZ0136,Critical Slope,24.35701,92.50492,8.2,Under Review,0,2022-07-23,High
137,2,18,MZ0137,Forest Zone,28.78561,98.58881,22.38,Inactive,3,2023-06-20,High
138,3,23,MZ0138,Forest Zone,27.76291,91.41725,24.59,Under Review,4,2015-07-06,Very High
139,3,26,MZ0139,River Valley,24.31685,89.87578,15.42,Active,12,2016-07-16,Extreme
140,2,19,MZ0140,Settlement Area,24.05192,95.86453,9.2,Inactive,8,2022-11-22,Very High
141,4,33,MZ0141,Road Corridor,23.81332,100.14345,4.07,Under Review,0,2019-11-22,High
142,3,30,MZ0142,Forest Zone,26.09196,93.01091,21.75,Inactive,11,2022-03-07,Medium
143,2,19,MZ0143,Road Corridor,23.83897,95.87766,9.01,Under Review,7,2024-04-30,Extreme
144,1,6,MZ0144,Settlement Area,26.42671,96.76606,29.65,Under Review,1,2019-06-10,Extreme
145,6,48,MZ0145,River Valley,26.63111,94.71917,4.28,Under Review,1,2020-12-13,Very High
146,7,58,MZ0146,River Valley,27.47523,94.2321,12.2,Active,4,2017-03-19,Very High
147,4,39,MZ0147,Critical Slope,27.09517,91.40465,9.27,Under Review,7,2020-03-15,Medium
148,5,44,MZ0148,Forest Zone,29.72515,98.76969,16.5,Under Review,5,2016-09-10,Medium
149,1,5,MZ0149,Road Corridor,23.71802,95.18499,29.78,Inactive,8,2015-10-31,Extreme
150,3,30,MZ0150,Road Corridor,25.62271,92.20569,4.3,Active,9,2021-08-30,Medium
151,3,30,MZ0151,Critical Slope,25.75113,93.10303,22.76,Under Review,10,2017-02-10,Extreme
152,4,39,MZ0152,Critical Slope,27.41793,90.79636,22.8,Inactive,11,2015-12-12,Very High
153,1,3,MZ0153,Settlement Area,27.16134,98.85956,26.44,Under Review,2,2019-01-30,Extreme
154,8,59,MZ0154,Road Corridor,25.39479,92.38787,34.11,Active,12,2022-01-28,Extreme
155,1,5,MZ0155,Settlement Area,23.57879,95.11156,14.57,Under Review,10,2021-10-04,Very High
156,2,22,MZ0156,Road Corridor,22.1527,96.51341,15.86,Under Review,11,2022-06-05,Medium
157,1,9,MZ0157,Road Corridor,27.68014,93.8405,28.17,Under Review,12,2018-09-07,Very High
158,5,43,MZ0158,Forest Zone,29.97793,98.06671,5.13,Under Review,6,2020-09-13,Extreme
159,1,2,MZ0159,River Valley,23.8217,91.07566,17.42,Inactive,3,2017-07-16,Very High
160,1,10,MZ0160,Critical Slope,23.29967,97.97933,25.63,Under Review,11,2024-11-28,High
161,5,43,MZ0161,River Valley,29.61186,97.88591,30.06,Active,2,2017-01-10,Very High
162,6,47,MZ0162,River Valley,29.56567,99.13516,48.49,Under Review,4,2023-06-09,Medium
163,2,15,MZ0163,Settlement Area,26.98221,98.42657,45.25,Active,5,2022-08-10,Medium
164,3,30,MZ0164,Forest Zone,25.94024,92.92692,26.61,Active,3,2023-12-26,Very High
165,7,56,MZ0165,Road Corridor,29.1813,97.69388,27.95,Active,11,2024-06-26,High
166,2,19,MZ0166,Settlement Area,23.80768,96.01711,45.31,Active,6,2016-01-11,Very High
167,6,53,MZ0167,Critical Slope,28.07783,91.13349,21.04,Inactive,8,2019-03-12,Very High
168,3,25,MZ0168,Critical Slope,26.95013,96.72101,16.27,Active,11,2022-04-16,Extreme
169,6,51,MZ0169,Settlement Area,29.22165,90.3948,34.96,Active,12,2022-11-29,Medium
170,3,29,MZ0170,Critical Slope,26.10925,99.25266,13.17,Active,8,2023-02-26,Medium
171,1,8,MZ0171,Critical Slope,24.50167,98.43064,2.86,Inactive,10,2023-11-26,Medium
172,1,5,MZ0172,Forest Zone,23.35996,95.45875,27.03,Under Review,8,2021-06-13,Very High
173,5,46,MZ0173,Forest Zone,22.86628,97.55434,17.96,Under Review,6,2017-02-06,High
174,4,34,MZ0174,Forest Zone,26.42275,97.12548,27.43,Under Review,8,2015-03-25,Medium
175,7,56,MZ0175,Road Corridor,29.40144,97.68837,13.06,Active,5,2023-11-04,High
176,3,23,MZ0176,Critical Slope,27.57413,91.7911,38.69,Under Review,12,2018-09-23,Very High
177,1,3,MZ0177,River Valley,27.2659,98.76035,41.6,Under Review,7,2022-10-19,Medium
178,5,41,MZ0178,Settlement Area,22.57468,93.98255,2.33,Active,0,2023-11-15,Very High
179,7,57,MZ0179,Forest Zone,23.15111,93.55057,20.21,Under Review,7,2017-11-03,High
180,6,49,MZ0180,Critical Slope,29.5797,98.57331,43.36,Inactive,4,2016-05-24,Extreme
181,3,28,MZ0181,Settlement Area,29.40039,93.39011,17.28,Active,7,2022-10-05,Medium
182,3,24,MZ0182,Critical Slope,24.58391,99.27318,36.49,Active,6,2021-10-03,Very High
183,4,35,MZ0183,Road Corridor,23.01647,91.2024,33.22,Inactive,7,2021-10-04,Medium
184,1,11,MZ0184,Critical Slope,22.93176,90.81875,36.48,Inactive,9,2019-11-17,Extreme
185,5,41,MZ0185,Critical Slope,23.37243,94.7956,33.72,Inactive,5,2020-10-02,Very High
186,8,61,MZ0186,Settlement Area,26.23864,90.42057,2.22,Active,3,2023-09-24,Extreme
187,3,24,MZ0187,Forest Zone,24.04245,99.32114,8.1,Inactive,5,2019-03-04,Medium
188,6,49,MZ0188,Road Corridor,29.00969,98.4249,20.2,Under Review,4,2017-10-19,High
189,1,2,MZ0189,Settlement Area,24.19477,91.39444,45.72,Active,4,2023-09-10,Extreme
190,5,46,MZ0190,Road Corridor,23.16897,98.12147,34.85,Inactive,3,2016-05-17,Very High
191,7,55,MZ0191,Settlement Area,28.55355,93.90406,49.86,Under Review,5,2022-06-28,Extreme
192,5,46,MZ0192,Road Corridor,22.78764,97.66727,42.64,Under Review,11,2022-11-08,Very High
193,6,51,MZ0193,River Valley,29.43709,90.58074,39.71,Active,12,2020-07-16,High
194,3,24,MZ0194,Forest Zone,24.21362,99.12281,6.92,Active,1,2018-06-20,Medium
195,5,46,MZ0195,Settlement Area,23.44157,97.6508,41.26,Active,2,2018-07-22,High
196,3,29,MZ0196,River Valley,25.95973,98.86416,43.96,Under Review,10,2021-08-04,Very High
197,6,50,MZ0197,Critical Slope,24.38186,92.34132,41.65,Under Review,2,2018-05-30,Very High
198,1,11,MZ0198,Road Corridor,22.56466,91.17653,47.4,Under Review,4,2024-06-26,High
199,2,17,MZ0199,Road Corridor,23.5195,93.35025,6.7,Inactive,9,2020-12-25,High
200,4,33,MZ0200,Forest Zone,23.89559,100.06721,8.13,Under Review,9,2023-01-30,Extreme
