record_id,district_id,state_id,year,total_population,population_density_per_sqkm,landslide_exposed_population,high_risk_zone_population,urbanization_pct,literacy_rate_pct,access_to_roads_pct
1,1,1,2018,338389,126.8,20197,27682,27.5,51.2,74.2
2,1,1,2019,344164,128.9,28603,22790,42.2,41.5,43.1
3,1,1,2020,345337,129.4,20744,21843,19.9,72.5,62.7
4,1,1,2021,337190,126.3,53322,29894,86.9,77.9,39.6
5,1,1,2022,347831,130.3,53812,8572,21.5,78.2,36.1
6,1,1,2023,347274,130.1,64415,31242,34.4,53.2,32.6
7,1,1,2024,355757,133.3,34148,35444,92.2,43.9,47.6
8,2,1,2018,157473,21.2,36887,15692,36.2,49.6,34.2
9,2,1,2019,160063,21.6,33334,6341,98.5,82.8,82.0
10,2,1,2020,159116,21.4,22812,12006,83.4,48.1,51.3
11,2,1,2021,165547,22.3,12956,11635,63.5,66.7,44.7
12,2,1,2022,162889,21.9,16989,12113,68.8,51.0,49.5
13,2,1,2023,174488,23.5,12389,5496,82.2,80.3,54.1
14,2,1,2024,150652,20.3,37453,10798,87.6,55.7,69.3
15,3,1,2018,141161,34.1,28122,8928,14.3,47.0,74.7
16,3,1,2019,142792,34.5,31617,11004,42.8,69.2,51.7
17,3,1,2020,149726,36.2,12018,9845,49.4,77.8,81.7
18,3,1,2021,139521,33.7,12218,12544,42.2,43.2,52.9
19,3,1,2022,158782,38.4,25277,5706,97.1,83.0,30.7
20,3,1,2023,154960,37.5,30086,10346,75.1,78.4,50.4
21,3,1,2024,142641,34.5,12314,8859,0.3,76.1,73.2
22,4,1,2018,148246,51.6,32379,4409,50.8,45.3,67.5
23,4,1,2019,151754,52.8,24222,11494,19.9,58.7,39.7
24,4,1,2020,156706,54.5,38061,10256,91.8,69.9,59.3
25,4,1,2021,145802,50.7,19184,6496,23.9,52.0,64.0
26,4,1,2022,144225,50.2,31194,9404,81.6,88.9,62.0
27,4,1,2023,144598,50.3,28847,9232,94.7,48.3,61.7
28,4,1,2024,161394,56.1,39669,5083,92.9,77.8,71.4
29,5,1,2018,77824,7.1,10428,6280,65.0,61.9,61.1
30,5,1,2019,77422,7.0,7552,1298,33.8,69.4,43.8
31,5,1,2020,77638,7.0,5044,6574,63.1,51.4,84.3
32,5,1,2021,83657,7.6,6503,5047,23.8,73.4,42.9
33,5,1,2022,76368,6.9,18274,5440,57.6,52.1,58.4
34,5,1,2023,80299,7.3,5559,1596,65.9,57.7,54.7
35,5,1,2024,90016,8.2,6275,6416,65.3,72.3,33.6
36,6,1,2018,785392,94.3,67913,40444,19.2,66.8,38.4
37,6,1,2019,783302,94.1,160440,40575,87.4,43.8,78.5
38,6,1,2020,823927,99.0,66862,14869,65.2,67.0,30.9
39,6,1,2021,770712,92.6,100500,29505,40.6,64.1,81.9
40,6,1,2022,870645,104.6,86690,58378,0.2,59.5,85.6
41,6,1,2023,873125,104.9,118432,64175,69.7,76.5,77.0
42,6,1,2024,866295,104.1,170891,28951,19.0,50.9,33.5
43,7,1,2018,667889,166.8,49373,55697,31.4,42.5,58.6
44,7,1,2019,685772,171.2,75558,10584,96.1,44.0,41.1
45,7,1,2020,686451,171.4,95979,33325,12.0,84.5,44.8
46,7,1,2021,695883,173.8,56285,34432,65.7,68.3,49.0
47,7,1,2022,669040,167.1,115813,22332,26.6,46.5,68.7
48,7,1,2023,696032,173.8,53817,7570,45.8,89.9,89.8
49,7,1,2024,640054,159.8,59940,39553,26.5,86.7,82.9
50,8,1,2018,217414,23.8,35087,11512,15.8,81.7,72.2
51,8,1,2019,220559,24.2,53885,19537,0.8,80.9,48.0
52,8,1,2020,224663,24.6,20033,10912,11.5,45.4,63.2
53,8,1,2021,217997,23.9,50537,9080,71.8,50.2,68.1
54,8,1,2022,217900,23.9,42911,10407,90.5,82.3,35.5
55,8,1,2023,225067,24.7,29385,3694,0.4,78.6,68.2
56,8,1,2024,218038,23.9,39857,20257,70.6,68.0,36.7
57,9,1,2018,213032,18.7,20419,20007,3.6,58.5,63.2
58,9,1,2019,214564,18.8,13469,12246,36.5,86.7,88.3
59,9,1,2020,209466,18.4,33922,8977,68.2,73.3,51.2
60,9,1,2021,221052,19.4,37684,7274,92.6,51.8,39.8
61,9,1,2022,232402,20.4,23223,15834,2.5,76.8,49.9
62,9,1,2023,243662,21.4,56086,10567,26.7,79.4,36.5
63,9,1,2024,246887,21.7,43191,9756,20.0,85.9,51.0
64,10,1,2018,157175,33.7,36409,5299,22.3,73.0,53.9
65,10,1,2019,157354,33.8,10141,14243,27.9,72.1,54.0
66,10,1,2020,166502,35.7,30027,2117,11.5,88.5,40.7
67,10,1,2021,171000,36.7,25947,2336,10.8,61.7,73.7
68,10,1,2022,158782,34.1,27803,9966,11.6,85.0,41.4
69,10,1,2023,150816,32.4,21828,1535,52.0,80.3,71.2
70,10,1,2024,185077,39.7,22165,13784,43.1,87.4,85.2
71,11,1,2018,410663,173.9,36867,23787,50.7,73.3,49.6
72,11,1,2019,418009,177.0,93567,12521,19.2,73.2,52.7
73,11,1,2020,427191,180.9,44169,41567,30.1,67.4,30.0
74,11,1,2021,412484,174.6,76970,25242,46.5,62.1,42.8
75,11,1,2022,425525,180.2,43517,9812,28.4,73.2,67.2
76,11,1,2023,397960,168.5,50682,24322,22.5,50.0,31.5
77,11,1,2024,410154,173.6,82784,8873,45.5,84.3,64.5
78,12,1,2018,531741,430.9,76915,37716,40.0,47.4,71.3
79,12,1,2019,545410,442.0,128201,12439,77.8,50.9,78.2
80,12,1,2020,550878,446.4,88432,8799,55.7,85.9,37.3
81,12,1,2021,524331,424.9,87117,48993,53.1,67.9,49.0
82,12,1,2022,576047,466.8,86810,45910,81.5,84.6,55.6
83,12,1,2023,605364,490.6,88714,16483,74.4,63.7,45.6
84,12,1,2024,531388,430.6,110148,23486,76.6,66.1,67.6
85,13,2,2018,446922,292.5,32501,23194,23.4,56.8,83.6
86,13,2,2019,443893,290.5,41963,19593,38.3,47.6,42.8
87,13,2,2020,452836,296.4,66010,40088,46.6,43.1,80.0
88,13,2,2021,454444,297.4,99278,5824,85.7,78.3,52.8
89,13,2,2022,429720,281.2,67591,23866,75.3,82.7,87.2
90,13,2,2023,462235,302.5,94693,44156,89.8,64.4,46.4
91,13,2,2024,472800,309.4,74608,26756,66.9,79.9,73.5
92,14,2,2018,709176,3110.4,68914,47871,53.4,85.3,65.5
93,14,2,2019,720891,3161.8,58050,49331,42.9,83.3,40.9
94,14,2,2020,709752,3112.9,121300,20968,45.5,56.9,82.8
95,14,2,2021,711583,3121.0,146089,23647,83.5,63.5,74.9
96,14,2,2022,686984,3013.1,126089,21563,65.0,79.1,69.1
97,14,2,2023,783637,3437.0,104004,33966,83.9,71.1,44.3
98,14,2,2024,748087,3281.1,67390,36049,46.5,52.8,52.1
99,15,2,2018,655397,447.7,62793,57526,81.9,88.2,36.5
100,15,2,2019,649516,443.7,73363,44230,67.7,87.9,53.8
101,15,2,2020,680005,464.5,53922,45603,69.1,71.4,36.1
102,15,2,2021,697353,476.3,66600,59154,98.4,79.1,50.8
103,15,2,2022,674303,460.6,130857,11262,50.6,57.1,81.0
104,15,2,2023,733932,501.3,64362,64161,96.1,71.8,79.7
105,15,2,2024,730700,499.1,150695,30393,73.4,88.3,46.2
106,16,2,2018,743384,139.6,178247,70805,46.5,81.3,65.5
107,16,2,2019,745534,140.0,101631,18814,27.9,62.5,75.0
108,16,2,2020,762527,143.2,137475,51717,2.9,82.5,40.9
109,16,2,2021,740009,139.0,104725,52008,28.0,69.8,82.8
110,16,2,2022,780428,146.6,174451,32846,8.6,76.0,59.3
111,16,2,2023,822070,154.4,165907,72552,44.8,40.9,47.7
112,16,2,2024,771359,144.9,102347,47848,66.4,58.5,63.2
113,17,2,2018,133667,34.9,31125,10353,33.1,75.1,46.3
114,17,2,2019,133674,34.9,10636,13153,19.3,46.0,62.2
115,17,2,2020,139200,36.3,13026,4530,21.6,64.2,73.5
116,17,2,2021,145663,38.0,24474,11233,28.3,45.0,41.6
117,17,2,2022,133186,34.8,12538,6283,1.4,66.7,46.5
118,17,2,2023,154184,40.2,25841,6327,69.7,46.3,82.1
119,17,2,2024,141582,37.0,7480,10820,28.4,63.9,50.4
120,18,2,2018,448591,43.0,55521,35793,11.4,43.3,59.5
121,18,2,2019,454458,43.6,112696,8057,15.2,80.6,86.9
122,18,2,2020,442695,42.4,54664,12188,55.8,60.8,65.8
123,18,2,2021,468716,44.9,91929,29615,45.1,62.1,81.6
124,18,2,2022,504111,48.3,65231,42306,62.1,70.5,74.4
125,18,2,2023,514769,49.3,52973,46140,21.1,73.0,39.4
126,18,2,2024,440450,42.2,31860,14662,0.3,62.5,65.6
127,19,2,2018,432554,88.5,51967,23206,70.7,75.1,57.2
128,19,2,2019,440121,90.0,56681,43053,66.1,86.7,55.5
129,19,2,2020,442807,90.6,107026,14192,90.8,81.3,34.3
130,19,2,2021,428204,87.6,61729,41585,92.1,62.0,58.1
131,19,2,2022,436309,89.3,74572,22204,50.0,64.7,34.8
132,19,2,2023,414677,84.8,77359,25269,60.4,41.3,43.7
133,19,2,2024,478513,97.9,99317,43262,95.1,90.0,70.3
134,20,2,2018,752729,198.8,48182,30489,47.1,72.6,85.0
135,20,2,2019,750666,198.3,151797,71957,96.9,63.5,54.5
136,20,2,2020,757014,200.0,65270,28649,33.0,74.7,47.3
137,20,2,2021,817286,215.9,185068,12981,45.5,55.7,49.4
138,20,2,2022,843286,222.7,148116,75881,82.5,40.1,82.2
139,20,2,2023,785186,207.4,53468,32437,51.8,71.1,59.9
140,20,2,2024,788095,208.2,52933,34560,26.7,46.6,47.3
141,21,2,2018,729514,549.7,163539,23210,2.9,71.5,78.0
142,21,2,2019,742930,559.9,118607,9221,55.2,44.7,89.5
143,21,2,2020,768716,579.3,159400,23083,64.8,47.7,86.0
144,21,2,2021,733184,552.5,108335,61790,83.5,89.0,44.6
145,21,2,2022,765319,576.7,138819,32636,92.2,65.4,82.8
146,21,2,2023,823612,620.7,113596,62623,34.0,79.4,46.0
147,21,2,2024,687250,517.9,112626,61756,58.7,89.9,59.4
148,22,2,2018,610086,215.6,101096,37841,34.5,67.6,62.6
149,22,2,2019,615097,217.3,72930,18513,98.1,51.9,53.0
150,22,2,2020,640022,226.2,85842,9260,31.8,63.6,84.8
151,22,2,2021,619743,219.0,117978,58127,82.1,89.0,59.7
152,22,2,2022,589560,208.3,95314,44573,33.2,45.0,80.7
153,22,2,2023,591967,209.2,89488,6924,72.2,60.5,69.3
154,22,2,2024,596215,210.7,91347,57180,96.9,56.9,71.6
155,23,3,2018,447887,863.0,65459,39449,38.0,55.8,73.1
156,23,3,2019,457013,880.6,93762,6922,61.7,51.7,71.1
157,23,3,2020,449227,865.6,52278,10415,43.4,44.9,68.0
158,23,3,2021,482188,929.1,82262,15723,69.4,85.2,32.8
159,23,3,2022,488325,940.9,62868,28375,37.5,47.3,61.9
160,23,3,2023,476911,918.9,47445,15909,17.5,70.5,53.0
161,23,3,2024,496509,956.7,90055,43182,14.3,63.1,45.2
162,24,3,2018,771590,1088.3,41042,68696,90.1,73.9,39.5
163,24,3,2019,777507,1096.6,129462,46985,63.9,61.2,45.0
164,24,3,2020,808773,1140.7,92661,58509,85.3,45.3,52.9
165,24,3,2021,781722,1102.6,116647,46513,2.2,81.5,53.7
166,24,3,2022,742156,1046.8,49963,72528,83.3,85.1,76.5
167,24,3,2023,768526,1084.0,130784,36390,63.7,71.0,70.7
168,24,3,2024,863008,1217.2,79005,21365,90.3,72.3,48.5
169,25,3,2018,108655,211.4,24423,7063,73.2,44.5,47.7
170,25,3,2019,110817,215.6,11295,4397,13.2,67.0,88.3
171,25,3,2020,111109,216.2,14485,3806,25.7,81.2,58.9
172,25,3,2021,116073,225.8,16902,3046,46.8,43.8,75.2
173,25,3,2022,108231,210.6,18433,10213,36.6,79.5,30.8
174,25,3,2023,115026,223.8,20653,7188,67.3,73.6,65.1
175,25,3,2024,124463,242.1,18395,3019,67.5,63.6,67.2
176,26,3,2018,380776,767.7,62030,18314,64.8,71.8,57.9
177,26,3,2019,387646,781.5,72898,11522,14.0,87.3,48.3
178,26,3,2020,388202,782.7,32149,19269,88.7,46.8,57.2
179,26,3,2021,400314,807.1,90819,31470,58.7,76.3,83.1
180,26,3,2022,406051,818.7,84441,30806,93.9,54.0,71.4
181,26,3,2023,378289,762.7,77201,19255,85.5,45.0,71.1
182,26,3,2024,408491,823.6,67436,8052,39.8,49.5,37.3
183,27,3,2018,644731,197.3,91836,12454,66.3,72.1,65.8
184,27,3,2019,638834,195.5,135067,28244,24.4,46.3,63.9
185,27,3,2020,635409,194.4,132060,42674,20.7,50.8,82.2
186,27,3,2021,650828,199.2,51881,58192,90.1,40.1,81.5
187,27,3,2022,633935,194.0,48734,41742,25.1,48.7,69.7
188,27,3,2023,616332,188.6,32763,29640,79.0,51.9,49.4
189,27,3,2024,633097,193.7,38522,14637,74.2,66.3,74.7
190,28,3,2018,737277,167.9,131769,21665,45.2,51.1,66.9
191,28,3,2019,751351,171.1,174262,47048,45.8,88.2,33.6
192,28,3,2020,750844,171.0,142823,63380,68.6,64.5,84.6
193,28,3,2021,721770,164.4,57266,28326,60.8,43.3,46.5
194,28,3,2022,783515,178.4,182923,50457,38.1,69.9,47.7
195,28,3,2023,775737,176.7,151560,20756,79.3,45.7,69.3
196,28,3,2024,855557,194.8,187306,36738,43.0,84.4,54.8
197,29,3,2018,724079,158.4,140727,34502,73.0,55.6,48.8
198,29,3,2019,724220,158.5,76224,52253,92.3,43.4,79.9
199,29,3,2020,715026,156.5,61064,55947,73.9,80.6,63.4
200,29,3,2021,753709,164.9,184901,50744,67.0,60.5,82.4
201,29,3,2022,807530,176.7,151246,14818,96.8,70.0,51.1
202,29,3,2023,772829,169.1,94409,28008,65.7,51.2,36.5
203,29,3,2024,833901,182.5,138048,23397,76.3,68.7,78.4
204,30,3,2018,308607,93.2,65724,29904,62.2,73.7,63.4
205,30,3,2019,313038,94.5,58762,30309,69.3,41.4,46.4
206,30,3,2020,321387,97.0,76462,14348,35.1,49.1,38.6
207,30,3,2021,323939,97.8,20756,7887,74.1,88.6,35.5
208,30,3,2022,322691,97.4,40788,16983,45.4,47.9,48.7
209,30,3,2023,313225,94.5,77357,21730,59.6,84.2,39.3
210,30,3,2024,347904,105.0,23917,25563,8.2,62.2,55.4
211,31,3,2018,662982,145.9,141724,24531,21.6,65.6,50.7
212,31,3,2019,659292,145.1,160531,41125,66.7,42.3,53.7
213,31,3,2020,681639,150.0,36096,20213,30.1,50.6,38.2
214,31,3,2021,663421,146.0,119186,14497,0.8,77.4,40.5
215,31,3,2022,676902,149.0,94167,39554,55.9,73.4,51.3
216,31,3,2023,682713,150.2,45224,35415,1.9,86.1,81.7
217,31,3,2024,716533,157.7,141843,53662,64.0,54.5,54.3
218,32,3,2018,429580,1835.8,44006,34447,83.2,86.0,35.3
219,32,3,2019,439795,1879.5,53880,32949,58.9,66.2,53.7
220,32,3,2020,431653,1844.7,66082,18836,33.3,48.4,60.6
221,32,3,2021,422608,1806.0,87970,16933,90.6,57.5,73.6
222,32,3,2022,470040,2008.7,42860,20184,10.3,52.8,40.4
223,32,3,2023,421299,1800.4,30940,15821,95.1,71.4,57.8
224,32,3,2024,462957,1978.4,99099,34048,68.1,84.1,68.6
225,33,4,2018,584277,212.3,71576,46947,31.6,62.0,58.1
226,33,4,2019,593190,215.5,134035,23932,59.1,57.6,34.5
227,33,4,2020,594216,215.9,34639,9670,36.9,54.4,68.7
228,33,4,2021,636773,231.4,43673,46672,59.4,59.2,64.8
229,33,4,2022,652945,237.3,129498,65241,4.1,85.5,64.3
230,33,4,2023,577095,209.7,108153,36940,50.1,87.9,57.0
231,33,4,2024,667486,242.5,123404,53487,8.4,72.3,32.3
232,34,4,2018,164975,31.4,37045,10235,52.3,47.9,52.4
