record_id,district_id,state_id,station_id,datetime,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_7d_mm,rainfall_30d_mm,antecedent_rainfall_mm,rainfall_intensity_percentile,threshold_exceeded,source
1,41,5,STN015,2024-09-20 13:20:38,20.2,80.1,200.0,352.6,2849.2,20396.2,191.8,1.7,1,Manual
2,43,5,STN042,2019-11-10 01:18:05,5.2,7.0,17.9,29.2,126.5,1808.2,393.5,1.6,0,Manual
3,6,1,STN013,2020-09-03 14:59:49,40.9,135.1,369.7,1245.2,10422.0,80725.0,286.7,1.5,1,Radar_Derived
4,25,3,STN035,2019-04-17 23:43:57,4.7,17.6,47.1,92.3,551.1,2237.9,397.9,4.1,0,Manual
5,39,4,STN043,2018-07-10 11:33:19,9.6,20.9,42.2,77.0,516.4,1765.2,29.2,4.4,0,Manual
6,33,4,STN026,2019-12-02 09:47:02,11.2,26.1,40.0,43.2,299.7,2905.3,104.5,1.5,0,Manual
7,24,3,STN049,2020-09-24 10:09:28,13.3,17.7,49.6,63.1,612.2,8529.5,259.0,0.7,0,IMD
8,62,8,STN035,2020-10-22 13:43:27,22.7,64.2,150.0,477.1,3230.7,41424.3,38.2,1.2,1,Manual
9,53,6,STN037,2022-08-15 03:32:42,2.4,8.3,15.8,48.7,351.0,3972.7,425.7,1.2,0,IMD
10,57,7,STN049,2018-06-13 04:09:42,19.5,35.0,59.2,231.1,1378.0,19552.6,4.3,1.2,1,Manual
11,19,2,STN035,2019-11-03 18:33:55,21.6,53.0,136.9,491.9,3810.3,17873.6,32.1,2.8,1,Manual
12,31,3,STN044,2020-11-12 19:46:34,3.3,6.3,6.4,9.8,39.0,330.3,51.8,3.0,0,Manual
13,44,5,STN031,2020-01-09 02:16:27,0.8,1.2,2.0,2.3,9.6,121.0,310.7,1.9,0,AWS
14,28,3,STN029,2022-10-19 19:58:32,7.3,20.8,45.3,118.9,676.3,5848.4,146.6,2.0,1,Manual
15,33,4,STN017,2023-01-26 09:04:15,3.3,4.4,9.8,39.1,304.1,3033.4,346.0,1.3,0,AWS
16,27,3,STN001,2021-09-06 19:27:11,11.9,23.8,71.0,281.4,1871.7,11256.4,447.9,2.5,1,IMD
17,8,1,STN010,2021-02-15 16:18:50,3.5,9.8,18.1,60.9,292.1,1292.8,443.5,4.7,0,Manual
18,27,3,STN036,2022-07-05 04:45:08,12.1,20.8,58.1,226.5,1923.2,6420.9,209.4,3.5,1,Manual
19,34,4,STN002,2021-07-18 07:06:24,0.4,1.2,2.3,8.7,34.2,124.3,418.5,7.0,0,AWS
20,52,6,STN042,2023-07-09 02:34:26,10.1,15.0,23.9,86.4,416.2,2187.8,31.3,3.9,0,IMD
21,9,1,STN041,2018-11-10 06:34:44,0.1,0.3,0.4,1.5,9.5,119.5,453.1,1.3,0,Radar_Derived
22,5,1,STN021,2021-05-08 11:39:55,7.1,18.0,31.6,65.1,300.0,3900.2,40.0,1.7,0,IMD
23,11,1,STN041,2024-03-06 21:33:11,4.1,5.0,6.7,20.0,152.8,1157.4,292.0,1.7,0,Manual
24,54,6,STN040,2021-01-21 12:37:59,12.5,32.2,52.2,136.3,1243.7,18559.0,420.3,0.7,1,Manual
