road_id,state_id,district_id,road_code,road_type,road_name,start_lat,start_lon,end_lat,end_lon,length_km,width_m,surface_type,condition,historical_blockages,landslide_vulnerability,daily_traffic_vehicles
1,30,3,RD00001,NH,SH-58,25.83115,92.58462,25.88115,92.63462,44.4,12.0,Bituminous,Fair,6,High,347.8
2,28,3,RD00002,Village Road,SH-67,28.85499,93.1439,28.90499,93.1939,44.6,6.4,Concrete,Fair,1,Medium,152.5
3,52,6,RD00003,Village Road,NH-380,28.52291,99.80087,28.57291,99.85087,39.8,4.0,Gravel,Good,13,Medium,216.3
4,9,1,RD00004,Forest Road,SH-58,27.6441,93.23194,27.6941,93.28194,0.7,9.2,Earthen,Poor,8,Low,488.8
5,39,4,RD00005,Village Road,NH-101,27.3573,91.25021,27.4073,91.30021,49.1,3.4,Gravel,Fair,15,Medium,345.1
6,45,5,RD00006,Village Road,SH-24,28.62788,95.2203,28.67788,95.2703,8.3,10.9,Earthen,Good,20,Medium,373.9
7,3,1,RD00007,SH,SH-73,27.5692,98.7265,27.6192,98.7765,27.0,11.6,Bituminous,Fair,10,Medium,442.7
8,50,6,RD00008,NH,SH-60,23.98734,92.57562,24.03734,92.62562,7.0,6.7,Bituminous,Good,13,High,274.9
9,31,3,RD00009,Forest Road,SH-40,27.94333,95.39394,27.99333,95.44394,24.1,6.7,Earthen,Good,18,High,463.8
10,17,2,RD00010,MDR,NH-269,23.74028,93.04447,23.79028,93.09447,42.7,6.3,Earthen,Poor,2,Medium,431.8
11,33,4,RD00011,MDR,SH-81,23.71836,99.91706,23.76836,99.96706,22.5,8.3,Bituminous,Poor,0,High,389.8
12,33,4,RD00012,MDR,NH-33,23.63816,100.14787,23.68816,100.19787,14.8,11.1,Concrete,Good,8,Low,225.0
13,36,4,RD00013,Forest Road,NH-2,25.43219,90.78503,25.48219,90.83503,14.8,6.3,Bituminous,Poor,15,High,476.5
14,10,1,RD00014,Village Road,SH-36,23.83057,97.77532,23.88057,97.82532,37.1,5.9,Earthen,Good,9,Low,187.6
15,50,6,RD00015,Forest Road,SH-42,23.86683,92.37711,23.91683,92.42711,3.1,5.9,Concrete,Poor,0,Low,76.3
16,42,5,RD00016,NH,NH-205,22.19264,97.2163,22.24264,97.2663,2.1,11.2,Gravel,Good,3,Medium,57.9
17,25,3,RD00017,ODR,SH-18,26.37775,96.99376,26.42775,97.04376,36.8,7.4,Earthen,Fair,10,Medium,322.6
18,47,6,RD00018,ODR,NH-392,29.67401,99.39814,29.72401,99.44814,14.0,6.6,Concrete,Fair,5,Medium,26.3
19,52,6,RD00019,MDR,SH-98,28.39636,99.67951,28.44636,99.72951,32.0,5.8,Concrete,Good,19,Medium,7.3
20,52,6,RD00020,MDR,SH-11,28.68882,99.86209,28.73882,99.91209,1.7,6.9,Earthen,Poor,1,Medium,357.3
21,13,2,RD00021,Forest Road,NH-212,26.48679,99.54574,26.53679,99.59574,39.4,11.5,Bituminous,Fair,15,Low,36.0
22,10,1,RD00022,Forest Road,NH-101,23.91138,97.50091,23.96138,97.55091,21.9,4.0,Bituminous,Good,3,High,493.2
23,13,2,RD00023,Village Road,NH-219,26.13775,99.89687,26.18775,99.94687,11.0,6.7,Bituminous,Good,5,Medium,318.3
24,4,1,RD00024,Forest Road,SH-11,26.80727,90.46209,26.85727,90.51209,42.4,4.6,Earthen,Poor,10,Low,252.0
25,13,2,RD00025,ODR,SH-14,26.42874,99.92419,26.47874,99.97419,10.3,11.2,Gravel,Poor,17,High,480.2
26,23,3,RD00026,MDR,SH-44,27.74188,91.44562,27.79188,91.49562,40.7,7.6,Earthen,Poor,3,High,187.1
27,24,3,RD00027,SH,SH-39,24.20626,99.42568,24.25626,99.47568,14.3,7.3,Concrete,Good,9,High,350.4
28,5,1,RD00028,Forest Road,NH-274,23.74051,94.99835,23.79051,95.04835,17.5,4.1,Earthen,Fair,15,Low,162.8
29,34,4,RD00029,NH,NH-23,25.98008,97.63619,26.03008,97.68619,14.6,10.7,Gravel,Fair,7,High,429.4
30,45,5,RD00030,SH,SH-21,28.56283,95.15067,28.61283,95.20067,4.2,9.8,Concrete,Poor,16,Low,137.3
31,29,3,RD00031,Village Road,SH-28,25.91768,98.91166,25.96768,98.96166,13.3,12.0,Bituminous,Good,14,High,215.9
32,38,4,RD00032,Forest Road,NH-379,29.75153,98.45646,29.80153,98.50646,34.4,7.8,Gravel,Good,4,Low,350.9
33,32,3,RD00033,SH,SH-34,25.2451,95.94625,25.2951,95.99625,1.2,11.3,Gravel,Poor,1,Low,66.0
34,56,7,RD00034,NH,SH-55,29.34903,97.62529,29.39903,97.67529,1.8,3.6,Gravel,Good,4,Low,240.9
35,1,1,RD00035,Forest Road,SH-75,26.91935,90.33259,26.96935,90.38259,28.0,5.9,Concrete,Good,9,Low,329.9
36,21,2,RD00036,Forest Road,SH-48,23.98012,99.28191,24.03012,99.33191,10.8,10.0,Concrete,Poor,13,High,263.5
37,30,3,RD00037,Forest Road,SH-92,25.83971,92.65472,25.88971,92.70472,14.4,6.9,Earthen,Fair,18,Medium,296.0
38,50,6,RD00038,NH,NH-120,23.77931,92.58892,23.82931,92.63892,3.7,11.6,Concrete,Poor,7,Low,392.2
39,33,4,RD00039,NH,NH-140,23.8202,100.17508,23.8702,100.22508,33.0,8.0,Gravel,Fair,11,Medium,412.6
40,51,6,RD00040,NH,NH-194,29.74739,90.97248,29.79739,91.02248,42.5,3.4,Concrete,Poor,15,Medium,170.9
41,36,4,RD00041,Village Road,NH-284,25.47871,90.57248,25.52871,90.62248,29.0,9.3,Earthen,Good,20,High,359.0
42,41,5,RD00042,NH,NH-97,22.99352,94.49993,23.04352,94.54993,2.6,7.2,Earthen,Good,10,High,308.6
43,5,1,RD00043,Village Road,NH-149,23.66092,95.07624,23.71092,95.12624,19.2,11.4,Bituminous,Fair,0,High,69.2
44,61,8,RD00044,SH,SH-5,26.5443,89.93496,26.5943,89.98496,25.7,8.7,Gravel,Poor,16,High,106.1
45,41,5,RD00045,NH,SH-83,22.96008,94.32215,23.01008,94.37215,43.9,8.4,Gravel,Good,12,Medium,345.1
46,49,6,RD00046,NH,NH-186,29.44649,98.7641,29.49649,98.8141,15.7,3.5,Gravel,Fair,18,High,422.2
47,62,8,RD00047,NH,SH-74,27.11071,92.29534,27.16071,92.34534,23.5,7.3,Concrete,Good,16,Medium,457.1
48,41,5,RD00048,Forest Road,NH-359,22.88117,94.41467,22.93117,94.46467,6.5,3.4,Concrete,Poor,1,Medium,298.9
49,30,3,RD00049,SH,SH-63,25.81029,92.6816,25.86029,92.7316,5.3,9.3,Gravel,Good,13,High,322.1
50,30,3,RD00050,Village Road,NH-418,25.57551,92.73571,25.62551,92.78571,46.6,10.6,Bituminous,Fair,8,Medium,46.1
51,8,1,RD00051,MDR,SH-22,24.10509,98.84342,24.15509,98.89342,14.8,6.6,Earthen,Good,15,Low,118.3
52,53,6,RD00052,ODR,NH-409,28.07702,91.30731,28.12702,91.35731,12.0,10.6,Concrete,Good,1,Medium,489.5
53,38,4,RD00053,SH,SH-8,29.86395,98.76484,29.91395,98.81484,11.9,5.9,Gravel,Poor,10,High,111.4
54,20,2,RD00054,Village Road,NH-138,23.49267,93.47042,23.54267,93.52042,39.9,9.3,Concrete,Poor,20,Medium,261.3
55,60,8,RD00055,ODR,NH-248,24.81908,95.91764,24.86908,95.96764,11.9,10.0,Earthen,Good,13,High,323.3
56,16,2,RD00056,NH,SH-58,23.56324,90.87072,23.61324,90.92072,8.9,8.1,Concrete,Poor,3,High,125.2
57,43,5,RD00057,Village Road,NH-296,29.57808,97.62223,29.62808,97.67223,10.3,5.5,Gravel,Good,7,High,98.1
58,53,6,RD00058,MDR,NH-143,28.0603,91.13571,28.1103,91.18571,11.2,10.1,Concrete,Fair,2,Medium,281.7
59,39,4,RD00059,SH,SH-43,27.30149,91.3412,27.35149,91.3912,35.9,10.3,Gravel,Good,15,Medium,238.1
60,37,4,RD00060,MDR,NH-453,26.61104,94.82447,26.66104,94.87447,38.2,10.2,Gravel,Fair,3,Medium,345.6
61,12,1,RD00061,ODR,SH-25,26.64055,98.17924,26.69055,98.22924,4.2,12.0,Earthen,Fair,6,Low,7.9
62,31,3,RD00062,Village Road,SH-60,27.86501,95.25543,27.91501,95.30543,17.6,7.4,Earthen,Fair,18,Low,32.3
63,35,4,RD00063,NH,NH-179,23.29304,91.62119,23.34304,91.67119,2.6,10.9,Earthen,Good,19,Medium,105.8
64,9,1,RD00064,MDR,SH-17,27.69993,93.50559,27.74993,93.55559,8.6,4.9,Earthen,Poor,17,Low,131.3
65,8,1,RD00065,ODR,NH-458,24.34815,98.80887,24.39815,98.85887,18.4,9.0,Bituminous,Good,9,Low,434.3
66,60,8,RD00066,ODR,NH-429,24.82045,96.02298,24.87045,96.07298,20.7,4.6,Concrete,Good,15,Medium,240.9
67,18,2,RD00067,Forest Road,NH-176,28.81135,98.60608,28.86135,98.65608,48.7,10.0,Gravel,Fair,5,Low,90.6
68,7,1,RD00068,ODR,SH-46,26.38884,92.2708,26.43884,92.3208,10.0,6.4,Concrete,Good,17,Low,140.0
69,13,2,RD00069,ODR,SH-84,26.29132,99.58718,26.34132,99.63718,37.3,5.8,Gravel,Good,10,Low,462.4
70,59,8,RD00070,SH,SH-90,25.63727,92.5954,25.68727,92.6454,23.9,10.1,Earthen,Fair,15,Low,343.8
71,41,5,RD00071,MDR,NH-17,22.99205,94.5434,23.04205,94.5934,11.0,6.9,Gravel,Good,11,Medium,80.8
72,50,6,RD00072,MDR,SH-44,24.0117,92.21165,24.0617,92.26165,16.6,11.0,Earthen,Fair,3,High,296.3
73,48,6,RD00073,ODR,SH-90,26.85607,94.70496,26.90607,94.75496,18.2,10.1,Concrete,Poor,8,High,217.0
74,9,1,RD00074,Village Road,SH-40,27.42771,93.4859,27.47771,93.5359,22.0,3.4,Gravel,Poor,8,High,317.0
75,45,5,RD00075,NH,NH-181,28.61466,95.27302,28.66466,95.32302,33.3,7.1,Earthen,Poor,0,Medium,125.0
76,45,5,RD00076,ODR,NH-111,28.56351,95.05194,28.61351,95.10194,8.1,5.6,Bituminous,Poor,13,High,281.3
77,45,5,RD00077,SH,NH-320,28.78078,95.08888,28.83078,95.13888,15.2,7.7,Earthen,Fair,8,Medium,390.9
78,46,5,RD00078,SH,NH-118,23.15343,97.43807,23.20343,97.48807,11.1,9.8,Concrete,Poor,2,Medium,498.2
79,36,4,RD00079,Village Road,SH-51,25.379,90.49798,25.429,90.54798,30.3,9.4,Concrete,Poor,16,High,316.3
80,29,3,RD00080,SH,SH-15,26.18424,98.84582,26.23424,98.89582,44.2,10.2,Bituminous,Poor,14,Low,359.8
