change_id,image_before_id,image_after_id,state_id,district_id,lat,lon,area_changed_sqkm,change_type,confidence_score,detection_datetime,ndvi_change,ndwi_change,backscatter_change_db,landslide_indicator,validation_status
1,2943,1138,31,3,28.45839,95.38348,4.27,Erosion,0.869,2024-07-01 04:01:21,0.4766,-0.7034,0.2254,1,False Positive
2,680,2169,4,1,26.82659,89.91742,7.881,Flooding,0.585,2024-05-29 07:13:04,-0.8333,0.3215,0.2688,1,Validated
3,1838,380,41,5,23.31063,94.50556,3.015,Construction,0.512,2020-08-05 13:47:18,-0.9335,0.0468,0.4202,1,False Positive
4,556,559,33,4,23.86844,100.47011,7.498,Flooding,0.833,2018-06-20 13:27:10,-0.7565,0.1769,0.0911,1,Validated
5,160,149,22,2,22.58325,96.52567,8.01,Debris Flow,0.89,2018-01-06 08:21:18,-0.5349,-0.3198,0.2576,1,False Positive
6,1618,222,6,1,26.06439,96.74557,2.26,Vegetation Loss,0.788,2022-01-27 10:16:41,0.6382,0.7553,0.3478,1,Unvalidated
7,1014,2292,32,3,25.7343,96.19871,1.801,Landslide,0.621,2020-01-05 11:09:45,0.7296,0.5904,0.3828,1,Validated
8,2284,2150,4,1,26.67002,89.86798,4.832,Landslide,0.541,2024-11-28 22:06:56,0.8658,0.1992,0.1584,1,Validated
9,1490,2166,35,4,23.08545,91.157,0.934,Construction,0.979,2022-10-26 16:00:41,0.0147,0.0432,0.0813,1,Unvalidated
10,1724,2293,28,3,28.98245,93.23487,9.971,Debris Flow,0.805,2024-06-09 10:13:37,0.5938,0.2648,0.04,1,Validated
11,135,2980,33,4,24.23038,99.71968,2.429,Debris Flow,0.512,2018-03-29 10:50:48,-0.2979,0.0413,0.2733,1,False Positive
12,1530,2101,8,1,24.54357,98.46049,6.611,Landslide,0.77,2020-04-18 02:31:06,-0.2936,0.5788,0.0278,1,Validated
13,2991,1019,14,2,22.30431,92.89713,6.702,Flooding,0.783,2024-12-09 16:14:07,-0.2141,0.8757,0.2721,1,False Positive
14,1726,519,17,2,23.60496,92.62838,2.659,Landslide,0.682,2018-01-31 14:18:03,0.701,0.6036,0.112,1,Unvalidated
15,1592,1434,39,4,27.40106,91.60151,3.772,Erosion,0.757,2024-08-31 16:11:54,-0.809,0.125,0.2484,1,Unvalidated
16,1812,578,36,4,25.86329,90.41148,7.875,Debris Flow,0.535,2018-09-09 22:56:13,-0.0461,0.4622,0.1925,1,False Positive
17,1510,1747,62,8,27.52342,92.42775,5.082,Construction,0.65,2018-06-02 19:41:42,-0.1796,-0.0702,0.4537,1,Validated
