image_id,state_id,district_id,acquisition_datetime,lat_nw,lon_nw,lat_ne,lon_ne,lat_se,lon_se,lat_sw,lon_sw,sensor,image_type,resolution_m,cloud_cover_pct,processing_level,filename,incidence_angle_deg
1,29,3,2021-10-10 07:05:30,26.21583,98.71154,26.31583,98.81154,26.31583,98.71154,26.21583,98.81154,Sentinel-1A,SAR,23.3,29.4,Preprocessed,S2_000001.tif,0.26
2,53,6,2019-04-25 19:58:13,28.52208,91.06353,28.62208,91.16353,28.62208,91.06353,28.52208,91.16353,Landsat-9,Optical,6.8,84.9,Raw,S2_000002.tif,4.92
3,60,8,2018-07-02 08:23:06,24.35606,96.11259,24.45606,96.21259,24.45606,96.11259,24.35606,96.21259,Landsat-9,Optical,9.1,60.5,Preprocessed,S2_000003.tif,4.42
4,21,2,2024-10-08 07:12:37,23.78074,99.56049,23.88074,99.66049,23.88074,99.56049,23.78074,99.66049,Landsat-8,Optical,28.3,79.5,Analysis Ready,S2_000004.tif,1.66
5,54,6,2023-08-06 21:53:42,29.2711,91.27081,29.3711,91.37081,29.3711,91.27081,29.2711,91.37081,Landsat-8,Optical,27.4,54.8,Raw,S2_000005.tif,2.29
6,46,5,2024-01-10 14:31:03,23.60744,97.19378,23.70744,97.29378,23.70744,97.19378,23.60744,97.29378,Sentinel-2A,Optical,29.2,99.9,Raw,S2_000006.tif,3.04
7,46,5,2022-06-25 14:13:08,22.91905,98.09248,23.01905,98.19248,23.01905,98.09248,22.91905,98.19248,Sentinel-2A,Optical,4.8,82.4,Analysis Ready,S2_000007.tif,4.54
8,20,2,2024-12-25 08:53:45,22.87109,93.857,22.97109,93.957,22.97109,93.857,22.87109,93.957,Sentinel-1B,SAR,23.9,74.2,Preprocessed,S2_000008.tif,2.9
9,21,2,2019-03-10 00:51:13,24.40863,99.61353,24.50863,99.71353,24.50863,99.61353,24.40863,99.71353,Sentinel-1A,SAR,12.9,20.0,Raw,S2_000009.tif,3.67
10,40,5,2020-06-24 18:49:20,28.29378,97.42161,28.39378,97.52161,28.39378,97.42161,28.29378,97.52161,Sentinel-1B,SAR,13.8,61.6,Preprocessed,S2_000010.tif,1.29
11,9,1,2018-07-11 03:44:39,27.54871,93.2787,27.64871,93.3787,27.64871,93.2787,27.54871,93.3787,RESOURCESAT-2,Optical,4.1,88.1,Analysis Ready,S2_000011.tif,1.74
12,30,3,2020-03-08 17:27:09,25.82045,92.77696,25.92045,92.87696,25.92045,92.77696,25.82045,92.87696,RESOURCESAT-2,Optical,24.3,34.0,Preprocessed,S2_000012.tif,3.42
13,39,4,2021-08-06 20:08:48,27.87551,90.86376,27.97551,90.96376,27.97551,90.86376,27.87551,90.96376,Landsat-9,Optical,27.3,84.7,Preprocessed,S2_000013.tif,0.26
14,29,3,2020-08-24 06:31:18,25.73937,99.01403,25.83937,99.11403,25.83937,99.01403,25.73937,99.11403,Sentinel-2B,Optical,28.6,92.5,Raw,S2_000014.tif,1.42
15,48,6,2024-08-01 22:10:41,26.79412,94.42533,26.89412,94.52533,26.89412,94.42533,26.79412,94.52533,Sentinel-2A,Optical,25.0,45.0,Analysis Ready,S2_000015.tif,4.52
16,7,1,2022-06-26 18:22:25,26.54923,92.21149,26.64923,92.31149,26.64923,92.21149,26.54923,92.31149,Landsat-8,Optical,14.1,77.1,Preprocessed,S2_000016.tif,2.91
17,9,1,2021-11-23 14:58:30,27.76745,93.78308,27.86745,93.88308,27.86745,93.78308,27.76745,93.88308,Sentinel-1B,SAR,3.3,90.4,Raw,S2_000017.tif,1.95
18,6,1,2023-12-21 09:51:14,26.20822,96.83025,26.30822,96.93025,26.30822,96.83025,26.20822,96.93025,Sentinel-1A,SAR,15.0,33.2,Raw,S2_000018.tif,2.5
19,60,8,2021-03-17 01:28:22,24.23382,95.69192,24.33382,95.79192,24.33382,95.69192,24.23382,95.79192,RESOURCESAT-2,Optical,14.9,28.7,Analysis Ready,S2_000019.tif,4.63
20,40,5,2023-12-17 08:48:32,28.39305,97.29411,28.49305,97.39411,28.49305,97.29411,28.39305,97.39411,Sentinel-2B,Optical,3.4,27.6,Analysis Ready,S2_000020.tif,4.88
21,26,3,2019-12-19 00:11:19,23.96842,90.33142,24.06842,90.43142,24.06842,90.33142,23.96842,90.43142,Sentinel-2A,Optical,4.6,98.6,Preprocessed,S2_000021.tif,4.43
22,16,2,2020-08-02 00:41:35,23.85056,90.24372,23.95056,90.34372,23.95056,90.24372,23.85056,90.34372,RESOURCESAT-2,Optical,22.4,5.7,Raw,S2_000022.tif,2.77
23,14,2,2022-03-03 04:43:48,22.94829,93.40104,23.04829,93.50104,23.04829,93.40104,22.94829,93.50104,Landsat-9,Optical,7.8,53.6,Analysis Ready,S2_000023.tif,3.58
24,31,3,2021-10-18 03:29:21,28.14192,95.22811,28.24192,95.32811,28.24192,95.22811,28.14192,95.32811,Sentinel-1A,SAR,12.6,67.7,Raw,S2_000024.tif,2.25
25,33,4,2018-01-29 22:43:52,23.87293,99.78345,23.97293,99.88345,23.97293,99.78345,23.87293,99.88345,Sentinel-1A,SAR,5.8,82.3,Analysis Ready,S2_000025.tif,3.2
26,27,3,2020-08-11 11:12:32,25.05131,91.06761,25.15131,91.16761,25.15131,91.06761,25.05131,91.16761,Sentinel-2B,Optical,20.7,16.0,Analysis Ready,S2_000026.tif,4.22
27,48,6,2018-04-18 14:18:47,27.25721,95.21846,27.35721,95.31846,27.35721,95.21846,27.25721,95.31846,Sentinel-1A,SAR,25.1,32.1,Raw,S2_000027.tif,4.76
28,22,2,2019-10-04 13:15:04,22.71398,96.15676,22.81398,96.25676,22.81398,96.15676,22.71398,96.25676,Landsat-8,Optical,26.6,50.0,Analysis Ready,S2_000028.tif,3.71
29,9,1,2023-08-19 02:46:29,27.76083,93.47269,27.86083,93.57269,27.86083,93.47269,27.76083,93.57269,Sentinel-1A,SAR,22.5,64.9,Analysis Ready,S2_000029.tif,4.78
30,21,2,2019-07-12 07:49:46,23.86485,99.4408,23.96485,99.5408,23.96485,99.4408,23.86485,99.5408,Landsat-9,Optical,23.3,38.9,Raw,S2_000030.tif,0.47
31,35,4,2023-02-24 17:43:00,23.66772,91.26815,23.76772,91.36815,23.76772,91.26815,23.66772,91.36815,RESOURCESAT-2,Optical,11.0,73.7,Raw,S2_000031.tif,3.0
32,15,2,2024-12-03 21:11:42,26.77526,99.10557,26.87526,99.20557,26.87526,99.10557,26.77526,99.20557,Sentinel-2B,Optical,10.7,34.5,Analysis Ready,S2_000032.tif,1.59
33,54,6,2019-06-22 19:15:45,29.74804,91.84277,29.84804,91.94277,29.84804,91.84277,29.74804,91.94277,Sentinel-2A,Optical,22.0,52.8,Analysis Ready,S2_000033.tif,0.94
34,1,1,2018-07-28 09:23:25,26.94896,90.6184,27.04896,90.7184,27.04896,90.6184,26.94896,90.7184,RESOURCESAT-2,Optical,18.9,10.3,Preprocessed,S2_000034.tif,3.33
35,42,5,2021-04-01 02:42:14,22.15564,96.89737,22.25564,96.99737,22.25564,96.89737,22.15564,96.99737,Sentinel-2B,Optical,28.2,60.5,Preprocessed,S2_000035.tif,1.42
36,48,6,2018-08-18 20:42:06,26.48932,94.66116,26.58932,94.76116,26.58932,94.66116,26.48932,94.76116,RESOURCESAT-2,Optical,18.8,4.1,Preprocessed,S2_000036.tif,0.88
37,18,2,2022-03-30 04:59:25,28.42948,98.98749,28.52948,99.08749,28.52948,98.98749,28.42948,99.08749,Sentinel-2A,Optical,14.6,30.3,Preprocessed,S2_000037.tif,1.46
38,31,3,2019-11-14 05:37:19,28.28212,95.2884,28.38212,95.3884,28.38212,95.2884,28.28212,95.3884,Landsat-8,Optical,27.4,9.5,Raw,S2_000038.tif,3.36
