reading_id,sensor_id,sensor_code,sensor_type,datetime,value,raw_value,alert_level,data_quality_score,rate_of_change,noise_level,temperature_c,transmission_mode
1,230,SNS0230,Extensometer,2020-06-01 09:00:02,17.982,17.526,Fault,0.926,4.84,0.312,-3.1,LoRa
2,49,SNS0049,Seismograph,2024-09-28 03:59:44,40.281,38.901,Critical,0.921,4.42,1.49,73.5,WiFi
3,14,SNS0014,Tiltmeter,2019-12-22 04:40:35,77.561,80.267,Fault,0.96,2.55,0.147,24.0,LoRa
4,198,SNS0198,Rain Gauge,2021-09-09 14:07:02,51.384,50.584,Fault,0.843,1.21,0.995,21.3,4G
5,145,SNS0145,Seismograph,2019-06-20 21:05:52,58.307,60.817,Fault,0.883,4.77,0.689,24.1,Satellite
6,288,SNS0288,Seismograph,2021-11-07 07:23:49,2.338,2.398,Warning,0.8,4.65,1.845,22.3,Manual
7,285,SNS0285,Accelerometer,2021-06-11 20:51:28,32.194,32.215,Warning,0.975,0.17,1.12,-13.0,LoRa
8,17,SNS0017,Accelerometer,2018-06-21 13:24:54,73.053,70.968,Fault,0.977,4.47,0.777,-36.0,4G
9,285,SNS0285,Accelerometer,2022-12-18 14:06:06,15.26,14.971,Normal,0.957,1.48,0.626,1.4,4G
10,144,SNS0144,Extensometer,2020-04-03 17:07:55,79.733,81.077,Critical,0.918,1.51,1.606,-30.0,Manual
11,244,SNS0244,Inclinometer,2023-02-19 05:42:37,86.274,85.466,Critical,0.896,2.43,0.231,0.3,Satellite
12,29,SNS0029,Crack Gauge,2020-04-24 15:40:44,66.274,63.644,Normal,0.823,2.35,1.763,78.7,Manual
13,78,SNS0078,GNSS,2024-04-01 00:54:23,76.108,76.991,Critical,0.922,2.98,0.153,58.8,Manual
14,230,SNS0230,Extensometer,2022-03-25 04:09:45,65.153,67.184,Normal,0.847,1.47,0.126,-25.8,WiFi
15,275,SNS0275,Tiltmeter,2018-09-07 00:35:17,48.31,47.896,Critical,0.861,4.88,1.142,6.9,WiFi
16,249,SNS0249,Soil Moisture,2021-10-11 06:25:37,92.059,93.783,Normal,0.824,4.52,0.781,-13.1,LoRa
17,261,SNS0261,Tiltmeter,2023-03-24 12:58:38,90.577,94.157,Warning,0.887,2.35,1.366,5.7,LoRa
18,291,SNS0291,Inclinometer,2023-09-15 00:07:36,2.434,2.452,Critical,0.894,0.11,0.612,60.2,Satellite
19,86,SNS0086,Accelerometer,2024-10-16 22:52:25,83.782,80.561,Normal,0.955,2.5,1.313,44.4,Manual
20,143,SNS0143,Accelerometer,2021-07-09 05:08:38,47.551,47.09,Warning,0.911,4.93,0.585,-6.2,Manual
21,297,SNS0297,Rain Gauge,2023-11-23 00:33:55,38.295,39.186,Warning,0.903,2.14,1.994,70.1,WiFi
22,106,SNS0106,Seismograph,2021-07-03 22:56:25,19.602,20.434,Warning,0.984,0.75,0.741,54.0,WiFi
23,263,SNS0263,Crack Gauge,2024-07-01 01:32:46,1.563,1.553,Warning,0.901,1.16,1.411,46.9,Satellite
24,264,SNS0264,Rain Gauge,2018-02-25 08:55:34,40.086,40.3,Normal,0.869,3.38,1.042,-12.6,WiFi
25,267,SNS0267,Accelerometer,2020-02-15 15:42:58,65.554,65.569,Critical,0.91,1.16,0.927,47.3,4G
26,49,SNS0049,Seismograph,2024-07-02 15:37:21,52.583,51.566,Critical,0.812,0.96,1.807,63.8,4G
27,5,SNS0005,Extensometer,2024-06-28 17:09:43,28.833,27.569,Critical,0.985,2.32,1.121,52.5,LoRa
28,283,SNS0283,Tiltmeter,2019-11-27 04:22:12,65.229,64.044,Normal,0.886,0.41,1.565,33.0,WiFi
29,265,SNS0265,Inclinometer,2018-11-11 22:16:02,73.887,73.599,Fault,0.882,3.85,1.744,0.2,LoRa
30,221,SNS0221,Soil Moisture,2020-05-06 12:12:26,13.204,13.564,Warning,0.82,0.91,1.111,-4.2,Manual
31,119,SNS0119,Inclinometer,2023-03-11 23:02:00,83.914,84.461,Warning,0.866,0.01,1.135,-24.5,4G
32,266,SNS0266,Soil Moisture,2024-11-03 14:42:09,29.598,28.654,Critical,0.92,4.25,1.467,35.9,4G
33,178,SNS0178,Rain Gauge,2019-08-19 14:15:57,21.766,21.867,Normal,0.929,0.63,1.801,-28.6,WiFi
34,144,SNS0144,Extensometer,2022-04-09 04:08:55,42.222,40.409,Normal,0.974,2.73,1.448,30.6,Satellite
35,78,SNS0078,GNSS,2021-06-01 10:54:32,52.531,54.421,Fault,0.98,0.05,0.202,52.4,4G
36,11,SNS0011,Seismograph,2024-07-06 18:37:33,68.45,71.329,Normal,0.995,3.3,0.645,-17.8,4G
37,237,SNS0237,Inclinometer,2022-06-06 01:56:45,73.742,73.322,Warning,0.936,1.24,1.321,60.5,WiFi
38,264,SNS0264,Rain Gauge,2024-10-06 03:02:59,6.275,6.557,Fault,0.847,0.93,1.069,48.1,LoRa
39,102,SNS0102,Crack Gauge,2023-11-02 23:23:34,67.749,70.638,Fault,0.991,0.87,0.371,28.7,WiFi
40,251,SNS0251,GNSS,2019-06-12 12:02:47,39.61,38.731,Fault,0.868,2.07,0.272,51.3,LoRa
41,50,SNS0050,Accelerometer,2019-09-15 15:38:12,41.951,42.921,Fault,0.844,4.35,1.144,-12.8,Satellite
42,30,SNS0030,Piezometer,2018-01-16 09:05:19,22.736,23.236,Normal,0.85,4.44,0.198,6.7,LoRa
43,48,SNS0048,Extensometer,2023-10-26 04:26:46,86.303,88.837,Normal,0.896,4.54,0.099,65.6,4G
44,102,SNS0102,Crack Gauge,2019-01-23 05:37:34,2.774,2.899,Fault,0.93,1.13,0.515,49.9,4G
45,300,SNS0300,Rain Gauge,2023-08-18 20:58:45,40.35,40.64,Normal,0.955,3.68,0.239,64.3,Satellite
46,15,SNS0015,Rain Gauge,2022-01-08 18:52:40,89.169,89.237,Warning,0.973,4.79,1.814,-22.9,Manual
47,37,SNS0037,Tiltmeter,2021-08-30 08:49:02,12.408,12.366,Normal,0.833,0.54,0.654,-10.9,Satellite
48,37,SNS0037,Tiltmeter,2021-11-12 05:49:23,42.475,41.286,Critical,0.922,1.51,0.83,26.4,Manual
