sensor_id,zone_id,slope_id,state_id,district_id,sensor_code,sensor_type,model,lat,lon,elevation_m,installation_date,status,sampling_interval_min,battery_pct,last_communication
1,129,242,6,54,SNS0001,Piezometer,Model-938,29.198348,91.560987,2746,2023-04-19,Inactive,60,16.7,2024-06-13 19:23:27
2,188,46,6,49,SNS0002,Piezometer,Model-340,28.974082,98.418294,2360,2024-05-30,Active,5,85.4,2024-05-30 10:22:44
3,170,442,3,29,SNS0003,Seismograph,Model-710,26.060177,99.213664,3612,2020-05-13,Maintenance,15,32.7,2024-04-19 10:40:05
4,1,456,7,56,SNS0004,Accelerometer,Model-270,29.248545,97.588212,3074,2015-04-06,Maintenance,30,95.4,2024-11-29 23:40:58
5,112,236,2,20,SNS0005,Extensometer,Model-718,23.751609,93.129672,1638,2018-03-01,Inactive,15,39.7,2024-11-14 19:31:35
6,101,186,7,55,SNS0006,Crack Gauge,Model-699,28.808753,94.700201,4313,2023-01-03,Active,5,27.2,2024-05-03 09:01:58
7,156,21,2,22,SNS0007,Crack Gauge,Model-467,22.132946,96.468065,1680,2017-02-10,Inactive,15,57.1,2024-08-05 01:58:08
8,70,253,6,50,SNS0008,Inclinometer,Model-830,23.921126,92.39215,2213,2022-02-20,Inactive,30,85.0,2024-09-29 06:17:43
9,151,292,3,30,SNS0009,Rain Gauge,Model-225,25.710602,93.134024,550,2022-01-19,Inactive,30,94.2,2024-10-31 11:42:54
10,63,76,2,17,SNS0010,Seismograph,Model-263,23.550929,93.150444,3621,2024-03-25,Faulty,30,7.8,2024-01-26 11:30:18
11,159,84,1,2,SNS0011,Seismograph,Model-154,23.775695,91.095746,1834,2021-07-22,Faulty,10,89.0,2024-11-13 03:15:22
12,125,106,5,40,SNS0012,Rain Gauge,Model-953,28.108165,97.764651,877,2018-02-06,Maintenance,30,95.6,2024-06-22 21:05:43
13,27,265,3,23,SNS0013,Inclinometer,Model-785,28.021068,91.453841,1598,2018-03-27,Faulty,60,70.1,2024-04-11 06:02:56
14,124,405,5,46,SNS0014,Tiltmeter,Model-995,23.586539,97.241658,1298,2022-05-26,Active,1,4.9,2024-04-08 02:07:47
15,125,343,5,40,SNS0015,Rain Gauge,Model-718,28.189933,97.773816,3899,2021-04-30,Maintenance,10,31.7,2024-04-22 06:17:08
16,21,291,3,23,SNS0016,Crack Gauge,Model-910,28.083397,92.049281,4183,2018-10-30,Maintenance,5,88.9,2024-08-31 15:07:17
17,165,292,7,56,SNS0017,Accelerometer,Model-828,29.212022,97.695402,402,2019-10-13,Inactive,15,79.1,2024-12-29 20:12:05
18,34,370,1,6,SNS0018,Crack Gauge,Model-980,26.835537,97.432362,745,2015-10-07,Faulty,60,56.4,2024-09-17 21:19:27
19,156,246,2,22,SNS0019,Tiltmeter,Model-850,22.200613,96.526917,613,2024-07-13,Inactive,10,27.7,2024-06-04 15:49:31
20,1,360,7,56,SNS0020,Extensometer,Model-297,29.242032,97.52215,607,2020-07-24,Faulty,15,82.6,2024-01-08 11:34:34
21,98,83,1,11,SNS0021,Tiltmeter,Model-794,22.45171,91.071908,3336,2016-10-10,Active,1,37.0,2024-08-08 14:27:22
22,87,124,4,36,SNS0022,Piezometer,Model-386,24.992873,90.301437,1966,2015-05-01,Maintenance,1,87.8,2024-06-01 03:06:59
23,90,15,7,56,SNS0023,Rain Gauge,Model-664,29.167942,97.779475,1403,2019-02-15,Faulty,15,1.2,2024-08-12 05:34:02
24,172,189,1,5,SNS0024,Inclinometer,Model-865,23.346167,95.434696,800,2023-05-31,Maintenance,10,71.0,2024-04-26 23:55:25
25,157,363,1,9,SNS0025,Tiltmeter,Model-834,27.715192,93.88179,2673,2015-04-15,Faulty,15,51.7,2024-04-30 18:15:28
26,149,401,1,5,SNS0026,Rain Gauge,Model-883,23.732811,95.177016,3833,2024-08-04,Faulty,5,11.4,2024-07-24 09:58:44
27,143,383,2,19,SNS0027,Extensometer,Model-113,23.814667,95.83534,3589,2024-04-15,Active,15,38.1,2024-04-09 19:58:55
28,90,410,7,56,SNS0028,GNSS,Model-488,29.113949,97.793987,3215,2024-04-22,Inactive,60,7.2,2024-06-05 02:19:28
29,175,399,7,56,SNS0029,Crack Gauge,Model-223,29.384309,97.673483,3882,2018-12-23,Active,60,14.1,2024-06-19 23:36:24
30,143,103,2,19,SNS0030,Piezometer,Model-495,23.841423,95.902442,3866,2020-05-22,Active,5,10.1,2024-09-07 22:41:05
31,89,7,7,56,SNS0031,Extensometer,Model-374,29.122901,97.566225,1423,2018-07-17,Active,15,67.7,2024-05-21 12:58:25
32,24,161,3,23,SNS0032,Extensometer,Model-840,27.619771,91.88221,1655,2021-04-18,Inactive,1,17.6,2024-10-18 17:22:04
33,25,74,2,18,SNS0033,Extensometer,Model-741,29.185804,99.162447,3687,2018-08-18,Active,1,6.3,2024-10-03 04:31:54
34,183,350,4,35,SNS0034,Accelerometer,Model-708,23.026575,91.155339,558,2015-11-08,Active,1,36.2,2024-03-02 10:04:31
35,152,123,4,39,SNS0035,Accelerometer,Model-389,27.407848,90.824077,1309,2024-05-14,Maintenance,1,87.0,2024-02-05 03:57:05
36,42,212,3,25,SNS0036,GNSS,Model-365,26.684317,97.069606,2955,2018-06-25,Inactive,15,64.9,2024-04-20 14:49:58
37,175,149,7,56,SNS0037,Tiltmeter,Model-192,29.353883,97.645089,2003,2023-05-16,Maintenance,10,55.7,2024-08-05 11:58:55
38,73,69,1,3,SNS0038,Seismograph,Model-156,27.133269,99.171785,545,2024-02-02,Maintenance,15,66.9,2024-10-06 04:46:40
39,66,80,1,3,SNS0039,Crack Gauge,Model-588,27.906921,98.926031,258,2024-05-19,Faulty,30,57.1,2024-09-19 18:16:35
40,145,134,6,48,SNS0040,Seismograph,Model-679,26.584352,94.767374,4130,2016-03-27,Faulty,30,11.8,2024-05-26 08:27:24
41,24,53,3,23,SNS0041,Crack Gauge,Model-166,27.6421,91.932446,428,2022-10-11,Faulty,60,69.4,2024-03-06 22:11:21
42,146,189,7,58,SNS0042,GNSS,Model-749,27.505895,94.202096,3238,2021-08-06,Faulty,60,3.8,2024-11-16 21:28:45
43,91,483,5,46,SNS0043,Extensometer,Model-813,23.652936,97.464813,3537,2016-04-01,Maintenance,5,80.7,2024-12-21 15:50:17
44,178,34,5,41,SNS0044,Soil Moisture,Model-871,22.53105,94.028519,394,2022-11-06,Active,1,69.0,2024-07-14 07:39:42
45,149,323,1,5,SNS0045,GNSS,Model-378,23.668169,95.186749,1910,2020-12-17,Maintenance,30,6.7,2024-10-09 08:31:15
46,28,477,2,17,SNS0046,Rain Gauge,Model-843,23.403497,92.870757,1793,2018-03-30,Inactive,10,85.1,2024-10-14 17:53:01
47,169,499,6,51,SNS0047,Piezometer,Model-463,29.178217,90.35011,3930,2022-09-05,Faulty,1,28.6,2024-05-07 00:13:08
