slope_id,district_id,zone_id,slope_code,lat_start,lon_start,lat_end,lon_end,slope_angle_deg,slope_length_m,aspect,elevation_min_m,elevation_max_m,geology_type,soil_type,factor_of_safety,stability_class,historical_events,last_survey_date
1,54,145,SL00001,29.299517,91.869569,29.309517,91.879569,19.1,4786,W,2468,2549,Sandstone,Rock,1.837,Unstable,9,2020-10-31
2,16,176,SL00002,23.481956,90.667726,23.491956,90.677726,49.4,4066,NW,1594,1852,Phyllite,Rock,1.435,Marginally Stable,10,2017-02-28
3,47,89,SL00003,29.913224,99.00276,29.923224,99.01276,33.5,3921,NE,1169,1492,Sandstone,Loam,1.206,Marginally Stable,3,2011-02-19
4,19,99,SL00004,24.442298,96.307681,24.452298,96.317681,63.1,4832,SW,1608,1852,Schist,Silt,2.146,Critical,15,2016-12-02
5,32,6,SL00005,25.181529,95.771245,25.191529,95.781245,37.9,2990,N,2272,2373,Phyllite,Silt,1.009,Critical,9,2022-01-14
6,1,28,SL00006,27.073957,90.479573,27.083957,90.489573,51.4,3381,N,3603,3852,Phyllite,Rock,1.295,Unstable,2,2018-08-31
7,33,116,SL00007,23.913242,99.843232,23.923242,99.853232,64.5,892,W,1273,1705,Phyllite,Rock,0.844,Unstable,4,2014-06-19
8,39,131,SL00008,27.383132,90.869653,27.393132,90.879653,16.9,4354,NW,3028,3230,Limestone,Rock,2.128,Marginally Stable,10,2023-10-02
9,21,42,SL00009,24.071573,99.4364,24.081573,99.4464,57.1,4275,NW,3055,3411,Sandstone,Clay,1.564,Unstable,10,2012-06-16
10,27,150,SL00010,25.093907,90.90116,25.103907,90.91116,58.6,2275,SE,518,620,Limestone,Silt,1.734,Marginally Stable,12,2013-04-25
11,53,175,SL00011,27.972018,91.327442,27.982018,91.337442,50.0,2669,W,1862,2067,Sandstone,Loam,0.636,Critical,15,2011-05-26
12,46,36,SL00012,23.23391,97.661632,23.24391,97.671632,64.9,2670,E,4218,4738,Limestone,Sandy Loam,1.598,Unstable,8,2023-09-07
13,31,50,SL00013,28.234302,95.257204,28.244302,95.267204,29.9,1798,NW,2738,3112,Sandstone,Sandy Loam,2.065,Unstable,9,2012-09-25
14,37,174,SL00014,26.793015,94.917956,26.803015,94.927956,34.7,1299,S,3127,3220,Phyllite,Clay,2.414,Unstable,14,2024-09-17
15,17,192,SL00015,23.810648,92.715141,23.820648,92.725141,41.9,4907,SE,2525,2823,Granite,Rock,0.861,Marginally Stable,7,2011-03-07
16,7,106,SL00016,26.257676,92.187842,26.267676,92.197842,49.1,4608,E,1426,1892,Gneiss,Silt,0.61,Critical,6,2016-06-11
17,21,74,SL00017,24.223339,99.611262,24.233339,99.621262,19.5,405,E,2202,2679,Schist,Clay,1.617,Critical,15,2014-03-07
18,60,192,SL00018,24.981979,96.138724,24.991979,96.148724,58.8,979,SW,375,716,Sandstone,Rock,1.167,Critical,4,2021-04-23
19,30,70,SL00019,25.486487,92.416388,25.496487,92.426388,23.1,1625,N,4059,4454,Phyllite,Rock,1.832,Marginally Stable,5,2023-09-14
20,55,164,SL00020,29.217726,94.427594,29.227726,94.437594,40.8,881,E,1010,1203,Sandstone,Sandy Loam,1.362,Marginally Stable,0,2015-11-07
21,25,61,SL00021,26.423641,96.706297,26.433641,96.716297,31.5,3045,SE,393,506,Gneiss,Clay,1.097,Critical,9,2013-08-01
22,26,176,SL00022,23.833912,90.558071,23.843912,90.568071,50.2,2516,SW,2847,3123,Schist,Loam,1.912,Critical,4,2020-03-16
23,48,156,SL00023,26.715775,95.007264,26.725775,95.017264,60.6,1889,SE,4703,4836,Limestone,Silt,2.124,Unstable,2,2022-08-27
24,8,16,SL00024,24.422764,98.934733,24.432764,98.944733,25.1,2787,NW,4696,4865,Gneiss,Loam,0.885,Critical,2,2021-06-12
25,29,15,SL00025,25.965959,98.854749,25.975959,98.864749,37.8,2624,N,772,1227,Phyllite,Clay,1.662,Marginally Stable,2,2011-01-07
26,28,89,SL00026,29.131131,93.171498,29.141131,93.181498,18.0,3967,N,865,1208,Sandstone,Loam,2.474,Marginally Stable,13,2018-05-26
27,58,98,SL00027,27.168122,94.631269,27.178122,94.641269,33.9,4517,E,957,1363,Granite,Loam,1.897,Critical,4,2014-12-30
28,54,1,SL00028,29.728508,91.938394,29.738508,91.948394,38.2,3207,SE,4760,5063,Sandstone,Sandy Loam,1.406,Marginally Stable,8,2014-03-25
29,60,186,SL00029,24.863994,95.60243,24.873994,95.61243,48.0,651,NE,428,512,Sandstone,Rock,1.057,Stable,7,2010-12-29
30,26,113,SL00030,23.673004,90.151362,23.683004,90.161362,58.2,2469,SE,762,1138,Limestone,Rock,0.866,Unstable,7,2016-10-08
31,57,37,SL00031,23.900617,93.129951,23.910617,93.139951,35.7,4946,E,2554,3041,Limestone,Silt,0.716,Stable,11,2024-06-06
32,43,98,SL00032,29.946583,97.510841,29.956583,97.520841,35.8,1606,NW,1522,1818,Schist,Sandy Loam,1.17,Marginally Stable,14,2011-04-18
