record_id,slope_id,district_id,measurement_date,depth_m,moisture_content_pct,saturation_ratio,porosity_pct,cohesion_kpa,friction_angle_deg,permeability_cm_s,bulk_density_g_cc,sand_pct,silt_pct,clay_pct,hydrological_group,drainage_class
1,33,36,2024-02-26,1.62,18.2,0.397,31.7,79.0,28.3,1.467,2.11,29,25,46,D,Moderately Drained
2,214,18,2023-02-20,0.15,20.6,0.757,67.2,26.6,40.2,32.58,2.14,59,21,20,B,Moderately Drained
3,399,2,2024-05-10,0.41,45.1,0.291,35.5,11.5,17.4,0.456,2.04,60,35,5,D,Poorly Drained
4,422,28,2021-12-22,2.24,11.4,0.561,32.4,79.6,38.6,36.707,2.1,32,19,49,C,Well Drained
5,285,41,2024-09-27,0.22,42.3,0.17,67.1,63.5,28.2,41.328,1.19,37,59,4,C,Moderately Drained
6,377,24,2020-12-28,2.76,34.1,0.614,44.1,30.2,41.8,21.113,1.3,33,21,46,D,Moderately Drained
7,23,48,2019-11-29,2.6,31.4,0.172,61.8,44.8,35.8,38.09,0.81,37,44,19,C,Poorly Drained
8,203,36,2022-07-24,2.32,58.3,0.971,75.8,6.6,28.9,23.571,1.62,28,21,51,B,Poorly Drained
9,361,43,2024-09-02,1.48,21.1,0.78,20.8,52.0,32.9,34.947,2.15,20,52,28,B,Poorly Drained
10,422,28,2022-07-22,1.75,36.8,0.758,60.5,2.6,39.6,36.079,1.76,68,21,11,C,Well Drained
11,259,40,2024-05-13,1.02,50.1,0.619,76.9,64.0,29.4,3.569,1.1,19,29,52,A,Moderately Drained
12,311,5,2019-10-08,1.28,12.2,0.28,32.1,64.8,31.9,33.757,0.99,58,5,37,A,Well Drained
13,231,52,2019-02-26,0.95,42.8,0.978,40.9,56.1,16.6,42.517,1.56,18,32,50,A,Moderately Drained
14,347,36,2022-06-15,1.85,32.4,0.954,58.1,27.7,32.9,38.332,2.2,30,15,55,C,Well Drained
15,311,5,2021-07-03,2.75,24.8,0.798,18.4,35.8,28.4,23.383,1.7,25,50,25,A,Well Drained
16,340,31,2024-10-06,2.58,55.7,0.527,36.5,8.9,22.3,35.395,1.13,59,13,28,C,Moderately Drained
17,269,36,2024-01-13,0.36,30.4,0.913,49.1,30.8,16.1,44.235,1.57,59,7,34,B,Poorly Drained
18,485,57,2018-09-12,0.1,43.9,0.275,44.4,69.3,35.7,34.633,1.97,60,35,5,C,Well Drained
19,145,47,2022-08-08,2.18,31.4,0.553,35.2,18.4,42.1,5.584,0.98,32,21,47,A,Well Drained
20,49,36,2018-06-06,2.59,34.2,0.563,22.7,8.0,28.0,4.133,1.71,51,44,5,A,Poorly Drained
21,155,34,2018-12-18,0.13,47.0,0.631,67.2,14.3,39.8,40.686,1.42,72,10,18,C,Moderately Drained
22,18,60,2020-03-14,1.21,46.5,0.558,10.0,78.3,25.9,49.223,1.0,79,21,0,C,Moderately Drained
23,314,31,2023-06-08,0.44,54.5,0.942,61.4,15.3,44.3,3.483,0.94,66,29,5,C,Moderately Drained
24,477,40,2018-03-14,1.77,24.9,0.469,66.2,52.7,44.8,18.222,1.63,17,23,60,B,Poorly Drained
25,107,47,2023-09-08,1.59,59.0,0.289,43.2,57.9,41.9,36.2,1.25,29,25,46,B,Moderately Drained
26,57,1,2021-11-25,2.84,22.2,0.582,78.6,30.8,28.9,14.594,0.93,59,34,7,C,Moderately Drained
27,480,56,2023-07-09,0.54,17.4,0.352,28.5,10.6,24.4,37.841,1.63,35,59,6,A,Well Drained
28,227,37,2022-11-27,0.9,48.7,0.402,73.7,43.1,34.6,15.378,1.39,73,24,3,D,Well Drained
29,124,27,2023-09-23,2.84,35.9,0.533,18.8,46.2,40.4,3.14,0.92,66,28,6,D,Poorly Drained
30,224,56,2019-07-03,2.07,7.9,0.576,44.0,66.0,29.2,10.167,2.19,56,33,11,B,Poorly Drained
31,484,10,2022-12-26,2.85,48.3,0.228,65.0,29.3,30.5,49.542,1.16,25,42,33,B,Well Drained
32,452,34,2024-12-01,1.42,35.7,0.2,52.4,47.9,31.3,42.997,0.89,37,45,18,B,Moderately Drained
33,133,25,2020-01-17,2.83,45.5,0.254,72.3,40.8,44.3,40.697,1.91,69,26,5,B,Well Drained
34,224,56,2020-06-08,0.21,44.5,0.706,57.0,77.9,38.0,17.531,1.57,20,36,44,A,Moderately Drained
35,347,36,2024-07-05,1.58,16.4,0.834,17.6,35.5,35.5,45.767,1.73,38,49,13,B,Well Drained
36,481,6,2022-10-17,1.17,41.7,0.961,70.0,20.5,32.1,27.804,1.06,44,49,7,C,Moderately Drained
37,196,48,2019-06-21,0.74,27.5,0.416,62.8,67.7,18.7,9.65,1.36,35,45,20,D,Poorly Drained
38,88,36,2019-08-03,1.92,48.5,0.844,29.7,37.9,28.3,46.997,1.71,18,9,73,D,Poorly Drained
39,210,17,2018-03-06,2.49,43.8,0.253,70.9,50.8,25.7,7.935,1.54,52,43,5,B,Moderately Drained
40,104,21,2020-09-03,2.69,45.0,0.758,12.3,35.6,28.1,45.389,0.9,19,24,57,D,Moderately Drained
41,98,27,2024-12-06,2.12,41.4,0.752,50.5,39.7,17.0,31.094,1.93,79,16,5,A,Well Drained
42,222,50,2021-04-02,1.25,41.9,0.329,44.0,57.9,27.0,34.981,1.02,30,25,45,D,Poorly Drained
43,98,27,2023-09-12,0.9,57.6,0.657,33.0,79.8,23.7,27.187,0.83,13,36,51,B,Well Drained
44,264,39,2018-07-04,1.91,10.2,0.741,64.1,10.5,35.3,18.062,1.09,79,17,4,D,Poorly Drained
45,335,8,2020-09-08,1.73,10.5,0.311,73.1,16.6,16.4,41.506,2.14,26,36,38,B,Well Drained
46,190,55,2020-10-02,1.96,5.5,0.582,67.2,49.0,19.2,34.919,1.35,19,45,36,B,Moderately Drained
47,345,12,2021-09-21,1.78,6.9,0.653,47.2,68.2,39.0,35.953,1.23,14,40,46,A,Poorly Drained
48,72,18,2020-10-26,2.53,34.5,0.681,30.3,26.4,39.5,20.002,1.05,64,22,14,C,Moderately Drained
49,479,15,2021-01-18,0.37,31.5,0.55,17.8,8.4,33.3,43.234,0.8,47,48,5,D,Moderately Drained
50,458,31,2021-03-09,0.32,8.3,0.545,54.7,38.0,38.0,1.293,1.53,59,13,28,A,Moderately Drained
51,36,33,2019-11-16,2.2,57.3,0.547,56.6,64.9,32.5,39.482,1.68,50,38,12,D,Well Drained
52,366,16,2022-09-18,0.43,20.0,0.639,63.9,27.2,16.4,25.25,1.09,56,39,5,B,Well Drained
53,137,29,2022-06-24,0.4,14.4,0.163,39.4,39.2,25.3,15.137,1.48,55,12,33,B,Poorly Drained
54,250,11,2021-05-31,0.6,36.8,0.276,72.7,31.4,28.5,24.391,1.5,17,51,32,B,Poorly Drained
