record_id,slope_id,district_id,slope_angle_deg,slope_aspect_sin,slope_aspect_cos,flow_accumulation,topographic_wetness_index,plan_curvature,profile_curvature,elevation_m,relative_relief_m,valley_depth_m,terrain_form,roughness_index,normalized_height,slope_position_index
1,399,2,79.74,3.0616,4.4172,31123.0,21.93,1.1393,-1.3779,7544,63.9,1980.5,Complex,457.5,0.9499,96.54
2,285,41,5.19,0.8388,2.2712,27661.0,19.54,-1.2246,0.9729,426,8.4,1253.1,Convex,221.1,0.938,11.52
3,197,62,73.28,-4.6116,1.1047,2274.0,69.62,0.0563,-0.5917,2602,34.2,914.7,Convex,204.9,0.5884,70.6
4,433,62,6.81,-0.787,1.8954,47077.0,26.29,1.9813,-0.2671,7075,8.0,474.8,Complex,55.5,0.6382,98.13
5,274,38,39.68,-2.2521,-0.8353,19031.0,55.7,1.7599,-0.3239,6016,37.1,919.8,Complex,213.5,0.2009,63.31
6,400,48,36.94,4.8753,-4.0734,9453.0,7.4,-0.5298,1.9104,1718,39.3,1496.8,Concave,103.0,0.0051,26.04
7,391,33,53.77,0.3765,1.7939,31699.0,72.94,0.1733,0.5367,5643,57.5,868.5,Planar,212.6,0.0123,67.5
8,235,36,70.5,0.0515,-3.2623,13328.0,49.23,0.5918,0.8003,7871,65.1,114.9,Concave,176.1,0.9213,76.57
9,355,23,57.1,-4.4438,-4.9457,42478.0,25.75,-0.4384,1.9671,1979,27.5,103.8,Convex,496.9,0.2438,26.81
10,454,19,62.43,4.2614,4.5583,20354.0,99.08,-0.43,0.2918,7783,88.1,1734.1,Concave,47.3,0.4584,68.74
11,39,4,3.86,-4.0436,2.9595,42512.0,45.69,0.65,1.7831,5436,50.9,1874.1,Convex,235.9,0.6229,93.46
12,483,39,59.13,4.9135,-4.0794,45668.0,39.99,-1.6138,-1.7576,609,29.6,1241.7,Concave,368.5,0.1357,43.76
13,375,28,59.66,4.4636,-3.2038,14739.0,74.54,-1.2078,-1.1446,1468,83.2,543.9,Convex,221.0,0.4716,94.19
14,186,38,30.0,-3.5786,1.4101,7117.0,92.23,1.4365,1.2759,3389,35.6,1702.7,Planar,223.2,0.8714,71.75
15,175,3,37.12,-0.6306,0.6606,7502.0,59.83,-1.0398,1.1078,2486,44.1,1710.7,Concave,379.2,0.5742,45.43
16,473,11,72.44,-3.6184,1.7903,8928.0,25.8,-0.7211,-0.7202,5604,21.5,626.2,Planar,312.6,0.5482,20.13
17,271,46,8.51,1.4981,-3.8798,1616.0,0.45,-1.8355,0.9753,6478,42.8,665.2,Planar,85.7,0.5995,4.12
18,499,9,65.66,-3.9316,0.5706,164.0,35.83,-0.6209,-0.1645,6696,16.2,325.4,Concave,327.0,0.4655,39.09
19,116,34,40.83,-2.9716,4.6159,31040.0,0.64,-1.5362,1.7136,5703,2.0,1564.1,Planar,148.5,0.5311,49.42
20,245,60,27.74,0.0708,-3.1721,243.0,39.76,-1.1854,0.5042,3037,87.1,654.3,Convex,219.9,0.1863,60.18
21,240,19,36.35,-1.4837,4.1516,36594.0,24.89,1.9825,-0.1379,5082,86.8,537.1,Planar,326.7,0.9332,61.69
22,156,3,10.67,4.5627,2.1516,27707.0,47.9,0.4376,0.6372,5405,52.0,1570.8,Planar,426.0,0.5143,47.81
23,114,44,38.42,3.8922,-2.9004,17750.0,90.89,-1.7469,-1.4022,2568,10.5,1147.8,Planar,88.0,0.3852,74.52
24,121,57,30.26,-4.127,3.5628,30341.0,96.73,-1.3163,0.5119,3244,71.1,1358.6,Concave,419.7,0.273,91.28
25,246,9,51.44,-1.398,-1.2341,38636.0,11.95,0.8753,-0.6991,1985,52.0,224.7,Concave,105.9,0.5757,81.85
26,65,27,1.11,2.8685,-2.6829,28132.0,37.18,-0.2291,-0.8265,4194,56.9,418.3,Planar,356.4,0.1555,6.05
27,214,18,47.88,4.2485,0.63,48387.0,61.67,-0.0896,1.3861,4347,11.2,714.9,Planar,76.7,0.5352,90.77
28,225,42,51.09,2.3412,-0.6817,5892.0,51.05,-1.4829,-1.2722,7300,18.0,609.1,Convex,247.2,0.0997,83.2
29,202,36,66.78,1.2136,2.7023,9563.0,64.43,1.9477,-0.9981,2221,0.5,1005.2,Convex,195.8,0.6323,57.8
30,67,48,24.34,2.7448,-1.2295,9962.0,92.14,-1.4137,-1.3921,6154,88.2,502.3,Complex,273.8,0.711,1.79
31,241,16,37.5,-4.6082,-1.3325,14884.0,36.77,0.0194,-0.7365,2803,44.4,175.7,Concave,300.6,0.2225,11.2
32,395,53,30.57,-1.4237,1.902,9735.0,95.36,-0.5372,-0.1769,6799,10.6,1064.4,Concave,133.6,0.7203,40.03
33,214,18,33.82,2.3603,-4.7149,10913.0,69.63,-0.1358,-0.3208,6871,70.3,561.0,Planar,140.4,0.4531,59.76
34,20,55,53.03,-4.2124,3.5319,11260.0,4.13,1.6559,-1.711,5754,9.4,243.8,Convex,293.1,0.9931,12.17
35,462,13,46.18,-1.4169,1.6283,41092.0,76.84,-1.6135,1.9511,584,8.8,830.2,Concave,308.7,0.5857,4.39
36,421,51,14.78,-1.7443,-4.0869,20903.0,50.86,-1.5265,0.0367,4054,39.9,173.2,Complex,396.7,0.1728,26.41
37,421,51,71.82,4.8405,0.5112,44731.0,27.69,0.4427,-0.406,1818,32.8,35.6,Planar,425.8,0.345,30.08
38,327,20,51.63,-2.1015,2.8096,44815.0,17.63,0.6889,-0.3557,1575,3.1,839.9,Complex,76.4,0.1696,39.27
39,74,43,61.79,-1.2693,1.3856,5582.0,6.23,1.2836,-0.3295,2272,20.7,1513.5,Complex,293.9,0.4507,16.01
40,284,35,55.08,-3.5372,-2.3187,14564.0,79.72,-1.4755,-1.2515,5051,68.9,388.4,Concave,485.8,0.2856,31.92
41,439,51,77.44,4.9565,2.66,2749.0,73.07,0.8871,0.5081,7484,37.7,780.8,Planar,371.4,0.7979,44.99
42,346,34,77.22,-4.8347,0.1733,2665.0,56.59,1.0867,1.6597,707,12.4,55.7,Concave,284.8,0.5458,18.54
43,117,50,62.2,2.489,-0.6029,30775.0,43.03,1.0074,-0.4443,2753,29.6,1644.3,Planar,214.9,0.5912,86.51
44,371,53,29.35,0.8514,-4.5567,40516.0,96.03,0.2973,-0.9538,3148,65.0,1895.8,Concave,326.2,0.8163,4.51
45,241,16,50.36,4.5241,-4.3594,39385.0,10.66,-1.8128,1.4962,7596,74.8,257.1,Concave,254.4,0.4566,92.37
46,341,45,47.46,1.6479,-4.7388,32748.0,48.73,-0.5021,-1.4072,3587,77.3,1274.4,Concave,177.7,0.5078,8.44
47,385,6,41.75,0.7413,1.6495,33761.0,29.13,-1.7277,-1.0795,3495,35.8,1762.9,Complex,205.1,0.1032,71.57
48,67,48,0.14,2.1383,-2.0278,5773.0,4.34,1.9911,0.3264,4403,56.3,1449.0,Convex,435.4,0.2424,17.75
49,193,62,74.67,1.6807,-1.0182,12410.0,70.8,-0.0028,0.7999,3809,4.4,765.6,Concave,172.0,0.8975,71.28
50,49,36,7.84,-0.9203,-4.907,36499.0,75.89,-0.5352,0.1811,7703,65.2,673.3,Convex,273.3,0.9301,78.02
51,372,26,61.64,-0.3749,3.4986,1269.0,98.37,-1.9616,0.2874,368,20.1,1021.4,Planar,69.2,0.3582,72.67
52,274,38,23.97,0.2736,-4.9669,37683.0,86.07,-1.5239,1.747,2193,77.2,1218.9,Planar,441.6,0.0807,65.12
53,444,1,47.62,4.0229,-2.7333,35140.0,55.68,-0.511,-1.1438,4646,89.9,298.8,Convex,361.2,0.4195,58.2
54,355,23,22.14,1.7566,0.7722,22045.0,53.67,-1.8373,-1.8717,3107,31.1,1231.4,Planar,92.7,0.8078,48.7
55,122,33,71.95,2.5954,-1.1658,21081.0,70.26,1.869,0.2954,7613,78.7,1984.6,Convex,190.1,0.0822,43.84
56,166,39,72.06,-1.145,3.3171,17401.0,72.15,-1.2133,0.2791,83,65.3,129.2,Planar,242.7,0.5473,35.12
57,163,6,82.66,1.7609,-3.9673,37025.0,77.66,-1.3527,-0.1202,5112,43.9,1933.0,Planar,424.2,0.2403,76.2
58,32,43,86.47,-2.8218,4.0567,7503.0,45.99,-0.0454,-1.5124,2962,81.8,134.6,Concave,215.9,0.9063,0.79
59,57,1,54.76,0.8881,-1.2401,45048.0,42.98,1.8196,-1.9561,4324,41.9,987.3,Complex,424.5,0.7939,5.42
60,146,5,37.74,1.427,-1.3141,548.0,55.06,1.4785,-1.3445,800,23.8,161.7,Complex,237.2,0.834,64.51
61,467,57,43.86,4.5211,0.862,31717.0,50.79,-0.9735,1.3361,2220,35.7,1063.2,Convex,261.0,0.9503,79.09
62,172,39,47.5,3.2913,1.9087,14835.0,55.94,0.8823,1.6519,5262,66.3,1783.8,Planar,462.9,0.6059,48.95
63,100,35,67.95,-2.5948,-0.7664,40212.0,48.82,-1.2965,-0.624,4724,85.6,1822.6,Concave,352.2,0.3206,89.19
64,217,47,49.23,0.7658,4.7897,33511.0,58.29,-1.7799,1.8257,6760,45.4,349.8,Planar,210.8,0.1114,55.05
65,15,17,1.75,-4.2322,2.1547,43700.0,92.07,-1.3389,-1.6433,7681,3.5,1789.4,Convex,32.4,0.6441,54.2
66,316,9,41.07,-0.8945,3.2182,19670.0,21.73,-0.5513,0.1585,7172,59.9,35.2,Planar,329.4,0.9582,19.59
67,144,5,27.47,3.4292,2.1669,24098.0,7.12,-0.0766,-0.3705,1914,69.2,1796.7,Concave,85.1,0.4333,70.86
68,306,45,5.94,2.9096,-4.1697,10775.0,65.55,-0.4802,1.5812,4103,79.9,1366.7,Planar,309.5,0.2652,33.07
69,487,39,51.8,-0.7894,2.0271,42513.0,42.54,-1.2292,0.2799,6005,44.0,610.9,Convex,163.3,0.3782,12.38
70,55,41,45.45,1.5309,-3.7468,24771.0,86.3,0.3957,-0.3999,3344,54.3,26.8,Complex,9.0,0.1435,66.06
71,75,15,55.17,3.7963,-1.6008,31205.0,54.78,1.0089,-0.2841,728,4.4,1376.2,Complex,200.1,0.9972,29.1
72,489,48,34.7,2.0418,0.6325,10357.0,57.15,-0.1814,-0.6358,6188,76.2,960.9,Concave,247.6,0.3171,9.44
73,491,17,28.5,-2.6431,-2.8864,37664.0,27.34,1.352,1.093,670,5.7,1774.6,Concave,43.6,0.6665,23.99
74,32,43,44.42,0.91,0.0807,46234.0,39.28,-0.0682,1.9214,7624,19.2,568.2,Complex,286.3,0.058,24.62
75,224,56,15.17,-3.2079,3.1786,717.0,15.08,-1.9471,1.9677,2675,29.5,107.4,Concave,383.2,0.1179,27.6
76,299,45,36.85,-3.7,-2.7521,31528.0,71.47,1.1202,1.0455,5020,70.4,780.4,Concave,160.1,0.512,83.69
77,290,18,22.06,4.6545,-3.4759,12424.0,13.84,0.4522,1.3799,1644,32.8,1893.6,Convex,310.4,0.2197,24.34
78,450,35,52.68,-3.2765,-2.5469,38575.0,39.97,-0.6595,0.7265,1758,20.3,1905.6,Planar,416.3,0.3299,81.25
79,279,26,22.05,2.8326,0.0289,30622.0,59.63,1.3781,-1.0116,2264,24.4,593.8,Complex,373.1,0.6319,69.64
