record_id,district_id,state_id,datetime,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,visibility_m,cloud_cover_oktas,dewpoint_c,weather_condition,station_elevation_m
1,31,3,2019-03-14 03:48:50,9.8,59,946.9,25.7,283,6226,2,1.6,Thunderstorm,2503.0
2,47,6,2019-01-03 04:38:46,16.3,62,1004.4,12.6,157,5746,0,2.4,Clear,2591.0
3,31,3,2024-08-10 21:23:55,19.6,55,938.5,8.1,199,6201,5,3.4,Clear,1639.0
4,15,2,2022-03-11 20:28:25,23.3,85,932.3,61.6,313,5596,7,12.4,Cloudy,3595.0
5,60,8,2023-03-11 16:10:59,7.1,90,909.1,64.1,115,5122,1,5.5,Thunderstorm,3583.0
6,54,6,2020-03-21 19:40:32,19.0,89,943.5,20.2,322,903,1,4.9,Rain,2588.0
7,33,4,2018-09-27 02:10:37,29.8,48,910.6,31.3,68,1096,8,7.1,Rain,2280.0
8,28,3,2021-04-23 22:36:26,12.0,74,964.8,26.5,268,3167,7,6.0,Clear,3966.0
9,59,8,2024-12-07 11:20:35,31.2,64,911.9,24.0,304,2361,6,2.0,Clear,3504.0
10,23,3,2020-11-02 20:25:51,7.5,98,967.9,36.2,117,2079,1,12.4,Clear,2369.0
11,3,1,2024-05-29 09:47:46,17.4,47,930.2,11.6,197,5585,0,5.4,Heavy Rain,2526.0
12,45,5,2021-03-16 06:22:25,13.2,90,952.8,28.0,254,5679,1,8.3,Fog,3259.0
13,13,2,2024-10-18 13:34:11,19.9,56,975.2,57.0,7,5688,5,14.1,Clear,1562.0
14,3,1,2024-08-14 05:28:30,17.4,67,964.5,8.6,2,960,0,8.8,Fog,2392.0
15,50,6,2019-12-29 09:02:58,20.6,93,952.4,31.4,297,8099,1,-3.4,Heavy Rain,1577.0
16,18,2,2019-08-30 00:16:11,34.3,78,971.1,48.4,303,7685,0,10.5,Clear,2881.0
17,49,6,2018-07-10 03:35:13,6.9,77,1002.2,27.2,238,8301,3,2.8,Heavy Rain,3215.0
18,37,4,2022-07-31 20:25:09,29.9,97,972.6,52.4,292,2804,7,14.2,Thunderstorm,2033.0
19,11,1,2024-10-14 21:13:46,30.7,88,942.7,50.1,226,4148,7,1.0,Heavy Rain,3056.0
20,47,6,2020-01-26 00:48:26,27.0,82,1008.4,45.6,154,4452,0,-2.5,Rain,2103.0
21,50,6,2023-09-18 22:11:18,30.7,85,1004.2,9.8,143,4076,8,6.6,Heavy Rain,3617.0
22,1,1,2019-09-14 03:54:11,23.5,95,959.7,62.6,319,3852,4,4.5,Rain,2884.0
23,56,7,2020-09-08 19:19:52,16.9,63,1009.8,63.1,201,5167,2,-1.7,Fog,3827.0
24,61,8,2021-11-20 13:14:00,20.8,72,1001.5,73.0,204,6189,1,8.3,Thunderstorm,2888.0
25,59,8,2023-12-12 15:51:30,15.6,98,904.3,78.8,66,9327,2,-2.5,Rain,3683.0
26,18,2,2020-12-20 22:08:28,26.6,100,950.7,70.7,276,2483,2,5.5,Clear,4288.0
27,23,3,2024-10-06 13:57:40,8.7,92,904.8,2.8,94,3781,6,13.2,Cloudy,4273.0
28,10,1,2023-08-21 20:51:42,8.2,91,996.9,52.4,40,706,8,3.4,Rain,3742.0
29,18,2,2019-12-07 20:22:17,26.6,62,998.7,67.1,124,6461,3,8.4,Thunderstorm,1673.0
30,37,4,2021-12-24 18:03:02,32.5,48,1006.9,76.5,177,429,1,6.3,Heavy Rain,1423.0
31,27,3,2021-11-05 02:44:10,28.1,86,961.3,50.5,105,8209,6,0.1,Thunderstorm,1852.0
32,33,4,2019-02-11 19:57:20,21.9,88,942.8,51.2,52,824,0,6.6,Clear,3600.0
33,57,7,2020-06-13 18:01:51,22.5,47,920.7,11.7,195,2426,0,-2.3,Cloudy,1509.0
34,4,1,2023-07-23 00:47:33,14.6,47,922.5,27.8,112,1863,7,-1.6,Fog,2059.0
35,32,3,2018-01-17 02:27:18,31.4,43,950.2,78.7,169,2495,8,7.9,Cloudy,4490.0
36,43,5,2022-09-27 00:08:20,34.8,87,921.7,67.5,174,7964,7,5.6,Rain,4030.0
37,1,1,2020-02-20 00:35:13,26.4,78,1007.6,37.5,260,9686,2,4.3,Heavy Rain,2674.0
38,18,2,2019-01-14 01:30:27,25.5,54,912.3,1.8,177,4411,1,4.0,Fog,2365.0
39,46,5,2024-06-05 03:38:42,21.4,87,976.3,71.3,131,5648,7,1.6,Fog,4172.0
40,31,3,2018-09-28 10:58:49,6.7,71,992.6,38.5,228,4154,0,-4.3,Cloudy,4298.0
41,39,4,2020-07-12 18:23:46,8.6,58,965.1,18.5,353,8881,7,14.9,Cloudy,2571.0
42,55,7,2020-10-07 03:51:53,17.2,66,956.1,24.7,6,686,4,2.3,Cloudy,2479.0
43,41,5,2023-07-11 02:37:02,20.7,43,974.3,12.1,303,5202,4,12.2,Thunderstorm,1713.0
44,32,3,2023-08-06 06:02:21,14.8,50,1010.2,55.5,11,6599,6,6.4,Rain,2085.0
45,27,3,2023-07-23 07:39:48,34.7,70,910.8,6.9,48,2791,0,14.3,Heavy Rain,1918.0
46,32,3,2022-04-21 20:08:59,32.0,91,997.9,38.7,214,2847,7,-4.2,Thunderstorm,3515.0
47,21,2,2024-02-05 20:07:25,29.7,87,987.7,17.4,154,2887,8,-4.6,Cloudy,1894.0
48,18,2,2021-06-13 05:26:03,10.3,91,1011.9,57.6,249,1679,2,-1.4,Clear,1911.0
49,21,2,2021-05-22 00:44:24,19.3,59,938.2,11.7,27,6408,1,9.6,Heavy Rain,3357.0
50,61,8,2019-11-07 20:48:28,14.4,88,910.1,69.6,203,6942,4,9.5,Thunderstorm,4030.0
51,57,7,2020-04-04 12:37:45,14.9,60,906.8,26.2,95,5394,1,-1.5,Clear,1685.0
52,53,6,2018-10-17 17:49:57,22.5,68,972.9,22.1,144,2034,1,-0.2,Thunderstorm,4374.0
53,22,2,2018-03-06 00:39:58,27.0,79,922.3,27.0,244,2791,0,11.9,Heavy Rain,3115.0
54,59,8,2021-02-01 20:12:05,11.8,50,1006.1,38.8,268,8471,0,12.3,Heavy Rain,2378.0
55,60,8,2021-06-24 05:42:21,24.3,89,921.0,47.8,290,7351,5,-0.3,Thunderstorm,1612.0
56,21,2,2018-08-01 11:50:27,24.7,71,1004.5,59.4,246,4033,7,-3.8,Fog,3862.0
57,5,1,2019-03-15 10:31:53,11.8,49,913.1,64.5,53,6877,5,11.5,Cloudy,4460.0
58,9,1,2024-01-06 12:33:28,13.8,56,949.5,29.2,74,6046,5,4.6,Clear,2212.0
59,57,7,2019-08-11 00:50:37,12.3,55,920.2,70.7,46,6723,2,-2.9,Heavy Rain,2395.0
60,58,7,2020-04-11 23:33:35,30.9,40,913.4,9.9,181,8354,2,4.0,Cloudy,3700.0
61,50,6,2023-10-06 18:06:22,19.6,83,969.5,45.8,82,1187,3,13.9,Heavy Rain,1111.0
62,22,2,2019-09-08 13:25:44,32.3,77,942.1,53.7,300,9196,6,13.4,Cloudy,2541.0
63,8,1,2018-05-20 20:19:01,15.7,88,928.5,19.6,250,8533,6,4.4,Clear,3943.0
64,32,3,2022-07-25 13:44:55,34.8,90,986.7,5.8,354,2980,4,-3.6,Rain,3196.0
65,3,1,2020-10-26 18:03:26,33.0,93,910.9,16.3,164,7496,1,10.6,Thunderstorm,3433.0
66,12,1,2018-02-12 03:52:37,19.0,40,908.6,13.3,10,6001,6,5.2,Rain,4330.0
67,50,6,2023-07-09 06:29:43,22.0,52,982.8,71.1,263,7301,2,0.8,Fog,1220.0
68,10,1,2018-05-03 02:33:52,33.1,100,995.9,12.5,359,5147,6,11.3,Heavy Rain,2596.0
69,42,5,2024-11-28 13:57:44,22.5,94,941.5,36.8,257,6225,8,-1.5,Clear,2082.0
70,56,7,2019-11-11 06:27:40,14.4,80,986.5,48.5,318,4587,8,1.5,Thunderstorm,2103.0
71,3,1,2022-03-30 12:11:03,21.6,85,1011.8,3.6,11,816,3,3.4,Thunderstorm,3083.0
72,60,8,2018-12-15 21:04:53,25.5,64,938.7,32.2,302,1273,2,6.1,Thunderstorm,2781.0
73,7,1,2024-08-15 03:58:21,5.7,87,907.0,19.7,21,2982,5,11.0,Heavy Rain,3378.0
74,55,7,2023-07-03 15:47:19,12.1,81,943.0,1.0,226,1337,1,3.8,Clear,2075.0
75,9,1,2021-10-07 16:32:44,29.7,94,929.4,19.0,352,4690,7,1.9,Fog,1175.0
76,35,4,2019-04-17 02:15:14,17.2,95,984.5,53.6,297,9972,1,12.9,Heavy Rain,1273.0
77,39,4,2023-08-21 15:29:57,24.8,47,1002.5,66.6,101,2066,7,-3.7,Thunderstorm,1445.0
78,53,6,2024-04-01 07:02:30,23.1,46,938.6,2.0,163,8220,5,8.8,Cloudy,4145.0
79,3,1,2024-05-14 21:22:47,33.2,79,918.6,38.2,135,9496,2,7.8,Fog,1874.0
80,11,1,2022-12-24 16:29:16,16.5,92,996.5,33.6,238,8030,0,-3.2,Rain,1014.0
81,59,8,2023-06-08 22:38:21,11.1,85,911.1,41.0,71,8331,0,-4.3,Thunderstorm,3355.0
82,55,7,2024-11-26 16:25:20,30.6,85,936.8,21.8,235,5199,0,10.2,Cloudy,2525.0
83,12,1,2020-10-10 10:15:54,26.2,96,968.0,63.2,318,1689,8,11.9,Cloudy,4346.0
84,8,1,2019-08-22 03:54:57,8.4,87,924.1,41.0,350,1670,6,0.0,Fog,1707.0
85,10,1,2024-06-13 11:15:01,17.5,60,952.0,33.3,7,1986,4,3.7,Clear,2858.0
86,20,2,2024-09-27 11:22:39,5.1,99,1008.3,1.9,218,8520,4,7.3,Cloudy,2062.0
87,58,7,2022-02-19 01:12:16,15.7,51,961.7,62.7,15,9911,0,-2.2,Fog,3348.0
88,8,1,2018-12-03 16:47:39,26.9,84,987.3,45.1,287,819,7,13.9,Rain,3139.0
89,33,4,2021-03-04 12:12:39,18.2,78,929.6,43.7,91,1266,4,-4.0,Fog,2865.0
90,3,1,2020-05-19 05:53:17,22.6,70,984.9,71.6,119,8418,3,8.7,Thunderstorm,3680.0
91,55,7,2022-04-01 12:35:01,28.7,71,977.9,53.2,183,7860,4,13.5,Rain,2068.0
92,47,6,2022-11-23 18:52:33,22.5,42,936.6,68.2,179,5281,2,5.4,Fog,4416.0
93,38,4,2019-09-13 00:22:23,19.6,42,1005.0,42.1,74,1754,1,-0.4,Rain,2501.0
94,20,2,2019-03-14 06:28:13,28.3,99,983.2,29.8,15,1743,1,3.3,Thunderstorm,1509.0
95,52,6,2019-11-08 12:53:47,6.3,44,929.5,67.4,53,9003,4,0.4,Thunderstorm,3329.0
96,8,1,2023-09-07 13:04:53,23.1,63,972.4,22.8,311,5811,8,10.5,Heavy Rain,1089.0
97,44,5,2023-07-07 06:34:11,26.0,66,924.6,20.3,34,6972,8,0.3,Rain,2689.0
98,34,4,2020-09-07 13:25:34,20.8,81,916.9,57.3,355,3629,0,8.3,Fog,1412.0
99,11,1,2018-09-26 11:50:23,33.4,63,931.7,58.2,204,7650,8,10.0,Clear,1255.0
100,24,3,2019-10-12 22:30:57,15.6,54,917.1,38.7,235,4180,8,9.0,Fog,2534.0
101,7,1,2018-01-24 04:38:31,10.6,77,911.1,8.7,106,178,4,9.4,Cloudy,3056.0
102,40,5,2020-01-10 03:42:58,9.3,55,967.8,4.5,115,6052,1,11.6,Fog,1807.0
103,37,4,2019-04-28 12:13:34,31.0,41,1008.8,61.8,88,3192,1,8.7,Clear,1481.0
104,10,1,2020-08-01 01:01:38,25.1,45,996.8,7.4,211,9349,8,14.4,Heavy Rain,2802.0
105,62,8,2019-03-09 16:46:19,15.5,64,951.1,43.2,291,6883,7,8.1,Clear,2856.0
106,51,6,2022-11-03 18:11:11,18.6,77,982.8,41.1,19,6290,7,14.0,Cloudy,2914.0
107,48,6,2018-12-20 03:09:11,23.0,46,982.5,14.2,295,4653,5,1.9,Rain,3678.0
108,58,7,2023-11-07 17:46:48,29.3,43,903.5,37.6,174,7272,6,5.6,Fog,2464.0
109,44,5,2019-11-30 14:20:29,26.4,50,950.5,49.0,117,2237,1,13.4,Fog,4438.0
110,46,5,2019-01-15 13:38:32,26.5,69,902.7,15.0,269,5224,6,-4.2,Rain,2859.0
111,39,4,2023-02-02 13:18:10,23.0,43,964.8,29.2,8,2723,3,-4.9,Rain,2650.0
112,41,5,2018-12-21 13:21:49,19.9,63,931.9,15.0,99,5998,4,4.3,Rain,1767.0
113,30,3,2022-02-13 00:33:34,11.8,67,989.1,24.4,321,6758,4,7.6,Clear,4305.0
114,16,2,2018-06-20 14:36:23,9.7,74,907.9,26.2,127,7639,5,13.3,Fog,2360.0
115,53,6,2023-11-04 15:30:00,14.6,60,967.0,64.5,120,9064,0,10.2,Rain,4247.0
116,50,6,2021-03-26 14:50:49,6.5,89,923.7,80.0,210,9598,2,13.9,Thunderstorm,3567.0
117,38,4,2021-09-23 04:24:39,29.0,55,989.2,11.3,276,253,3,9.9,Rain,1142.0
118,14,2,2024-05-30 02:52:23,12.5,86,984.9,29.2,132,1298,6,2.2,Heavy Rain,1152.0
119,21,2,2021-05-17 01:09:44,11.1,63,945.8,78.4,179,4485,4,4.6,Cloudy,2684.0
120,36,4,2018-04-14 10:46:21,34.8,50,917.0,3.9,23,3515,7,13.3,Fog,1424.0
121,50,6,2019-06-09 18:26:53,30.7,79,991.8,61.9,1,3230,7,13.2,Cloudy,2300.0
122,59,8,2018-02-01 09:34:51,10.8,72,980.3,75.9,95,1840,4,-3.9,Thunderstorm,1577.0
123,19,2,2018-05-18 20:45:07,28.1,66,998.5,2.7,158,2871,1,11.4,Cloudy,1363.0
124,56,7,2019-12-14 03:54:07,28.6,45,1004.5,27.7,206,2754,3,0.7,Clear,3587.0
125,57,7,2024-01-26 15:28:42,15.6,67,914.3,34.6,230,3179,5,1.0,Rain,3972.0
126,56,7,2021-05-28 01:39:30,9.6,41,929.8,62.7,53,5554,3,3.9,Clear,4378.0
127,54,6,2018-06-14 01:30:59,16.4,69,936.0,55.7,270,8513,3,0.8,Rain,3985.0
128,29,3,2021-12-08 09:18:47,8.7,67,992.5,72.9,15,5009,0,2.8,Cloudy,937.0
129,62,8,2018-08-10 23:47:00,34.2,88,901.3,10.4,132,7318,6,9.9,Cloudy,1598.0
130,8,1,2023-09-10 07:59:04,22.7,64,957.9,50.7,284,8152,5,14.0,Heavy Rain,1651.0
131,58,7,2020-07-19 15:34:22,17.7,59,1002.0,18.0,100,254,4,4.2,Thunderstorm,3538.0
132,6,1,2021-03-29 04:51:14,13.9,84,981.7,64.5,307,1481,3,12.8,Clear,4159.0
133,23,3,2022-03-18 05:39:02,31.2,55,1008.2,34.6,346,1831,8,13.1,Fog,1236.0
134,17,2,2022-07-15 21:37:28,22.9,71,937.4,42.4,69,6489,4,1.9,Cloudy,1976.0
135,9,1,2023-02-11 23:15:58,34.6,67,964.9,55.6,99,5869,5,1.9,Cloudy,1269.0
136,44,5,2022-02-17 23:02:36,6.6,97,959.5,46.4,117,8162,3,11.8,Thunderstorm,4205.0
137,38,4,2022-10-04 19:32:16,15.6,53,907.9,66.9,5,4201,8,6.7,Clear,3891.0
